target_dataset,baseline,metric,loss,seed,quantile_config,context_length,prediction_length,number_of_windows,number_of_series
monash_electricity_hourly,last_value,mase,2.996198,0,9,512,64,262,262
monash_electricity_hourly,last_value,mae,941.148497,0,9,512,64,262,262
monash_electricity_hourly,last_value,q9_quantile_loss_degenerate,7.704847,0,9,512,64,262,262
monash_electricity_hourly,seasonal_naive,mase,1.265484,0,9,512,64,262,262
monash_electricity_hourly,seasonal_naive,mae,290.906548,0,9,512,64,262,262
monash_electricity_hourly,seasonal_naive,q9_quantile_loss_degenerate,3.657132,0,9,512,64,262,262
monash_electricity_hourly,native_chronos2,mase,0.836189,0,9,512,64,262,262
monash_electricity_hourly,native_chronos2,mae,187.658027,0,9,512,64,262,262
uber_tlc_hourly,last_value,mase,1.7105,0,9,512,64,262,262
uber_tlc_hourly,last_value,mae,15.639909,0,9,512,64,262,262
uber_tlc_hourly,last_value,q9_quantile_loss_degenerate,7.777367,0,9,512,64,262,262
uber_tlc_hourly,seasonal_naive,mase,1.25337,0,9,512,64,262,262
uber_tlc_hourly,seasonal_naive,mae,8.310115,0,9,512,64,262,262
uber_tlc_hourly,seasonal_naive,q9_quantile_loss_degenerate,6.095157,0,9,512,64,262,262
uber_tlc_hourly,native_chronos2,mase,0.806006,0,9,512,64,262,262
uber_tlc_hourly,native_chronos2,mae,4.739744,0,9,512,64,262,262
m4_hourly,last_value,mase,13.667144,0,9,512,64,262,262
m4_hourly,last_value,mae,888.801992,0,9,512,64,262,262
m4_hourly,last_value,q9_quantile_loss_degenerate,8.501545,0,9,512,64,262,262
m4_hourly,seasonal_naive,mase,1.560496,0,9,512,64,262,262
m4_hourly,seasonal_naive,mae,450.93128,0,9,512,64,262,262
m4_hourly,seasonal_naive,q9_quantile_loss_degenerate,2.701927,0,9,512,64,262,262
m4_hourly,native_chronos2,mase,0.928949,0,9,512,64,262,262
m4_hourly,native_chronos2,mae,256.57908,0,9,512,64,262,262
wind_farms_hourly,last_value,mase,5.233047,0,9,512,64,262,262
wind_farms_hourly,last_value,mae,21.880763,0,9,512,64,262,262
wind_farms_hourly,last_value,q9_quantile_loss_degenerate,4.567957,0,9,512,64,262,262
wind_farms_hourly,seasonal_naive,mase,4.542732,0,9,512,64,262,262
wind_farms_hourly,seasonal_naive,mae,17.703196,0,9,512,64,262,262
wind_farms_hourly,seasonal_naive,q9_quantile_loss_degenerate,3.68189,0,9,512,64,262,262
wind_farms_hourly,native_chronos2,mase,4.35428,0,9,512,64,262,262
wind_farms_hourly,native_chronos2,mae,14.686289,0,9,512,64,262,262
