source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
monash_electricity_hourly,monash_electricity_hourly,best_layer,3,native_chronos2,mase,1.430137,0.850816,-0.579321,-0.624138,-0.538181,False,-0.6809,318,1500,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,3,seasonal_naive,mase,1.430137,1.209862,-0.220275,-0.270183,-0.172313,False,-0.182066,318,1500,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,best_layer,3,last_value,mase,1.430137,4.38183,2.951693,2.693902,3.222948,True,0.673621,318,1500,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,1.538783,0.850816,-0.687967,-0.73993,-0.641807,False,-0.808597,318,1500,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,1.538783,1.209862,-0.328921,-0.387059,-0.272477,False,-0.271867,318,1500,0,9,512,64
monash_electricity_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,1.538783,4.38183,2.843047,2.594645,3.103604,True,0.648826,318,1500,0,9,512,64
monash_electricity_hourly,monash_kdd_cup_2018,best_layer,2,native_chronos2,mase,1.100494,0.828258,-0.272235,-0.307699,-0.236998,False,-0.328684,75,506,0,9,512,64
monash_electricity_hourly,monash_kdd_cup_2018,best_layer,2,seasonal_naive,mase,1.100494,1.15859,0.058097,0.02554,0.090353,True,0.050144,75,506,0,9,512,64
monash_electricity_hourly,monash_kdd_cup_2018,best_layer,2,last_value,mase,1.100494,1.044072,-0.056422,-0.099744,-0.008916,False,-0.05404,75,506,0,9,512,64
monash_electricity_hourly,monash_kdd_cup_2018,final_layer,12,native_chronos2,mase,1.21506,0.828258,-0.386801,-0.432886,-0.340171,False,-0.467006,75,506,0,9,512,64
monash_electricity_hourly,monash_kdd_cup_2018,final_layer,12,seasonal_naive,mase,1.21506,1.15859,-0.056469,-0.106534,-0.001369,False,-0.04874,75,506,0,9,512,64
monash_electricity_hourly,monash_kdd_cup_2018,final_layer,12,last_value,mase,1.21506,1.044072,-0.170988,-0.223552,-0.111747,False,-0.16377,75,506,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,best_layer,1,native_chronos2,mase,2.53717,0.658227,-1.878943,-3.366215,-0.869989,False,-2.854551,260,1500,0,9,512,64
monash_electricity_hourly,uber_tlc_hourly,best_layer,1,seasonal_naive,mase,2.53717,1.142444,-1.394726,-2.871204,-0.401715,False,-1.220826,260,1500,0,9,512,64
