source_dataset,target_dataset,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_best_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,0,-1.305117340008418,-1.3721300304588655,-1.2403585492259355,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,1,-0.06962263651688883,-0.11487372077952196,-0.02831155479315031,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,2,0.02137870220343263,-0.01668754603004171,0.05730177113688699,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,3,0.13630989130338023,0.10596753801393868,0.1672759875815971,True,True,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,4,0.10025112414360038,0.06891062208962376,0.13192484928639203,True,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,5,0.0712160234053929,0.038262415761769086,0.10400275839895225,True,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,6,0.02381436848640428,-0.012732824734189683,0.05906698077738813,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,7,-0.02168646637598659,-0.05508268955675599,0.010048182997924269,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,8,-0.08839380685488374,-0.121497885040901,-0.056077745030767547,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,9,-0.11551837956905375,-0.14732188604550353,-0.08477200149514784,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,10,-0.05769594717025761,-0.08676552725051065,-0.029533732961714382,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,11,-0.012984825531641597,-0.03720537164673243,0.011414847508767803,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,12,0.0,0.0,0.0,False,False,True,318,1500,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,0,-0.32518370066706836,-0.5164526496416033,-0.14493291608765607,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,1,0.3814740044326177,0.24216557410887132,0.5319917846180574,True,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,2,0.527061264034316,0.3718169543328946,0.6756597303504495,True,True,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,3,0.4966156520391172,0.3560015077118685,0.6414773730153597,True,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,4,0.4189694483760791,0.2671503021066668,0.5719622513254877,True,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,5,-0.15235180534392967,-0.34324334020103087,0.033757997697676775,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,6,-1.065923831679604,-1.3110989662123567,-0.8216862483302184,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,7,-0.5709014480764214,-0.7612677742616524,-0.3892476979348959,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,8,-0.6877429626675937,-0.8465528140326861,-0.5367252118581254,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,9,-0.6613962867043233,-0.8179318911353247,-0.4977580666062014,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,10,-0.7759754097037641,-0.8827556550214822,-0.6698816404108198,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,11,-0.927154095276542,-1.059851601059021,-0.7998178546045145,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,0,True,q9,12,0.0,0.0,0.0,False,False,True,75,506,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,0,0.9374773480892182,0.6956047695980048,1.1861149475610564,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,1,1.4001901302337645,1.169502749370494,1.6191081252969262,True,True,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,2,0.9561835590998333,0.7328774501211672,1.173921013344253,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,3,0.43781902233759595,0.2564271759711595,0.6096043995604911,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,4,0.6824157082239788,0.5374577044277392,0.8224528475579954,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,5,0.9941371646722157,0.7595150760531267,1.2092048948764036,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,6,1.2226056594053905,1.0170573700217136,1.4218694796770888,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,7,0.9997910730838777,0.837176126816825,1.1630862893803955,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,8,0.6045168690681457,0.42718712727573777,0.7880545782566128,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,9,-0.13545567472775755,-0.28770533111847973,0.014345802248129903,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,10,-0.26961092003186504,-0.4321320136739293,-0.11647176896095186,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,11,0.11565035843849181,0.021789895360405476,0.20614206928292075,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,260,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,0,4.42893675994873,4.207127763882334,4.650424632907166,True,True,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,1,2.1014098011652624,1.8593313745408062,2.3353469108837612,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,2,0.5028539371490464,0.17900513312982028,0.8293167596086392,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,3,-2.0370286320050557,-2.555631309829555,-1.5670483594895381,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,4,0.7241449909210207,0.4046041190974249,1.0049961431906056,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,5,1.135602158228556,0.8706985331925717,1.3947066779052741,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,6,0.9870406235059104,0.7518777664973516,1.2187146514405176,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,7,1.5617869202295935,1.1926112124687547,1.894589184892647,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,8,2.3206147251129146,2.0084652025323253,2.606481042996376,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,9,-0.6241716491381339,-0.8385192524186725,-0.4002369697980489,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,0,True,q9,10,1.8009346011479686,1.582993282772133,2.02710418141348,True,False,False,318,1500,5000
