dataset,representation,layer,quantile_set,num_quantiles,quantiles,seed,mean_pinball_loss,quantile_loss
monash_electricity_hourly,fslot_K,11,q1,1,0.5,0,0.11931087076663971,0.23862172663211823
monash_kdd_cup_2018,content,0,q1,1,0.5,0,0.35340914130210876,0.7068182826042175
monash_kdd_cup_2018,content,1,q1,1,0.5,0,0.37179410457611084,0.7435882687568665
monash_kdd_cup_2018,content,2,q1,1,0.5,0,0.3813641369342804,0.7627282738685608
monash_kdd_cup_2018,content,3,q1,1,0.5,0,0.38369932770729065,0.7673986554145813
monash_kdd_cup_2018,content,4,q1,1,0.5,0,0.40587571263313293,0.8117513656616211
monash_kdd_cup_2018,content,5,q1,1,0.5,0,0.4152752459049225,0.830550491809845
monash_kdd_cup_2018,content,6,q1,1,0.5,0,0.41525888442993164,0.8305177688598633
monash_kdd_cup_2018,content,7,q1,1,0.5,0,0.39527761936187744,0.7905552387237549
monash_kdd_cup_2018,content,8,q1,1,0.5,0,0.3990027606487274,0.7980055212974548
monash_kdd_cup_2018,content,9,q1,1,0.5,0,0.41500669717788696,0.8300133943557739
monash_kdd_cup_2018,content,10,q1,1,0.5,0,0.4150264859199524,0.8300529718399048
monash_kdd_cup_2018,content,11,q1,1,0.5,0,0.3832724094390869,0.7665448188781738
monash_kdd_cup_2018,reg,0,q1,1,0.5,0,0.33295005559921265,0.6659001111984253
monash_kdd_cup_2018,reg,1,q1,1,0.5,0,0.3378788232803345,0.675757646560669
monash_kdd_cup_2018,reg,2,q1,1,0.5,0,0.342776358127594,0.685552716255188
monash_kdd_cup_2018,reg,3,q1,1,0.5,0,0.34683704376220703,0.6936739683151245
monash_kdd_cup_2018,reg,4,q1,1,0.5,0,0.3532448709011078,0.7064896821975708
monash_kdd_cup_2018,reg,5,q1,1,0.5,0,0.3609388768672943,0.7218778133392334
monash_kdd_cup_2018,reg,6,q1,1,0.5,0,0.36417287588119507,0.7283456921577454
monash_kdd_cup_2018,reg,7,q1,1,0.5,0,0.37012362480163574,0.7402473092079163
monash_kdd_cup_2018,reg,8,q1,1,0.5,0,0.37722086906433105,0.7544417381286621
monash_kdd_cup_2018,reg,9,q1,1,0.5,0,0.36915528774261475,0.7383105754852295
monash_kdd_cup_2018,reg,10,q1,1,0.5,0,0.3674142360687256,0.7348284721374512
monash_kdd_cup_2018,reg,11,q1,1,0.5,0,0.38229480385780334,0.7645896673202515
monash_kdd_cup_2018,content_K,0,q1,1,0.5,0,0.3537055253982544,0.7074111104011536
monash_kdd_cup_2018,content_K,1,q1,1,0.5,0,0.3733755946159363,0.7467511296272278
monash_kdd_cup_2018,content_K,2,q1,1,0.5,0,0.3859885632991791,0.7719771265983582
monash_kdd_cup_2018,content_K,3,q1,1,0.5,0,0.38846927881240845,0.7769384980201721
monash_kdd_cup_2018,content_K,4,q1,1,0.5,0,0.40889155864715576,0.8177831172943115
monash_kdd_cup_2018,content_K,5,q1,1,0.5,0,0.42180973291397095,0.8436195254325867
monash_kdd_cup_2018,content_K,6,q1,1,0.5,0,0.4187966287136078,0.8375932574272156
monash_kdd_cup_2018,content_K,7,q1,1,0.5,0,0.38939008116722107,0.7787802219390869
monash_kdd_cup_2018,content_K,8,q1,1,0.5,0,0.3963148593902588,0.7926297187805176
monash_kdd_cup_2018,content_K,9,q1,1,0.5,0,0.38823094964027405,0.7764619588851929
monash_kdd_cup_2018,content_K,10,q1,1,0.5,0,0.38510334491729736,0.77020663022995
monash_kdd_cup_2018,content_K,11,q1,1,0.5,0,0.3759235441684723,0.7518470287322998
monash_kdd_cup_2018,reg_K,0,q1,1,0.5,0,0.33470818400382996,0.6694163680076599
monash_kdd_cup_2018,reg_K,1,q1,1,0.5,0,0.3408065438270569,0.681613028049469
monash_kdd_cup_2018,reg_K,2,q1,1,0.5,0,0.3427087962627411,0.6854175925254822
monash_kdd_cup_2018,reg_K,3,q1,1,0.5,0,0.3506053388118744,0.7012107372283936
monash_kdd_cup_2018,reg_K,4,q1,1,0.5,0,0.35493701696395874,0.7098740339279175
monash_kdd_cup_2018,reg_K,5,q1,1,0.5,0,0.3607793152332306,0.721558690071106
monash_kdd_cup_2018,reg_K,6,q1,1,0.5,0,0.3640846610069275,0.7281692624092102
monash_kdd_cup_2018,reg_K,7,q1,1,0.5,0,0.36367613077163696,0.7273523211479187
monash_kdd_cup_2018,reg_K,8,q1,1,0.5,0,0.380425363779068,0.760850727558136
monash_kdd_cup_2018,reg_K,9,q1,1,0.5,0,0.3579103350639343,0.7158206701278687
monash_kdd_cup_2018,reg_K,10,q1,1,0.5,0,0.3554299473762512,0.7108598351478577
monash_kdd_cup_2018,reg_K,11,q1,1,0.5,0,0.35424312949180603,0.7084862589836121
monash_kdd_cup_2018,fslot_K,0,q1,1,0.5,0,0.3233540952205658,0.6467081904411316
monash_kdd_cup_2018,fslot_K,1,q1,1,0.5,0,0.31680378317832947,0.6336076259613037
monash_kdd_cup_2018,fslot_K,2,q1,1,0.5,0,0.32484152913093567,0.6496831178665161
monash_kdd_cup_2018,fslot_K,3,q1,1,0.5,0,0.33438044786453247,0.6687608957290649
monash_kdd_cup_2018,fslot_K,4,q1,1,0.5,0,0.3383767902851105,0.676753580570221
monash_kdd_cup_2018,fslot_K,5,q1,1,0.5,0,0.34627482295036316,0.6925496459007263
monash_kdd_cup_2018,fslot_K,6,q1,1,0.5,0,0.3284880816936493,0.6569761633872986
monash_kdd_cup_2018,fslot_K,7,q1,1,0.5,0,0.33082684874534607,0.6616536378860474
monash_kdd_cup_2018,fslot_K,8,q1,1,0.5,0,0.3095407485961914,0.6190814971923828
monash_kdd_cup_2018,fslot_K,9,q1,1,0.5,0,0.30078500509262085,0.6015699505805969
monash_kdd_cup_2018,fslot_K,10,q1,1,0.5,0,0.2952941358089447,0.5905882716178894
monash_kdd_cup_2018,fslot_K,11,q1,1,0.5,0,0.2937009036540985,0.5874018669128418
monash_pedestrian_counts,content,0,q1,1,0.5,0,0.17738521099090576,0.3547704219818115
monash_pedestrian_counts,content,1,q1,1,0.5,0,0.16609972715377808,0.33219945430755615
monash_pedestrian_counts,content,2,q1,1,0.5,0,0.15772035717964172,0.31544074416160583
monash_pedestrian_counts,content,3,q1,1,0.5,0,0.15831366181373596,0.3166273236274719
monash_pedestrian_counts,content,4,q1,1,0.5,0,0.1590973138809204,0.3181946277618408
monash_pedestrian_counts,content,5,q1,1,0.5,0,0.15930616855621338,0.31861230731010437
monash_pedestrian_counts,content,6,q1,1,0.5,0,0.16196854412555695,0.3239370882511139
monash_pedestrian_counts,content,7,q1,1,0.5,0,0.1662927269935608,0.3325854539871216
monash_pedestrian_counts,content,8,q1,1,0.5,0,0.16853894293308258,0.33707788586616516
monash_pedestrian_counts,content,9,q1,1,0.5,0,0.16551029682159424,0.3310205936431885
monash_pedestrian_counts,content,10,q1,1,0.5,0,0.16236887872219086,0.3247377574443817
monash_pedestrian_counts,content,11,q1,1,0.5,0,0.16411007940769196,0.3282201588153839
monash_pedestrian_counts,reg,0,q1,1,0.5,0,0.17012202739715576,0.3402440547943115
monash_pedestrian_counts,reg,1,q1,1,0.5,0,0.1634126603603363,0.3268253207206726
monash_pedestrian_counts,reg,2,q1,1,0.5,0,0.15150178968906403,0.30300357937812805
monash_pedestrian_counts,reg,3,q1,1,0.5,0,0.1448819786310196,0.2897639572620392
monash_pedestrian_counts,reg,4,q1,1,0.5,0,0.14097806811332703,0.28195613622665405
monash_pedestrian_counts,reg,5,q1,1,0.5,0,0.14183786511421204,0.2836757302284241
monash_pedestrian_counts,reg,6,q1,1,0.5,0,0.14384789764881134,0.2876957952976227
monash_pedestrian_counts,reg,7,q1,1,0.5,0,0.14544782042503357,0.29089564085006714
monash_pedestrian_counts,reg,8,q1,1,0.5,0,0.14763373136520386,0.2952674627304077
monash_pedestrian_counts,reg,9,q1,1,0.5,0,0.14799541234970093,0.29599085450172424
monash_pedestrian_counts,reg,10,q1,1,0.5,0,0.15098707377910614,0.30197420716285706
monash_pedestrian_counts,reg,11,q1,1,0.5,0,0.15410761535167694,0.3082152009010315
monash_pedestrian_counts,content_K,0,q1,1,0.5,0,0.17715632915496826,0.3543126583099365
monash_pedestrian_counts,content_K,1,q1,1,0.5,0,0.1667046844959259,0.3334093689918518
monash_pedestrian_counts,content_K,2,q1,1,0.5,0,0.16091066598892212,0.32182133197784424
monash_pedestrian_counts,content_K,3,q1,1,0.5,0,0.16107085347175598,0.32214170694351196
monash_pedestrian_counts,content_K,4,q1,1,0.5,0,0.16298775374889374,0.3259755074977875
monash_pedestrian_counts,content_K,5,q1,1,0.5,0,0.16310198605060577,0.32620397210121155
monash_pedestrian_counts,content_K,6,q1,1,0.5,0,0.16712045669555664,0.3342409133911133
monash_pedestrian_counts,content_K,7,q1,1,0.5,0,0.17112895846366882,0.34225791692733765
monash_pedestrian_counts,content_K,8,q1,1,0.5,0,0.17449551820755005,0.3489910364151001
monash_pedestrian_counts,content_K,9,q1,1,0.5,0,0.1725722700357437,0.3451445400714874
monash_pedestrian_counts,content_K,10,q1,1,0.5,0,0.17473314702510834,0.3494662940502167
monash_pedestrian_counts,content_K,11,q1,1,0.5,0,0.17490048706531525,0.3498009741306305
monash_pedestrian_counts,reg_K,0,q1,1,0.5,0,0.1703985035419464,0.3407970070838928
monash_pedestrian_counts,reg_K,1,q1,1,0.5,0,0.1626882553100586,0.3253765106201172
monash_pedestrian_counts,reg_K,2,q1,1,0.5,0,0.15116335451602936,0.3023267090320587
monash_pedestrian_counts,reg_K,3,q1,1,0.5,0,0.14719824492931366,0.2943964898586273
monash_pedestrian_counts,reg_K,4,q1,1,0.5,0,0.144424706697464,0.288849413394928
monash_pedestrian_counts,reg_K,5,q1,1,0.5,0,0.14283205568790436,0.2856641113758087
monash_pedestrian_counts,reg_K,6,q1,1,0.5,0,0.1435377448797226,0.2870754897594452
monash_pedestrian_counts,reg_K,7,q1,1,0.5,0,0.14424942433834076,0.2884988486766815
monash_pedestrian_counts,reg_K,8,q1,1,0.5,0,0.1463399976491928,0.2926799952983856
monash_pedestrian_counts,reg_K,9,q1,1,0.5,0,0.1495145708322525,0.299029141664505
monash_pedestrian_counts,reg_K,10,q1,1,0.5,0,0.1509408801794052,0.3018817603588104
monash_pedestrian_counts,reg_K,11,q1,1,0.5,0,0.15672791004180908,0.3134557902812958
monash_pedestrian_counts,fslot_K,0,q1,1,0.5,0,0.2462702840566635,0.492540568113327
