pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,0,Emb,4.783196,2.495618,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,1,L1,3.75111,1.930267,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,2,L2,2.621655,1.220654,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,3,L3,2.180169,1.024707,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,4,L4,2.199147,1.050318,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,5,L5,2.269428,1.061347,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,6,L6,2.256898,1.06921,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,7,L7,2.303867,1.07469,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,8,L8,2.29518,1.078492,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,9,L9,2.21209,1.045094,False,False,False
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,10,L10,2.255733,1.060201,False,False,True
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,11,L11,2.28386,1.076112,False,False,True
