,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.987781,0.916082,0.886657,0.817831,0.676928,0.644823,0.550953,0.373260,0.314262,0.210711,0.142630,0.067975,0.162124
L1,0.987781,1.000000,0.963172,0.940730,0.883055,0.752509,0.723109,0.636545,0.464994,0.406906,0.302756,0.230512,0.134929,0.248641
L2,0.916082,0.963172,1.000000,0.993948,0.959760,0.855825,0.831324,0.761219,0.606035,0.553646,0.451779,0.370976,0.248574,0.384010
L3,0.886657,0.940730,0.993948,1.000000,0.978896,0.891317,0.867876,0.802633,0.654257,0.601548,0.495894,0.406366,0.289278,0.410202
L4,0.817831,0.883055,0.959760,0.978896,1.000000,0.954632,0.937171,0.887622,0.747653,0.696978,0.582738,0.469125,0.338782,0.456448
L5,0.676928,0.752509,0.855825,0.891317,0.954632,1.000000,0.992629,0.968371,0.853604,0.803146,0.678532,0.540074,0.393220,0.493105
L6,0.644823,0.723109,0.831324,0.867876,0.937171,0.992629,1.000000,0.981566,0.878202,0.827969,0.701459,0.557765,0.404187,0.502876
L7,0.550953,0.636545,0.761219,0.802633,0.887622,0.968371,0.981566,1.000000,0.923704,0.883066,0.763310,0.615403,0.455038,0.550050
L8,0.373260,0.464994,0.606035,0.654257,0.747653,0.853604,0.878202,0.923704,1.000000,0.979035,0.874301,0.728650,0.506589,0.610526
L9,0.314262,0.406906,0.553646,0.601548,0.696978,0.803146,0.827969,0.883066,0.979035,1.000000,0.920780,0.775355,0.527286,0.651376
L10,0.210711,0.302756,0.451779,0.495894,0.582738,0.678532,0.701459,0.763310,0.874301,0.920780,1.000000,0.917711,0.603740,0.794137
L11,0.142630,0.230512,0.370976,0.406366,0.469125,0.540074,0.557765,0.615403,0.728650,0.775355,0.917711,1.000000,0.628584,0.901395
L12,0.067975,0.134929,0.248574,0.289278,0.338782,0.393220,0.404187,0.455038,0.506589,0.527286,0.603740,0.628584,1.000000,0.707106
L12+LN,0.162124,0.248641,0.384010,0.410202,0.456448,0.493105,0.502876,0.550050,0.610526,0.651376,0.794137,0.901395,0.707106,1.000000
