,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.342204,0.308330,0.323773,0.352679,0.353917,0.369593,0.430777,0.438132,0.429851,0.178119,0.079480,0.030193,0.264017
L1,0.342204,1.000000,0.974878,0.948924,0.862188,0.689234,0.566101,0.466786,0.480036,0.441643,0.382905,0.386052,0.444162,0.306422
L2,0.308330,0.974878,1.000000,0.984062,0.899577,0.721273,0.593162,0.486513,0.499752,0.452480,0.412002,0.424449,0.491350,0.332678
L3,0.323773,0.948924,0.984062,1.000000,0.955443,0.814665,0.698889,0.577893,0.596281,0.552375,0.446301,0.428405,0.478947,0.433517
L4,0.352679,0.862188,0.899577,0.955443,1.000000,0.934594,0.846280,0.708388,0.737340,0.705032,0.496562,0.427124,0.442482,0.587622
L5,0.353917,0.689234,0.721273,0.814665,0.934594,1.000000,0.965961,0.819413,0.857393,0.846746,0.529454,0.408598,0.388789,0.757718
L6,0.369593,0.566101,0.593162,0.698889,0.846280,0.965961,1.000000,0.881039,0.914237,0.904937,0.519402,0.367172,0.328479,0.792661
L7,0.430777,0.466786,0.486513,0.577893,0.708388,0.819413,0.881039,1.000000,0.990156,0.936675,0.506579,0.327968,0.288384,0.697967
L8,0.438132,0.480036,0.499752,0.596281,0.737340,0.857393,0.914237,0.990156,1.000000,0.962209,0.522045,0.339018,0.292947,0.743862
L9,0.429851,0.441643,0.452480,0.552375,0.705032,0.846746,0.904937,0.936675,0.962209,1.000000,0.534779,0.342619,0.286997,0.808436
L10,0.178119,0.382905,0.412002,0.446301,0.496562,0.529454,0.519402,0.506579,0.522045,0.534779,1.000000,0.922255,0.739366,0.434253
L11,0.079480,0.386052,0.424449,0.428405,0.427124,0.408598,0.367172,0.327968,0.339018,0.342619,0.922255,1.000000,0.908450,0.292911
L12,0.030193,0.444162,0.491350,0.478947,0.442482,0.388789,0.328479,0.288384,0.292947,0.286997,0.739366,0.908450,1.000000,0.234005
L12+LN,0.264017,0.306422,0.332678,0.433517,0.587622,0.757718,0.792661,0.697967,0.743862,0.808436,0.434253,0.292911,0.234005,1.000000
