dataset,short,kind,layer,cka_to_final
monash_electricity_hourly,Electricity,PT-ID,Emb,0.11594191078302417
monash_electricity_hourly,Electricity,PT-ID,L1,0.12630839205782493
monash_electricity_hourly,Electricity,PT-ID,L2,0.15430780354093238
monash_electricity_hourly,Electricity,PT-ID,L3,0.4283600463224955
monash_electricity_hourly,Electricity,PT-ID,L4,0.5962748545018673
monash_electricity_hourly,Electricity,PT-ID,L5,0.7496380136355177
monash_electricity_hourly,Electricity,PT-ID,L6,0.7611292670939739
monash_electricity_hourly,Electricity,PT-ID,L7,0.8137090022732718
monash_electricity_hourly,Electricity,PT-ID,L8,0.8140521469687241
monash_electricity_hourly,Electricity,PT-ID,L9,0.8527285045138573
monash_electricity_hourly,Electricity,PT-ID,L10,0.8939015264276928
monash_electricity_hourly,Electricity,PT-ID,L11,0.9318054815266056
monash_electricity_hourly,Electricity,PT-ID,L12,0.901963018438221
monash_electricity_hourly,Electricity,PT-ID,L12+LN,1.0000000000000002
uber_tlc_hourly,Uber,PT-ID,Emb,0.2640166192715025
uber_tlc_hourly,Uber,PT-ID,L1,0.3064215718082973
uber_tlc_hourly,Uber,PT-ID,L2,0.3326779238284717
uber_tlc_hourly,Uber,PT-ID,L3,0.43351698646359327
uber_tlc_hourly,Uber,PT-ID,L4,0.5876220983919415
uber_tlc_hourly,Uber,PT-ID,L5,0.7577178623703448
uber_tlc_hourly,Uber,PT-ID,L6,0.7926612764624651
uber_tlc_hourly,Uber,PT-ID,L7,0.6979673980543725
uber_tlc_hourly,Uber,PT-ID,L8,0.7438619133127548
uber_tlc_hourly,Uber,PT-ID,L9,0.8084356539243056
uber_tlc_hourly,Uber,PT-ID,L10,0.4342534831628473
uber_tlc_hourly,Uber,PT-ID,L11,0.2929108797856668
uber_tlc_hourly,Uber,PT-ID,L12,0.2340052731996141
uber_tlc_hourly,Uber,PT-ID,L12+LN,1.0000000000000002
m4_hourly,M4,PT-ID,Emb,0.03179465536621535
m4_hourly,M4,PT-ID,L1,0.14090516232924524
m4_hourly,M4,PT-ID,L2,0.18092467083478933
m4_hourly,M4,PT-ID,L3,0.4812729923119244
m4_hourly,M4,PT-ID,L4,0.6384975674351733
m4_hourly,M4,PT-ID,L5,0.8073923013324308
m4_hourly,M4,PT-ID,L6,0.8167668322456986
m4_hourly,M4,PT-ID,L7,0.8550795807707597
m4_hourly,M4,PT-ID,L8,0.8508305632957769
m4_hourly,M4,PT-ID,L9,0.8951292465355828
m4_hourly,M4,PT-ID,L10,0.9122485761718272
m4_hourly,M4,PT-ID,L11,0.9303819960632076
m4_hourly,M4,PT-ID,L12,0.9378299535448008
m4_hourly,M4,PT-ID,L12+LN,1.0
wind_farms_hourly,WindFarms,PT-ID,Emb,0.012231565298553874
wind_farms_hourly,WindFarms,PT-ID,L1,0.33600131223705093
wind_farms_hourly,WindFarms,PT-ID,L2,0.35811099728426604
wind_farms_hourly,WindFarms,PT-ID,L3,0.39805768022337007
wind_farms_hourly,WindFarms,PT-ID,L4,0.4578918665825997
wind_farms_hourly,WindFarms,PT-ID,L5,0.5217749209346872
wind_farms_hourly,WindFarms,PT-ID,L6,0.5196047926971762
wind_farms_hourly,WindFarms,PT-ID,L7,0.5617164773575178
wind_farms_hourly,WindFarms,PT-ID,L8,0.5563646784217318
wind_farms_hourly,WindFarms,PT-ID,L9,0.650772840010096
wind_farms_hourly,WindFarms,PT-ID,L10,0.21610539017373445
wind_farms_hourly,WindFarms,PT-ID,L11,0.2505081930946358
wind_farms_hourly,WindFarms,PT-ID,L12,0.29333734474420287
wind_farms_hourly,WindFarms,PT-ID,L12+LN,1.0000000000000002
sg_carpark,SG-Carpark,PT-OOD,Emb,0.03484000209038418
sg_carpark,SG-Carpark,PT-OOD,L1,0.2152095843941812
sg_carpark,SG-Carpark,PT-OOD,L2,0.22614487583918366
sg_carpark,SG-Carpark,PT-OOD,L3,0.4294714399637005
sg_carpark,SG-Carpark,PT-OOD,L4,0.668672243898373
sg_carpark,SG-Carpark,PT-OOD,L5,0.8478614639348587
sg_carpark,SG-Carpark,PT-OOD,L6,0.8619868851348338
sg_carpark,SG-Carpark,PT-OOD,L7,0.8987827884427795
sg_carpark,SG-Carpark,PT-OOD,L8,0.8992051206884233
sg_carpark,SG-Carpark,PT-OOD,L9,0.9319566777185092
sg_carpark,SG-Carpark,PT-OOD,L10,0.9484290665385235
sg_carpark,SG-Carpark,PT-OOD,L11,0.9631365663038918
sg_carpark,SG-Carpark,PT-OOD,L12,0.9518264485818242
sg_carpark,SG-Carpark,PT-OOD,L12+LN,0.9999999999999999
coastal_ts,Coastal-TS,PT-OOD,Emb,0.05763054469863794
coastal_ts,Coastal-TS,PT-OOD,L1,0.6796280482063908
coastal_ts,Coastal-TS,PT-OOD,L2,0.7218303617252726
coastal_ts,Coastal-TS,PT-OOD,L3,0.7502161972856688
coastal_ts,Coastal-TS,PT-OOD,L4,0.7773746919814789
coastal_ts,Coastal-TS,PT-OOD,L5,0.7970375624991538
coastal_ts,Coastal-TS,PT-OOD,L6,0.7843203257884069
coastal_ts,Coastal-TS,PT-OOD,L7,0.7929731653328757
coastal_ts,Coastal-TS,PT-OOD,L8,0.7965752183377541
coastal_ts,Coastal-TS,PT-OOD,L9,0.8376210333662091
coastal_ts,Coastal-TS,PT-OOD,L10,0.8837208612928044
coastal_ts,Coastal-TS,PT-OOD,L11,0.8956143576230261
coastal_ts,Coastal-TS,PT-OOD,L12,0.8894636396588299
coastal_ts,Coastal-TS,PT-OOD,L12+LN,0.9999999999999999
boom_hourly,BOOM,PT-OOD,Emb,0.03381804197221873
boom_hourly,BOOM,PT-OOD,L1,0.5466515527413048
boom_hourly,BOOM,PT-OOD,L2,0.5809588949082622
boom_hourly,BOOM,PT-OOD,L3,0.5955906008028173
boom_hourly,BOOM,PT-OOD,L4,0.6134019421420583
boom_hourly,BOOM,PT-OOD,L5,0.620081212360755
boom_hourly,BOOM,PT-OOD,L6,0.5887773098291833
boom_hourly,BOOM,PT-OOD,L7,0.6164899055982888
boom_hourly,BOOM,PT-OOD,L8,0.626549356022405
boom_hourly,BOOM,PT-OOD,L9,0.7013491503097672
boom_hourly,BOOM,PT-OOD,L10,0.25355414306840807
boom_hourly,BOOM,PT-OOD,L11,0.3507209755472024
boom_hourly,BOOM,PT-OOD,L12,0.4902622636281554
boom_hourly,BOOM,PT-OOD,L12+LN,1.0
