,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Emb,1.000000,0.964448,0.929544,0.918622,0.910604,0.900873,0.877454,0.873214,0.809620,0.755345,0.773930,0.774879,0.828444
L1,0.964448,1.000000,0.987187,0.981328,0.973215,0.963012,0.940306,0.933191,0.860366,0.800494,0.823999,0.841743,0.858056
L2,0.929544,0.987187,1.000000,0.998330,0.991395,0.983428,0.962007,0.956263,0.879410,0.817603,0.845177,0.868179,0.896573
L3,0.918622,0.981328,0.998330,1.000000,0.996099,0.989297,0.970860,0.965052,0.891489,0.830988,0.856989,0.879476,0.895601
L4,0.910604,0.973215,0.991395,0.996099,1.000000,0.996912,0.985308,0.980224,0.916977,0.860152,0.882387,0.901297,0.894270
L5,0.900873,0.963012,0.983428,0.989297,0.996912,1.000000,0.994160,0.991285,0.938354,0.886240,0.905901,0.921406,0.894768
L6,0.877454,0.940306,0.962007,0.970860,0.985308,0.994160,1.000000,0.998367,0.959216,0.912412,0.927173,0.937541,0.879552
L7,0.873214,0.933191,0.956263,0.965052,0.980224,0.991285,0.998367,1.000000,0.968608,0.925894,0.940152,0.947823,0.880043
L8,0.809620,0.860366,0.879410,0.891489,0.916977,0.938354,0.959216,0.968608,1.000000,0.986737,0.986210,0.974488,0.801565
L9,0.755345,0.800494,0.817603,0.830988,0.860152,0.886240,0.912412,0.925894,0.986737,1.000000,0.991366,0.968003,0.739802
L10,0.773930,0.823999,0.845177,0.856989,0.882387,0.905901,0.927173,0.940152,0.986210,0.991366,1.000000,0.984983,0.775531
L11,0.774879,0.841743,0.868179,0.879476,0.901297,0.921406,0.937541,0.947823,0.974488,0.968003,0.984983,1.000000,0.797268
L12,0.828444,0.858056,0.896573,0.895601,0.894270,0.894768,0.879552,0.880043,0.801565,0.739802,0.775531,0.797268,1.000000
