dataset,short,group,layer,cka_to_final
monash_electricity_hourly,Electricity,in_domain_PT-ID,Emb,0.5065890013302338
monash_electricity_hourly,Electricity,in_domain_PT-ID,L1,0.5738738280256513
monash_electricity_hourly,Electricity,in_domain_PT-ID,L2,0.5825766500169098
monash_electricity_hourly,Electricity,in_domain_PT-ID,L3,0.5925914601626093
monash_electricity_hourly,Electricity,in_domain_PT-ID,L4,0.5969136836270951
monash_electricity_hourly,Electricity,in_domain_PT-ID,L5,0.5975073222685152
monash_electricity_hourly,Electricity,in_domain_PT-ID,L6,0.5885526295150045
monash_electricity_hourly,Electricity,in_domain_PT-ID,L7,0.5930469634739871
monash_electricity_hourly,Electricity,in_domain_PT-ID,L8,0.5912493887925344
monash_electricity_hourly,Electricity,in_domain_PT-ID,L9,0.5785062762692772
monash_electricity_hourly,Electricity,in_domain_PT-ID,L10,0.6002411150161633
monash_electricity_hourly,Electricity,in_domain_PT-ID,L11,0.6272518538766488
monash_electricity_hourly,Electricity,in_domain_PT-ID,L12,1.0
uber_tlc_hourly,Uber,in_domain_PT-ID,Emb,0.887908837138815
uber_tlc_hourly,Uber,in_domain_PT-ID,L1,0.8854573297149962
uber_tlc_hourly,Uber,in_domain_PT-ID,L2,0.8785316119815954
uber_tlc_hourly,Uber,in_domain_PT-ID,L3,0.8519516732336961
uber_tlc_hourly,Uber,in_domain_PT-ID,L4,0.8268279250659938
uber_tlc_hourly,Uber,in_domain_PT-ID,L5,0.8234440655244009
uber_tlc_hourly,Uber,in_domain_PT-ID,L6,0.8146588343186263
uber_tlc_hourly,Uber,in_domain_PT-ID,L7,0.7611683430400418
uber_tlc_hourly,Uber,in_domain_PT-ID,L8,0.7204443837493507
uber_tlc_hourly,Uber,in_domain_PT-ID,L9,0.6762057055208195
uber_tlc_hourly,Uber,in_domain_PT-ID,L10,0.7083458485762025
uber_tlc_hourly,Uber,in_domain_PT-ID,L11,0.7217197881805278
uber_tlc_hourly,Uber,in_domain_PT-ID,L12,1.0000000000000002
m4_hourly,M4,in_domain_PT-ID,Emb,0.35704523525928206
m4_hourly,M4,in_domain_PT-ID,L1,0.45004896038764264
m4_hourly,M4,in_domain_PT-ID,L2,0.5252737747915989
m4_hourly,M4,in_domain_PT-ID,L3,0.5874222740091477
m4_hourly,M4,in_domain_PT-ID,L4,0.6954677184972572
m4_hourly,M4,in_domain_PT-ID,L5,0.7497786811400974
m4_hourly,M4,in_domain_PT-ID,L6,0.7552954328605623
m4_hourly,M4,in_domain_PT-ID,L7,0.7598290774361274
m4_hourly,M4,in_domain_PT-ID,L8,0.7878719344133761
m4_hourly,M4,in_domain_PT-ID,L9,0.8109419902447538
m4_hourly,M4,in_domain_PT-ID,L10,0.8276376699300598
m4_hourly,M4,in_domain_PT-ID,L11,0.8618284618549749
m4_hourly,M4,in_domain_PT-ID,L12,1.0000000000000002
wind_farms_hourly,WindFarms,in_domain_PT-ID,Emb,0.8284441777212266
wind_farms_hourly,WindFarms,in_domain_PT-ID,L1,0.8580555238658494
wind_farms_hourly,WindFarms,in_domain_PT-ID,L2,0.8965728530974456
wind_farms_hourly,WindFarms,in_domain_PT-ID,L3,0.8956011280346761
wind_farms_hourly,WindFarms,in_domain_PT-ID,L4,0.894269921956473
wind_farms_hourly,WindFarms,in_domain_PT-ID,L5,0.8947676207538616
wind_farms_hourly,WindFarms,in_domain_PT-ID,L6,0.8795521506617769
wind_farms_hourly,WindFarms,in_domain_PT-ID,L7,0.8800431381664859
wind_farms_hourly,WindFarms,in_domain_PT-ID,L8,0.8015652169518609
wind_farms_hourly,WindFarms,in_domain_PT-ID,L9,0.7398018821265914
wind_farms_hourly,WindFarms,in_domain_PT-ID,L10,0.7755310107170711
wind_farms_hourly,WindFarms,in_domain_PT-ID,L11,0.7972677145573559
wind_farms_hourly,WindFarms,in_domain_PT-ID,L12,0.9999999999999998
sg_carpark,SG-Carpark,unseen_PT-OOD,Emb,0.5306674552123505
sg_carpark,SG-Carpark,unseen_PT-OOD,L1,0.5809925794825587
sg_carpark,SG-Carpark,unseen_PT-OOD,L2,0.6160627825901938
sg_carpark,SG-Carpark,unseen_PT-OOD,L3,0.6539460876950577
sg_carpark,SG-Carpark,unseen_PT-OOD,L4,0.6802396685178126
sg_carpark,SG-Carpark,unseen_PT-OOD,L5,0.6953831437446161
sg_carpark,SG-Carpark,unseen_PT-OOD,L6,0.7017740206173844
sg_carpark,SG-Carpark,unseen_PT-OOD,L7,0.7092309964090068
sg_carpark,SG-Carpark,unseen_PT-OOD,L8,0.6978621088148274
sg_carpark,SG-Carpark,unseen_PT-OOD,L9,0.6985467897170045
sg_carpark,SG-Carpark,unseen_PT-OOD,L10,0.7184329171428758
sg_carpark,SG-Carpark,unseen_PT-OOD,L11,0.7411108596133674
sg_carpark,SG-Carpark,unseen_PT-OOD,L12,1.0
coastal_ts,Coastal-TS,unseen_PT-OOD,Emb,0.4200242895806056
coastal_ts,Coastal-TS,unseen_PT-OOD,L1,0.4618913697882466
coastal_ts,Coastal-TS,unseen_PT-OOD,L2,0.49986663336155557
coastal_ts,Coastal-TS,unseen_PT-OOD,L3,0.5241219385560782
coastal_ts,Coastal-TS,unseen_PT-OOD,L4,0.543718849802863
coastal_ts,Coastal-TS,unseen_PT-OOD,L5,0.5788236454178083
coastal_ts,Coastal-TS,unseen_PT-OOD,L6,0.5803744214377806
coastal_ts,Coastal-TS,unseen_PT-OOD,L7,0.5916125704511953
coastal_ts,Coastal-TS,unseen_PT-OOD,L8,0.5667139791492211
coastal_ts,Coastal-TS,unseen_PT-OOD,L9,0.5581065223215551
coastal_ts,Coastal-TS,unseen_PT-OOD,L10,0.5757836140818311
coastal_ts,Coastal-TS,unseen_PT-OOD,L11,0.6760251901139614
coastal_ts,Coastal-TS,unseen_PT-OOD,L12,0.9999999999999998
boom_hourly,BOOM,unseen_PT-OOD,Emb,0.7935545537730813
boom_hourly,BOOM,unseen_PT-OOD,L1,0.8244729715423487
boom_hourly,BOOM,unseen_PT-OOD,L2,0.8576402426180917
boom_hourly,BOOM,unseen_PT-OOD,L3,0.8562660447935924
boom_hourly,BOOM,unseen_PT-OOD,L4,0.8526437777554015
boom_hourly,BOOM,unseen_PT-OOD,L5,0.8535186668376751
boom_hourly,BOOM,unseen_PT-OOD,L6,0.8502883771697055
boom_hourly,BOOM,unseen_PT-OOD,L7,0.8539202565392328
boom_hourly,BOOM,unseen_PT-OOD,L8,0.8305536975728827
boom_hourly,BOOM,unseen_PT-OOD,L9,0.8039436748516279
boom_hourly,BOOM,unseen_PT-OOD,L10,0.7834602869375284
boom_hourly,BOOM,unseen_PT-OOD,L11,0.7831644751701614
boom_hourly,BOOM,unseen_PT-OOD,L12,1.0000000000000002
