,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Emb,1.000000,0.962826,0.891302,0.808341,0.696857,0.621437,0.580655,0.540136,0.467870,0.435391,0.409418,0.408121,0.357045
L1,0.962826,1.000000,0.975382,0.923827,0.829134,0.757637,0.717314,0.675880,0.604135,0.568984,0.540651,0.523080,0.450049
L2,0.891302,0.975382,1.000000,0.982219,0.919177,0.858357,0.823505,0.785321,0.719983,0.683961,0.654054,0.623376,0.525274
L3,0.808341,0.923827,0.982219,1.000000,0.969270,0.920676,0.890826,0.857479,0.802244,0.770554,0.741400,0.703914,0.587422
L4,0.696857,0.829134,0.919177,0.969270,1.000000,0.984998,0.968704,0.946149,0.911246,0.888527,0.865304,0.830550,0.695468
L5,0.621437,0.757637,0.858357,0.920676,0.984998,1.000000,0.994943,0.982163,0.959081,0.940457,0.922095,0.891806,0.749779
L6,0.580655,0.717314,0.823505,0.890826,0.968704,0.994943,1.000000,0.994006,0.976259,0.958393,0.941490,0.909484,0.755295
L7,0.540136,0.675880,0.785321,0.857479,0.946149,0.982163,0.994006,1.000000,0.987150,0.970820,0.955719,0.923124,0.759829
L8,0.467870,0.604135,0.719983,0.802244,0.911246,0.959081,0.976259,0.987150,1.000000,0.993356,0.982592,0.953646,0.787872
L9,0.435391,0.568984,0.683961,0.770554,0.888527,0.940457,0.958393,0.970820,0.993356,1.000000,0.992793,0.969887,0.810942
L10,0.409418,0.540651,0.654054,0.741400,0.865304,0.922095,0.941490,0.955719,0.982592,0.992793,1.000000,0.985431,0.827638
L11,0.408121,0.523080,0.623376,0.703914,0.830550,0.891806,0.909484,0.923124,0.953646,0.969887,0.985431,1.000000,0.861828
L12,0.357045,0.450049,0.525274,0.587422,0.695468,0.749779,0.755295,0.759829,0.787872,0.810942,0.827638,0.861828,1.000000
