,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Emb,1.000000,0.981903,0.956041,0.926413,0.888878,0.853847,0.831348,0.808650,0.734579,0.691872,0.653195,0.675814,0.530667
L1,0.981903,1.000000,0.989165,0.970147,0.939427,0.909016,0.886312,0.866577,0.796022,0.753111,0.720573,0.739040,0.580993
L2,0.956041,0.989165,1.000000,0.991579,0.968002,0.942497,0.921975,0.904098,0.836377,0.793365,0.762993,0.776504,0.616063
L3,0.926413,0.970147,0.991579,1.000000,0.988671,0.970377,0.953496,0.939214,0.877421,0.834933,0.806768,0.815531,0.653946
L4,0.888878,0.939427,0.968002,0.988671,1.000000,0.990238,0.979274,0.967870,0.915600,0.875510,0.850777,0.851954,0.680240
L5,0.853847,0.909016,0.942497,0.970377,0.990238,1.000000,0.994608,0.987929,0.945038,0.906817,0.880081,0.876106,0.695383
L6,0.831348,0.886312,0.921975,0.953496,0.979274,0.994608,1.000000,0.994558,0.956578,0.919386,0.893330,0.885411,0.701774
L7,0.808650,0.866577,0.904098,0.939214,0.967870,0.987929,0.994558,1.000000,0.969854,0.937112,0.910182,0.898608,0.709231
L8,0.734579,0.796022,0.836377,0.877421,0.915600,0.945038,0.956578,0.969854,1.000000,0.980347,0.956112,0.929819,0.697862
L9,0.691872,0.753111,0.793365,0.834933,0.875510,0.906817,0.919386,0.937112,0.980347,1.000000,0.977442,0.941932,0.698547
L10,0.653195,0.720573,0.762993,0.806768,0.850777,0.880081,0.893330,0.910182,0.956112,0.977442,1.000000,0.972057,0.718433
L11,0.675814,0.739040,0.776504,0.815531,0.851954,0.876106,0.885411,0.898608,0.929819,0.941932,0.972057,1.000000,0.741111
L12,0.530667,0.580993,0.616063,0.653946,0.680240,0.695383,0.701774,0.709231,0.697862,0.698547,0.718433,0.741111,1.000000
