,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Emb,1.000000,0.962945,0.933604,0.894719,0.860320,0.824030,0.802962,0.772374,0.664027,0.615155,0.582281,0.631937,0.506589
L1,0.962945,1.000000,0.991572,0.972754,0.948631,0.921496,0.900373,0.873406,0.766273,0.717524,0.694844,0.737407,0.573874
L2,0.933604,0.991572,1.000000,0.992016,0.974241,0.951089,0.931822,0.906830,0.802620,0.751821,0.731027,0.772872,0.582577
L3,0.894719,0.972754,0.992016,1.000000,0.992199,0.977122,0.962216,0.941094,0.842616,0.791520,0.774066,0.814852,0.592591
L4,0.860320,0.948631,0.974241,0.992199,1.000000,0.993719,0.983946,0.967750,0.880104,0.829778,0.813026,0.847329,0.596914
L5,0.824030,0.921496,0.951089,0.977122,0.993719,1.000000,0.995637,0.983574,0.904889,0.856879,0.840109,0.869574,0.597507
L6,0.802962,0.900373,0.931822,0.962216,0.983946,0.995637,1.000000,0.992378,0.922562,0.874223,0.856191,0.883181,0.588553
L7,0.772374,0.873406,0.906830,0.941094,0.967750,0.983574,0.992378,1.000000,0.947877,0.901119,0.883524,0.904649,0.593047
L8,0.664027,0.766273,0.802620,0.842616,0.880104,0.904889,0.922562,0.947877,1.000000,0.972012,0.951511,0.937991,0.591249
L9,0.615155,0.717524,0.751821,0.791520,0.829778,0.856879,0.874223,0.901119,0.972012,1.000000,0.978276,0.939797,0.578506
L10,0.582281,0.694844,0.731027,0.774066,0.813026,0.840109,0.856191,0.883524,0.951511,0.978276,1.000000,0.967096,0.600241
L11,0.631937,0.737407,0.772872,0.814852,0.847329,0.869574,0.883181,0.904649,0.937991,0.939797,0.967096,1.000000,0.627252
L12,0.506589,0.573874,0.582577,0.592591,0.596914,0.597507,0.588553,0.593047,0.591249,0.578506,0.600241,0.627252,1.000000
