,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.344053,0.314835,0.329130,0.358791,0.358989,0.375695,0.437034,0.445889,0.433859,0.196375,0.078652,0.027267,0.241701
L1,0.342272,0.999639,0.979132,0.952137,0.862541,0.688824,0.568662,0.463187,0.475484,0.437988,0.397271,0.390945,0.444512,0.318894
L2,0.308387,0.970765,0.999637,0.984075,0.897009,0.718259,0.593014,0.480890,0.491945,0.447362,0.426112,0.430222,0.492482,0.348355
L3,0.323820,0.944271,0.982925,0.999713,0.953302,0.811501,0.698156,0.573752,0.589533,0.548948,0.466180,0.434962,0.480401,0.448443
L4,0.352709,0.857587,0.898424,0.955821,0.999605,0.932368,0.846295,0.709252,0.735152,0.706161,0.525532,0.434550,0.444084,0.598528
L5,0.353919,0.685353,0.720447,0.816159,0.936567,0.999317,0.966661,0.827361,0.861808,0.853116,0.567414,0.416798,0.390375,0.763442
L6,0.369585,0.563031,0.592970,0.701206,0.849692,0.965779,0.998929,0.889065,0.918145,0.909177,0.559404,0.374355,0.329379,0.792278
L7,0.430781,0.464767,0.487350,0.581405,0.713513,0.821433,0.880354,0.997018,0.982724,0.930874,0.543818,0.332932,0.288079,0.693370
L8,0.438129,0.477887,0.500553,0.599806,0.742856,0.860017,0.914843,0.991422,0.996820,0.958554,0.561172,0.344378,0.292712,0.738579
L9,0.429848,0.439567,0.453612,0.556329,0.711367,0.850034,0.907343,0.944240,0.967108,0.995603,0.574879,0.347743,0.286604,0.800610
L10,0.178117,0.382246,0.412660,0.448773,0.499305,0.532817,0.522943,0.511096,0.526760,0.534853,0.995849,0.919222,0.736114,0.435158
L11,0.079476,0.385217,0.423853,0.429832,0.427587,0.410870,0.370207,0.330337,0.342182,0.342323,0.905375,0.996939,0.904817,0.297759
L12,0.030190,0.442411,0.488867,0.479883,0.441387,0.390047,0.330351,0.288129,0.293160,0.283397,0.725602,0.909544,0.995375,0.242315
L12+LN,0.263970,0.302991,0.330943,0.434723,0.590700,0.756833,0.792576,0.707579,0.750064,0.809150,0.470461,0.298731,0.234250,0.996917
