,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.344121,0.314894,0.329178,0.358822,0.358992,0.375687,0.437037,0.445886,0.433854,0.196373,0.078648,0.027264,0.241657
L1,0.344121,1.000000,0.975631,0.947940,0.858342,0.685320,0.565912,0.461397,0.473663,0.436112,0.396545,0.390063,0.442744,0.315081
L2,0.314894,0.975631,1.000000,0.983490,0.896356,0.717874,0.593242,0.482019,0.493161,0.448704,0.426822,0.429545,0.489958,0.346125
L3,0.329178,0.947940,0.983490,1.000000,0.954220,0.813477,0.700940,0.577597,0.593474,0.553064,0.468811,0.436348,0.481318,0.449226
L4,0.358822,0.858342,0.896356,0.954220,1.000000,0.935088,0.850441,0.714972,0.741355,0.712833,0.528669,0.435017,0.443009,0.601180
L5,0.358992,0.685320,0.717874,0.813477,0.935088,1.000000,0.967859,0.830465,0.865665,0.857291,0.571230,0.419179,0.391683,0.762308
L6,0.375687,0.565912,0.593242,0.700940,0.850441,0.967859,1.000000,0.890286,0.920826,0.913164,0.563673,0.377621,0.331338,0.792205
L7,0.437037,0.461397,0.482019,0.577597,0.714972,0.830465,0.890286,1.000000,0.989665,0.942859,0.550679,0.336035,0.288177,0.702981
L8,0.445886,0.473663,0.493161,0.593474,0.741355,0.865665,0.920826,0.989665,1.000000,0.968586,0.568344,0.348369,0.293397,0.744780
L9,0.433854,0.436112,0.448704,0.553064,0.712833,0.857291,0.913164,0.942859,0.968586,1.000000,0.578846,0.349126,0.284227,0.802544
L10,0.196373,0.396545,0.426822,0.468811,0.528669,0.571230,0.563673,0.550679,0.568344,0.578846,1.000000,0.906863,0.725060,0.472270
L11,0.078648,0.390063,0.429545,0.436348,0.435017,0.419179,0.377621,0.336035,0.348369,0.349126,0.906863,1.000000,0.911639,0.304877
L12,0.027264,0.442744,0.489958,0.481318,0.443009,0.391683,0.331338,0.288177,0.293397,0.284227,0.725060,0.911639,1.000000,0.243804
L12+LN,0.241657,0.315081,0.346125,0.449226,0.601180,0.762308,0.792205,0.702981,0.744780,0.802544,0.472270,0.304877,0.243804,1.000000
