,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.347735,0.319797,0.335322,0.365937,0.365051,0.379992,0.429017,0.437953,0.424186,0.179644,0.071592,0.024961,0.229189
L1,0.342289,0.999160,0.981093,0.954313,0.867831,0.700423,0.583751,0.471929,0.484218,0.443380,0.390786,0.390889,0.446861,0.322567
L2,0.308402,0.967928,0.999188,0.984175,0.900628,0.728887,0.607404,0.490961,0.501350,0.454059,0.420501,0.430839,0.495437,0.352799
L3,0.323833,0.941249,0.982152,0.999330,0.955466,0.820268,0.710988,0.584217,0.598918,0.555916,0.456772,0.433886,0.482932,0.452531
L4,0.352718,0.854897,0.897847,0.955459,0.999164,0.937131,0.855869,0.720293,0.744309,0.713261,0.509925,0.430313,0.445294,0.600631
L5,0.353921,0.683358,0.720313,0.816099,0.934012,0.998646,0.970441,0.837659,0.869801,0.860479,0.545800,0.409159,0.389988,0.763821
L6,0.369584,0.561859,0.593243,0.701549,0.846705,0.962468,0.997716,0.896547,0.923181,0.914423,0.534261,0.364937,0.328211,0.790168
L7,0.430784,0.464785,0.487982,0.582558,0.711650,0.818422,0.877597,0.993615,0.978724,0.932100,0.516872,0.323318,0.286718,0.690349
L8,0.438130,0.477734,0.501244,0.600982,0.740886,0.856896,0.912489,0.990025,0.994119,0.959486,0.532922,0.333992,0.290953,0.735025
L9,0.429848,0.439594,0.454810,0.558017,0.709663,0.846233,0.903960,0.941691,0.963732,0.992143,0.543145,0.335530,0.283785,0.795598
L10,0.178117,0.380667,0.413810,0.450236,0.499597,0.534642,0.525197,0.512620,0.528499,0.536922,0.995580,0.914189,0.731170,0.434836
L11,0.079476,0.382664,0.424574,0.430991,0.428753,0.415053,0.374637,0.333215,0.345530,0.346114,0.911760,0.995382,0.900187,0.299685
L12,0.030190,0.438912,0.488721,0.480609,0.442917,0.395578,0.335732,0.290768,0.296584,0.288308,0.731571,0.911766,0.993682,0.246840
L12+LN,0.263959,0.301547,0.330543,0.434527,0.587336,0.750725,0.788332,0.711533,0.752383,0.811073,0.445050,0.287391,0.230970,0.993929
