source_dataset,target_dataset,quantile_set,run_type,run_seeds,n_runs_present,tolerance,l_start,tunnel,l_start_sustained,ptid_m_test,ptood_m_test,ptid_test_criterion_holds,d_id,d_id_ci_lo,d_id_ci_hi,d_id_by_run,d_ood,d_ood_ci_lo,d_ood_ci_hi,d_ood_by_run,delta,delta_ci_lo,delta_ci_hi,delta_excludes_zero,n_ood_clusters,n_ood_windows,delta_ci_note
monash_electricity_hourly,sg_carpark,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",12,0.113771,0.124709,False,-0.002762,-0.040035,0.034546,-0.0010 -0.0032 -0.0041,0.035963,-0.002888,0.075976,+0.0474 +0.0286 +0.0321,0.038726,-0.016778,0.095355,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,sg_carpark,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",1,0.0,0.124709,True,0.01677,0.00594,0.028005,+0.0197 +0.0149 +0.0157,0.035963,-0.002888,0.075976,+0.0474 +0.0286 +0.0321,0.019193,-0.021218,0.061324,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,sg_carpark,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",10,0.076227,0.124709,False,0.060177,0.02335,0.097965,+0.0611 +0.0619 +0.0575,0.035963,-0.002888,0.075976,+0.0474 +0.0286 +0.0321,-0.024214,-0.079791,0.028443,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,sg_carpark,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",1,0.0,0.124709,True,0.029603,-0.001174,0.059588,+0.0410 +0.0168 +0.0312,0.035963,-0.002888,0.075976,+0.0474 +0.0286 +0.0321,0.00636,-0.042346,0.05965,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
monash_electricity_hourly,coastal_ts,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",12,0.113771,0.15727,False,-0.002762,-0.040035,0.034546,-0.0010 -0.0032 -0.0041,-0.024186,-0.101597,0.056297,-0.0220 -0.0285 -0.0221,-0.021424,-0.102549,0.067719,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,coastal_ts,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",1,0.0,0.15727,True,0.01677,0.00594,0.028005,+0.0197 +0.0149 +0.0157,-0.024186,-0.101597,0.056297,-0.0220 -0.0285 -0.0221,-0.040957,-0.116752,0.040507,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,coastal_ts,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",10,0.076227,0.15727,False,0.060177,0.02335,0.097965,+0.0611 +0.0619 +0.0575,-0.024186,-0.101597,0.056297,-0.0220 -0.0285 -0.0221,-0.084364,-0.168969,0.00369,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,coastal_ts,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",1,0.0,0.15727,True,0.029603,-0.001174,0.059588,+0.0410 +0.0168 +0.0312,-0.024186,-0.101597,0.056297,-0.0220 -0.0285 -0.0221,-0.053789,-0.131837,0.036385,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
monash_electricity_hourly,boom_hourly,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",12,0.113771,0.18128,False,-0.002762,-0.040035,0.034546,-0.0010 -0.0032 -0.0041,-0.062608,-0.094467,-0.032401,-0.0623 -0.0665 -0.0590,-0.059845,-0.108839,-0.011715,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,boom_hourly,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",1,0.0,0.18128,True,0.01677,0.00594,0.028005,+0.0197 +0.0149 +0.0157,-0.062608,-0.094467,-0.032401,-0.0623 -0.0665 -0.0590,-0.079378,-0.112693,-0.047516,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,boom_hourly,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",10,0.076227,0.18128,False,0.060177,0.02335,0.097965,+0.0611 +0.0619 +0.0575,-0.062608,-0.094467,-0.032401,-0.0623 -0.0665 -0.0590,-0.122785,-0.17137,-0.076728,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,boom_hourly,q9,probe_seed,0 1 2,3,0.05,1,"[L1, L12]",1,0.0,0.18128,True,0.029603,-0.001174,0.059588,+0.0410 +0.0168 +0.0312,-0.062608,-0.094467,-0.032401,-0.0623 -0.0665 -0.0590,-0.092211,-0.135142,-0.048053,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
