dataset,row_layer,col_layer,cka_biased,cka_unbiased,delta
m4_hourly,Embed,Embed,1.00000000,1.00000000,-0.00000000
m4_hourly,Embed,L1,0.55067391,0.55095316,-0.00027925
m4_hourly,Embed,L2,0.55558772,0.55576568,-0.00017796
m4_hourly,Embed,L3,0.46601639,0.46548286,0.00053354
m4_hourly,Embed,L4,0.32830348,0.32699262,0.00131086
m4_hourly,Embed,L5,0.17136743,0.16950009,0.00186734
m4_hourly,Embed,L6,0.14935922,0.14732284,0.00203638
m4_hourly,Embed,L7,0.10095676,0.09893611,0.00202065
m4_hourly,Embed,L8,0.11100987,0.10896029,0.00204958
m4_hourly,Embed,L9,0.07255207,0.07064129,0.00191079
m4_hourly,Embed,L10,0.06792450,0.06614960,0.00177490
m4_hourly,Embed,L11,0.04738765,0.04571522,0.00167243
m4_hourly,Embed,L12,0.03053738,0.02898503,0.00155235
m4_hourly,Embed,L12 (post LN),0.03179466,0.03050571,0.00128895
m4_hourly,L1,Embed,0.55067391,0.55095316,-0.00027925
m4_hourly,L1,L1,1.00000000,1.00000000,0.00000000
m4_hourly,L1,L2,0.96822201,0.96805411,0.00016790
m4_hourly,L1,L3,0.84250538,0.84162957,0.00087581
m4_hourly,L1,L4,0.62571208,0.62375555,0.00195653
m4_hourly,L1,L5,0.40942309,0.40679915,0.00262395
m4_hourly,L1,L6,0.38098755,0.37810825,0.00287930
m4_hourly,L1,L7,0.31007462,0.30722249,0.00285213
m4_hourly,L1,L8,0.31534163,0.31239267,0.00294896
m4_hourly,L1,L9,0.25749602,0.25479322,0.00270280
m4_hourly,L1,L10,0.23928211,0.23676414,0.00251798
m4_hourly,L1,L11,0.20717999,0.20481589,0.00236410
m4_hourly,L1,L12,0.17534410,0.17318957,0.00215453
m4_hourly,L1,L12 (post LN),0.14090516,0.13887162,0.00203354
m4_hourly,L2,Embed,0.55558772,0.55576568,-0.00017796
m4_hourly,L2,L1,0.96822201,0.96805411,0.00016790
m4_hourly,L2,L2,1.00000000,1.00000000,0.00000000
m4_hourly,L2,L3,0.91078117,0.91015181,0.00062936
m4_hourly,L2,L4,0.72553534,0.72385405,0.00168128
m4_hourly,L2,L5,0.50557895,0.50304118,0.00253777
m4_hourly,L2,L6,0.47196343,0.46908845,0.00287498
m4_hourly,L2,L7,0.39252256,0.38961666,0.00290590
