,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,-0.000000,-0.000279,-0.000178,0.000534,0.001311,0.001867,0.002036,0.002021,0.002050,0.001911,0.001775,0.001672,0.001552,0.001289
L1,-0.000279,0.000000,0.000168,0.000876,0.001957,0.002624,0.002879,0.002852,0.002949,0.002703,0.002518,0.002364,0.002155,0.002034
L2,-0.000178,0.000168,0.000000,0.000629,0.001681,0.002538,0.002875,0.002906,0.002985,0.002821,0.002644,0.002510,0.002330,0.002311
L3,0.000534,0.000876,0.000629,0.000000,0.000392,0.000967,0.001165,0.001357,0.001442,0.001397,0.001292,0.001217,0.001081,0.001117
L4,0.001311,0.001957,0.001681,0.000392,0.000000,0.000299,0.000422,0.000678,0.000742,0.000786,0.000730,0.000690,0.000590,0.000728
L5,0.001867,0.002624,0.002538,0.000967,0.000299,0.000000,-0.000030,0.000101,0.000126,0.000164,0.000147,0.000129,0.000079,0.000206
L6,0.002036,0.002879,0.002875,0.001165,0.000422,-0.000030,-0.000000,-0.000002,0.000048,-0.000004,-0.000052,-0.000097,-0.000160,0.000028
L7,0.002021,0.002852,0.002906,0.001357,0.000678,0.000101,-0.000002,-0.000000,0.000004,0.000011,0.000001,-0.000019,-0.000049,0.000086
L8,0.002050,0.002949,0.002985,0.001442,0.000742,0.000126,0.000048,0.000004,0.000000,-0.000010,-0.000035,-0.000068,-0.000108,0.000054
L9,0.001911,0.002703,0.002821,0.001397,0.000786,0.000164,-0.000004,0.000011,-0.000010,0.000000,0.000000,-0.000006,-0.000023,0.000060
L10,0.001775,0.002518,0.002644,0.001292,0.000730,0.000147,-0.000052,0.000001,-0.000035,0.000000,-0.000000,0.000001,-0.000013,0.000034
L11,0.001672,0.002364,0.002510,0.001217,0.000690,0.000129,-0.000097,-0.000019,-0.000068,-0.000006,0.000001,0.000000,-0.000004,0.000033
L12,0.001552,0.002155,0.002330,0.001081,0.000590,0.000079,-0.000160,-0.000049,-0.000108,-0.000023,-0.000013,-0.000004,0.000000,0.000010
L12+LN,0.001289,0.002034,0.002311,0.001117,0.000728,0.000206,0.000028,0.000086,0.000054,0.000060,0.000034,0.000033,0.000010,0.000000
