,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.600706,0.592519,0.591585,0.553137,0.421707,0.381490,0.277610,0.281631,0.254467,0.244462,0.182317,0.142328,0.115942
L1,0.600706,1.000000,0.984378,0.910078,0.773262,0.586636,0.535487,0.437453,0.441377,0.353760,0.327518,0.272452,0.214173,0.126308
L2,0.592519,0.984378,1.000000,0.936379,0.801701,0.618602,0.564314,0.465912,0.469997,0.380492,0.354130,0.300240,0.246321,0.154308
L3,0.591585,0.910078,0.936379,1.000000,0.951795,0.842047,0.799857,0.722718,0.723382,0.648003,0.626008,0.572170,0.498045,0.428360
L4,0.553137,0.773262,0.801701,0.951795,1.000000,0.955214,0.926117,0.869105,0.866819,0.812073,0.790967,0.731142,0.640637,0.596275
L5,0.421707,0.586636,0.618602,0.842047,0.955214,1.000000,0.990972,0.967512,0.963826,0.921858,0.907821,0.863847,0.769591,0.749638
L6,0.381490,0.535487,0.564314,0.799857,0.926117,0.990972,1.000000,0.982025,0.978414,0.933937,0.917925,0.875649,0.778476,0.761129
L7,0.277610,0.437453,0.465912,0.722718,0.869105,0.967512,0.982025,1.000000,0.996874,0.963892,0.952896,0.921862,0.826017,0.813709
L8,0.281631,0.441377,0.469997,0.723382,0.866819,0.963826,0.978414,0.996874,1.000000,0.965103,0.955064,0.924075,0.829431,0.814052
L9,0.254467,0.353760,0.380492,0.648003,0.812073,0.921858,0.933937,0.963892,0.965103,1.000000,0.990344,0.945310,0.850351,0.852729
L10,0.244462,0.327518,0.354130,0.626008,0.790967,0.907821,0.917925,0.952896,0.955064,0.990344,1.000000,0.973487,0.889494,0.893902
L11,0.182317,0.272452,0.300240,0.572170,0.731142,0.863847,0.875649,0.921862,0.924075,0.945310,0.973487,1.000000,0.941196,0.931805
L12,0.142328,0.214173,0.246321,0.498045,0.640637,0.769591,0.778476,0.826017,0.829431,0.850351,0.889494,0.941196,1.000000,0.901963
L12+LN,0.115942,0.126308,0.154308,0.428360,0.596275,0.749638,0.761129,0.813709,0.814052,0.852729,0.893902,0.931805,0.901963,1.000000
