,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,-0.000000,-0.000280,-0.000455,-0.000367,-0.000123,0.000588,0.000692,0.001333,0.001320,0.001471,0.001394,0.001359,0.001101,0.001172
L1,-0.000280,0.000000,-0.000038,0.000316,0.001009,0.002023,0.002381,0.002888,0.003057,0.002856,0.002779,0.002962,0.003432,0.002222
L2,-0.000455,-0.000038,0.000000,0.000380,0.001163,0.002251,0.002708,0.003190,0.003371,0.003122,0.003041,0.003347,0.004163,0.002457
L3,-0.000367,0.000316,0.000380,0.000000,0.000306,0.000999,0.001295,0.001811,0.001929,0.001851,0.001811,0.002080,0.002452,0.001545
L4,-0.000123,0.001009,0.001163,0.000306,0.000000,0.000318,0.000489,0.000960,0.001046,0.001036,0.001021,0.001258,0.001221,0.000980
L5,0.000588,0.002023,0.002251,0.000999,0.000318,0.000000,-0.000008,0.000245,0.000285,0.000336,0.000309,0.000396,-0.000059,0.000322
L6,0.000692,0.002381,0.002708,0.001295,0.000489,-0.000008,0.000000,0.000076,0.000153,0.000090,0.000006,0.000036,-0.000536,0.000023
L7,0.001333,0.002888,0.003190,0.001811,0.000960,0.000245,0.000076,0.000000,0.000005,0.000057,0.000040,0.000025,-0.000706,0.000091
L8,0.001320,0.003057,0.003371,0.001929,0.001046,0.000285,0.000153,0.000005,0.000000,-0.000005,-0.000064,-0.000097,-0.000852,-0.000064
L9,0.001471,0.002856,0.003122,0.001851,0.001036,0.000336,0.000090,0.000057,-0.000005,0.000000,0.000018,-0.000030,-0.000916,0.000162
L10,0.001394,0.002779,0.003041,0.001811,0.001021,0.000309,0.000006,0.000040,-0.000064,0.000018,0.000000,-0.000060,-0.000920,0.000076
L11,0.001359,0.002962,0.003347,0.002080,0.001258,0.000396,0.000036,0.000025,-0.000097,-0.000030,-0.000060,-0.000000,-0.000584,-0.000188
L12,0.001101,0.003432,0.004163,0.002452,0.001221,-0.000059,-0.000536,-0.000706,-0.000852,-0.000916,-0.000920,-0.000584,-0.000000,-0.001536
L12+LN,0.001172,0.002222,0.002457,0.001545,0.000980,0.000322,0.000023,0.000091,-0.000064,0.000162,0.000076,-0.000188,-0.001536,0.000000
