dataset,short,kind,cache_split,rows_available,rows_used,windows,biased_gate_max_dev,offdiag_biased_min,offdiag_biased_max,offdiag_biased_mean,offdiag_unbiased_min,offdiag_unbiased_max,offdiag_unbiased_mean,max_abs_delta_offdiag
monash_electricity_hourly,Electricity,PT-ID,test,1048,1048,262,0.0,0.11594191078302417,0.9968738295440405,0.6856273874143715,0.11477036292766934,0.9968690042426904,0.684695318406092,0.004163470683139547
m4_hourly,M4,PT-ID,test,1048,1048,262,0.0,0.030537377035231277,0.9974373360083928,0.6616575593319518,0.028985028200391505,0.9974333817345283,0.6606948940353967,0.002984520453031436
