,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.550953,0.555766,0.465483,0.326993,0.169500,0.147323,0.098936,0.108960,0.070641,0.066150,0.045715,0.028985,0.030506
L1,0.550953,1.000000,0.968054,0.841630,0.623756,0.406799,0.378108,0.307222,0.312393,0.254793,0.236764,0.204816,0.173190,0.138872
L2,0.555766,0.968054,1.000000,0.910152,0.723854,0.503041,0.469088,0.389617,0.397442,0.328100,0.307381,0.271558,0.238150,0.178614
L3,0.465483,0.841630,0.910152,1.000000,0.931816,0.792118,0.767223,0.693642,0.694548,0.632511,0.611544,0.577403,0.547230,0.480156
L4,0.326993,0.623756,0.723854,0.931816,1.000000,0.937235,0.919508,0.857624,0.857031,0.801856,0.780931,0.748774,0.721679,0.637769
L5,0.169500,0.406799,0.503041,0.792118,0.937235,1.000000,0.995693,0.975914,0.973183,0.945551,0.932682,0.910045,0.887070,0.807186
L6,0.147323,0.378108,0.469088,0.767223,0.919508,0.995693,1.000000,0.982309,0.978582,0.952683,0.939958,0.917776,0.895282,0.816739
L7,0.098936,0.307222,0.389617,0.693642,0.857624,0.975914,0.982309,1.000000,0.997433,0.987728,0.978571,0.960638,0.934316,0.854994
L8,0.108960,0.312393,0.397442,0.694548,0.857031,0.973183,0.978582,0.997433,1.000000,0.988515,0.980034,0.961485,0.933508,0.850776
L9,0.070641,0.254793,0.328100,0.632511,0.801856,0.945551,0.952683,0.987728,0.988515,1.000000,0.996108,0.984007,0.959092,0.895070
L10,0.066150,0.236764,0.307381,0.611544,0.780931,0.932682,0.939958,0.978571,0.980034,0.996108,1.000000,0.992588,0.970986,0.912215
L11,0.045715,0.204816,0.271558,0.577403,0.748774,0.910045,0.917776,0.960638,0.961485,0.984007,0.992588,1.000000,0.986448,0.930349
L12,0.028985,0.173190,0.238150,0.547230,0.721679,0.887070,0.895282,0.934316,0.933508,0.959092,0.970986,0.986448,1.000000,0.937820
L12+LN,0.030506,0.138872,0.178614,0.480156,0.637769,0.807186,0.816739,0.854994,0.850776,0.895070,0.912215,0.930349,0.937820,1.000000
