,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.312344,0.283244,0.273727,0.285302,0.266636,0.280318,0.269750,0.297507,0.231424,0.026506,0.012331,0.005714,0.036620
L1,0.295984,0.995897,0.979136,0.967842,0.940792,0.895402,0.826559,0.822434,0.804574,0.776367,0.299097,0.360858,0.423677,0.505559
L2,0.256973,0.965558,0.996320,0.991432,0.967576,0.924619,0.853014,0.853630,0.828838,0.806337,0.316966,0.386930,0.450120,0.537522
L3,0.253868,0.952041,0.988584,0.995946,0.980674,0.945626,0.878438,0.878809,0.852364,0.829622,0.311804,0.379579,0.440214,0.550593
L4,0.263793,0.928092,0.966179,0.981544,0.994630,0.973431,0.916199,0.914915,0.888892,0.862743,0.315211,0.380287,0.436759,0.566512
L5,0.245707,0.888086,0.926952,0.949970,0.976963,0.992847,0.955708,0.953835,0.926249,0.892679,0.316284,0.375829,0.425275,0.571960
L6,0.262876,0.820739,0.856133,0.882827,0.921239,0.960087,0.989939,0.981878,0.952572,0.898129,0.296380,0.348534,0.394327,0.542303
L7,0.250007,0.810316,0.849332,0.875785,0.912781,0.951094,0.975358,0.988723,0.963790,0.922321,0.314234,0.372682,0.426320,0.568936
L8,0.278447,0.796323,0.829664,0.854973,0.893034,0.929907,0.953638,0.969897,0.984077,0.948398,0.323229,0.380812,0.431214,0.579288
L9,0.211996,0.758155,0.793072,0.818499,0.853142,0.880863,0.884799,0.914608,0.935717,0.977038,0.384146,0.455353,0.509760,0.644360
L10,0.015305,0.255958,0.279289,0.275603,0.279066,0.274301,0.258562,0.279249,0.289230,0.335593,0.975720,0.935093,0.693695,0.230724
L11,0.008644,0.318832,0.347446,0.343337,0.345975,0.336528,0.314567,0.340858,0.348961,0.405137,0.898364,0.990943,0.860808,0.321519
L12,0.004426,0.388734,0.415007,0.410974,0.412340,0.396159,0.368647,0.400827,0.405122,0.468122,0.671713,0.871345,0.988626,0.463479
L12+LN,0.033818,0.542726,0.570737,0.588145,0.608709,0.611911,0.579894,0.605488,0.609985,0.679240,0.271394,0.367617,0.490080,0.948912
