,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.292586,0.256926,0.254104,0.268963,0.252837,0.269861,0.257506,0.284070,0.216592,0.018712,0.010234,0.005009,0.035983
L1,0.296065,0.998497,0.973681,0.962022,0.938155,0.894665,0.836828,0.828671,0.808114,0.771326,0.275742,0.344851,0.418725,0.510437
L2,0.257042,0.972875,0.997940,0.993210,0.971907,0.930637,0.869577,0.866154,0.838263,0.806553,0.293810,0.370803,0.445650,0.543319
L3,0.253932,0.957764,0.989686,0.997579,0.984567,0.951387,0.894222,0.890940,0.861546,0.829485,0.287129,0.362826,0.435393,0.556222
L4,0.263850,0.931520,0.965612,0.981528,0.996892,0.977965,0.930318,0.925864,0.897021,0.861565,0.289457,0.363255,0.431602,0.571831
L5,0.245755,0.890649,0.926214,0.949519,0.978279,0.995550,0.966301,0.961820,0.931741,0.889098,0.290047,0.359029,0.419904,0.576581
L6,0.262929,0.821307,0.853639,0.881071,0.920496,0.960112,0.992659,0.983035,0.952504,0.890079,0.270459,0.332745,0.389140,0.546543
L7,0.250055,0.812104,0.848155,0.875618,0.913306,0.952146,0.979812,0.991783,0.965979,0.916901,0.287445,0.356171,0.420901,0.572568
L8,0.278498,0.796372,0.826540,0.853275,0.892372,0.929980,0.957557,0.972759,0.986558,0.943462,0.295863,0.364160,0.425528,0.582341
L9,0.212032,0.759538,0.792836,0.819933,0.854931,0.883759,0.893210,0.922737,0.945817,0.980855,0.354521,0.436490,0.502774,0.646072
L10,0.015307,0.273424,0.295827,0.293183,0.293696,0.291710,0.277493,0.297059,0.313493,0.364559,0.990980,0.943720,0.700986,0.230786
L11,0.008645,0.339788,0.367898,0.365110,0.363259,0.357128,0.337669,0.362973,0.379596,0.441983,0.914156,0.995027,0.867770,0.322015
L12,0.004426,0.413662,0.437346,0.433177,0.427759,0.415149,0.391854,0.424098,0.438215,0.508057,0.671100,0.861962,0.992129,0.462155
L12+LN,0.033818,0.546028,0.573648,0.590743,0.608065,0.612210,0.587285,0.613944,0.620916,0.689427,0.246223,0.348266,0.485194,0.952300
