,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.312355,0.283255,0.273736,0.285310,0.266643,0.280325,0.269757,0.297514,0.231429,0.026506,0.012332,0.005714,0.036620
L1,0.312355,1.000000,0.976469,0.965209,0.938426,0.893227,0.824969,0.819294,0.802665,0.773832,0.280644,0.336379,0.393230,0.501168
L2,0.283255,0.976469,1.000000,0.993561,0.968421,0.924502,0.854065,0.852703,0.830105,0.803955,0.301117,0.363841,0.418706,0.527327
L3,0.273736,0.965209,0.993561,1.000000,0.983747,0.947853,0.880922,0.879115,0.854725,0.828618,0.299316,0.360673,0.415385,0.543582
L4,0.285310,0.938426,0.968421,0.983747,1.000000,0.978958,0.922929,0.918660,0.893402,0.862669,0.303704,0.363632,0.417228,0.562528
L5,0.266643,0.893227,0.924502,0.947853,0.978958,1.000000,0.965953,0.960709,0.932451,0.892097,0.299705,0.353902,0.400964,0.565248
L6,0.280325,0.824969,0.854065,0.880922,0.922929,0.965953,1.000000,0.988563,0.957861,0.896951,0.283593,0.330648,0.372920,0.534810
L7,0.269757,0.819294,0.852703,0.879115,0.918660,0.960709,0.988563,1.000000,0.973068,0.923902,0.303986,0.357172,0.405064,0.559603
L8,0.297514,0.802665,0.830105,0.854725,0.893402,0.932451,0.957861,0.973068,1.000000,0.958758,0.316377,0.367509,0.411730,0.568348
L9,0.231429,0.773832,0.803955,0.828618,0.862669,0.892097,0.896951,0.923902,0.958758,1.000000,0.365472,0.427176,0.477974,0.633864
L10,0.026506,0.280644,0.301117,0.299316,0.303704,0.299705,0.283593,0.303986,0.316377,0.365472,1.000000,0.916019,0.672823,0.250708
L11,0.012332,0.336379,0.363841,0.360673,0.363632,0.353902,0.330648,0.357172,0.367509,0.427176,0.916019,1.000000,0.873927,0.344276
L12,0.005714,0.393230,0.418706,0.415385,0.417228,0.400964,0.372920,0.405064,0.411730,0.477974,0.672823,0.873927,1.000000,0.478805
L12+LN,0.036620,0.501168,0.527327,0.543582,0.562528,0.565248,0.534810,0.559603,0.568348,0.633864,0.250708,0.344276,0.478805,1.000000
