pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,probe_protocol_version,val_selected_layer_label,quantile_loss_at_selected,quantile_loss_at_reference,mase_at_selected,mase_at_reference,transfer_gap,relative_regret_at_selected_supp,n_test_windows,n_test_clusters
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,L12+LN,1.701567,1.701567,0.78549,0.78549,,0.0,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,L12+LN,3.788353,3.788353,1.295937,1.295937,,0.0,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,L12+LN,2.384078,2.384078,1.219716,1.219716,,0.0,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,L9,2.044789,1.80745,0.917306,0.846982,,0.131312,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,L9,5.403148,3.999264,2.026925,1.528728,,0.417506,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,v2,L9,2.935564,2.623864,1.470044,1.503369,,0.118794,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,v2,L3,2.530474,2.147169,1.181305,1.032509,,0.178516,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,v2,L3,4.966877,4.133356,1.860906,1.466588,,0.201657,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,boom_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,v2,L3,3.885363,3.158727,2.3843,1.473114,,0.320618,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,sg_carpark,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,v2,L5,2.171115,1.807754,0.977031,0.815489,,0.201002,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,coastal_ts,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,v2,L5,3.948632,3.694553,1.394529,1.262801,,0.068771,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,boom_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,v2,L5,2.509667,2.299944,1.273754,1.212777,,0.091186,354,354
