pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,probe_protocol_version,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,0,Emb,5.027024,2.530594,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,1,L1,4.186304,2.003162,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,2,L2,2.94853,1.398633,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,3,L3,2.195647,0.995982,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,4,L4,1.984447,0.913808,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,5,L5,1.851355,0.827992,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,6,L6,1.837721,0.841951,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,7,L7,1.823971,0.814038,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,8,L8,1.820506,0.820778,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,9,L9,1.790607,0.803256,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,10,L10,1.78739,0.812967,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,11,L11,1.81585,0.834673,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,12,L12,1.758262,0.798141,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,12,13,L12+LN,q9,fslot,shared_linear,v2,13,L12+LN,1.701567,0.78549,True,True,True
