dataset,l_start,tunnel,tunnel_width,d_id,d_id_ci_lo,d_id_ci_hi,m_test,m_test_ci_lo,m_test_ci_hi,test_criterion_holds,mean_final_layer_test_loss,mean_tunnel_entrance_test_loss
monash_electricity_hourly,1,"[L1, L12]",12,-0.002762,-0.040035,0.034546,0.113771,0.086447,0.14387,False,3.086645,3.095195
uber_tlc_hourly,1,"[L1, L12]",12,0.01677,0.00594,0.028005,0.0,0.0,0.0,True,4.578413,4.502898
m4_hourly,1,"[L1, L12]",12,0.060177,0.02335,0.097965,0.076227,0.046064,0.113819,False,2.61694,2.468399
wind_farms_hourly,1,"[L1, L12]",12,0.029603,-0.001174,0.059588,0.0,0.0,0.025585,True,3.877894,3.766397
