source_dataset,target_dataset,target_domain,l_start,r_eff_l_start,r_eff_last,delta_r_eff_abs,delta_r_eff_rel
monash_electricity_hourly,monash_electricity_hourly,pt_id,1,12.129,15.314,3.1849,0.262589
uber_tlc_hourly,monash_electricity_hourly,pt_id,1,12.129,15.314,3.1849,0.262589
m4_hourly,monash_electricity_hourly,pt_id,1,12.129,15.314,3.1849,0.262589
wind_farms_hourly,monash_electricity_hourly,pt_id,1,12.129,15.314,3.1849,0.262589
monash_electricity_hourly,uber_tlc_hourly,pt_id,1,7.3953,2.4613,-4.9339,-0.667175
uber_tlc_hourly,uber_tlc_hourly,pt_id,1,7.3953,2.4613,-4.9339,-0.667175
m4_hourly,uber_tlc_hourly,pt_id,1,7.3953,2.4613,-4.9339,-0.667175
wind_farms_hourly,uber_tlc_hourly,pt_id,1,7.3953,2.4613,-4.9339,-0.667175
monash_electricity_hourly,m4_hourly,pt_id,1,7.1236,6.7988,-0.3249,-0.045604
uber_tlc_hourly,m4_hourly,pt_id,1,7.1236,6.7988,-0.3249,-0.045604
m4_hourly,m4_hourly,pt_id,1,7.1236,6.7988,-0.3249,-0.045604
wind_farms_hourly,m4_hourly,pt_id,1,7.1236,6.7988,-0.3249,-0.045604
monash_electricity_hourly,wind_farms_hourly,pt_id,1,6.3656,2.4382,-3.9274,-0.616968
uber_tlc_hourly,wind_farms_hourly,pt_id,1,6.3656,2.4382,-3.9274,-0.616968
m4_hourly,wind_farms_hourly,pt_id,1,6.3656,2.4382,-3.9274,-0.616968
wind_farms_hourly,wind_farms_hourly,pt_id,1,6.3656,2.4382,-3.9274,-0.616968
monash_electricity_hourly,sg_carpark,pt_ood,1,8.4939,11.0429,2.5491,0.300104
uber_tlc_hourly,sg_carpark,pt_ood,1,8.4939,11.0429,2.5491,0.300104
m4_hourly,sg_carpark,pt_ood,1,8.4939,11.0429,2.5491,0.300104
wind_farms_hourly,sg_carpark,pt_ood,1,8.4939,11.0429,2.5491,0.300104
monash_electricity_hourly,coastal_ts,pt_ood,1,9.0544,7.34,-1.7144,-0.189343
uber_tlc_hourly,coastal_ts,pt_ood,1,9.0544,7.34,-1.7144,-0.189343
m4_hourly,coastal_ts,pt_ood,1,9.0544,7.34,-1.7144,-0.189343
wind_farms_hourly,coastal_ts,pt_ood,1,9.0544,7.34,-1.7144,-0.189343
monash_electricity_hourly,boom_hourly,pt_ood,1,8.982,2.8136,-6.1684,-0.686747
uber_tlc_hourly,boom_hourly,pt_ood,1,8.982,2.8136,-6.1684,-0.686747
m4_hourly,boom_hourly,pt_ood,1,8.982,2.8136,-6.1684,-0.686747
wind_farms_hourly,boom_hourly,pt_ood,1,8.982,2.8136,-6.1684,-0.686747
