model,quantity,m4_hourly,monash_electricity_hourly,uber_tlc_hourly,wind_farms_hourly,sg_carpark,coastal_ts,boom_hourly,LOOP_SEATTLE_5T,electricity_15min,SZ_TAXI_15T,monash_london_smart_meters,m5,wiki_daily_100k,monash_traffic
chronos2,normalized_tunnel_entrance_FIRST_CROSSING_DIAGNOSTIC (block_index/num_blocks),0.6666666666666666,0.75,0.3333333333333333,0.25,0.8333333333333334,0.08333333333333333,0.25,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.25,0.0,0.16666666666666666,0.9166666666666666
chronos2,tunnel_entrance_representation_label_FIRST_CROSSING_DIAGNOSTIC,L8,L9,L4,L3,L10,L1,L3,L8,L10,L2,L3,Emb,L2,L11
chronos2,tunnel_entrance_relative_position_FIRST_CROSSING_DIAGNOSTIC,0.6666666666666666,0.75,0.3333333333333333,0.25,0.8333333333333334,0.08333333333333333,0.25,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.25,0.0,0.16666666666666666,0.9166666666666666
timesfm3,normalized_tunnel_entrance_FIRST_CROSSING_DIAGNOSTIC (block_index/num_blocks),,0.75,0.05,0.0,0.3,0.0,0.0,0.05,0.05,0.05,0.05,0.0,0.0,0.0
timesfm3,tunnel_entrance_representation_label_FIRST_CROSSING_DIAGNOSTIC,,L15,L1,Emb,L6,Emb,Emb,L1,L1,L1,L1,Emb,Emb,Emb
timesfm3,tunnel_entrance_relative_position_FIRST_CROSSING_DIAGNOSTIC,,0.75,0.05,0.0,0.3,0.0,0.0,0.05,0.05,0.05,0.05,0.0,0.0,0.0
tirex,normalized_tunnel_entrance_FIRST_CROSSING_DIAGNOSTIC (block_index/num_blocks),1.0,0.9166666666666666,0.8333333333333334,0.16666666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.8333333333333334,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0
tirex,tunnel_entrance_representation_label_FIRST_CROSSING_DIAGNOSTIC,L12,L11,L10,L2,L11,L1,L1,L8,L10,Emb,L8,Emb,L1,L12
tirex,tunnel_entrance_relative_position_FIRST_CROSSING_DIAGNOSTIC,1.0,0.9166666666666666,0.8333333333333334,0.16666666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.8333333333333334,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0
