model,dataset,display_name,geometry_variant,split,estimator,n_rows,feature_dim,null_floor_mean,null_floor_std,is_headline_estimator,is_headline_variant,axis,path,n_layers,labels,mean_offdiagonal_cka,mean_offdiagonal_above_null_floor,is_main_depth_axis
chronos2,m4_hourly,M4,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,block_depth,chronos2/m4_hourly/cka/cka_unbiased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6622073038705423,0.6627824425145338,True
chronos2,m4_hourly,M4,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,with_head_input,chronos2/m4_hourly/cka/cka_unbiased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,m4_hourly,M4,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,block_depth,chronos2/m4_hourly/cka/cka_biased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6632279974483356,0.24077716729206455,True
chronos2,m4_hourly,M4,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,with_head_input,chronos2/m4_hourly/cka/cka_biased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,m4_hourly,M4,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,block_depth,chronos2/m4_hourly/cka/cka_unbiased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6420654254081566,0.6419866433554283,True
chronos2,m4_hourly,M4,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,with_head_input,chronos2/m4_hourly/cka/cka_unbiased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,m4_hourly,M4,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,block_depth,chronos2/m4_hourly/cka/cka_biased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6422770052805306,0.5211463708640758,True
chronos2,m4_hourly,M4,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,with_head_input,chronos2/m4_hourly/cka/cka_biased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,monash_electricity_hourly,Electricity,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,block_depth,chronos2/monash_electricity_hourly/cka/cka_unbiased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6945437747713277,0.6951189134153192,True
chronos2,monash_electricity_hourly,Electricity,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,with_head_input,chronos2/monash_electricity_hourly/cka/cka_unbiased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,monash_electricity_hourly,Electricity,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,block_depth,chronos2/monash_electricity_hourly/cka/cka_biased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6955381062387667,0.2730872760824956,True
chronos2,monash_electricity_hourly,Electricity,headline,test,biased,1048,768,0.42245083015627105,0.0003112403271044692,False,True,with_head_input,chronos2/monash_electricity_hourly/cka/cka_biased_headline_test__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,monash_electricity_hourly,Electricity,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,block_depth,chronos2/monash_electricity_hourly/cka/cka_unbiased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6432461335899222,0.643167351537194,True
chronos2,monash_electricity_hourly,Electricity,headline,train,unbiased,5576,768,7.878205272831606e-05,9.573102634171853e-05,True,True,with_head_input,chronos2/monash_electricity_hourly/cka/cka_unbiased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,monash_electricity_hourly,Electricity,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,block_depth,chronos2/monash_electricity_hourly/cka/cka_biased_headline_train.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.6435813481036085,0.5224507136871537,True
chronos2,monash_electricity_hourly,Electricity,headline,train,biased,5576,768,0.12113063441645482,0.00010700497005963949,False,True,with_head_input,chronos2/monash_electricity_hourly/cka/cka_biased_headline_train__with_head_input.npy,14,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12|L12+LN,,,False
chronos2,uber_tlc_hourly,Uber TLC,headline,test,unbiased,1048,768,-0.0005751386439914921,0.0006258737704098962,True,True,block_depth,chronos2/uber_tlc_hourly/cka/cka_unbiased_headline_test.npy,13,Emb|L1|L2|L3|L4|L5|L6|L7|L8|L9|L10|L11|L12,0.5732147599527139,0.5737898985967054,True
