model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,first_crossing_layer,median_selected_wd,n_depth_points,n_layers_at_wd_grid_max,n_layers_at_wd_grid_min,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,test_ratio_at_tunnel,tunnel_definition,tunnel_index,tunnel_relative_position,val_ratio_at_tunnel,wd_grid_max
chronos2,monash_traffic,Traffic,complete,L11,0.9166666666666666,L12,0.08749914038499804,0.08432700820551574,0.7150846195169995,0.4892326155438858,66.19521403312683,2026-09-22T13:07:22+00:00,L11,10.0,13,0,1,14,262,262,1394,262,0.06062586568180429,L12+LN,True,chronos2/monash_traffic,source_family,undocumented,24,0.998486432866471,sustained_suffix_v1,11,0.9166666666666666,1.0462555840570171,90.0
timesfm3,m4_hourly,M4,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,monash_electricity_hourly,Electricity,complete,L15,0.75,L20,0.13154351711273193,0.16895323991775513,1.0966017273570603,0.9474402281762001,127.30568146705627,2026-09-22T11:59:19+00:00,L15,45.0,21,0,0,21,262,262,1394,262,0.1448194282535972,L20,True,timesfm3/monash_electricity_hourly,source_family,undocumented,24,0.9882930008660941,sustained_suffix_v1,15,0.75,1.0245373219135687,90.0
timesfm3,uber_tlc_hourly,Uber TLC,complete,L1,0.05,L20,0.206626757979393,0.26312434673309326,0.9362193143759889,0.8170108598282969,101.30628514289856,2026-09-22T12:05:35+00:00,L1,30.0,21,0,0,21,262,262,1394,262,0.23748269561002341,L20,True,timesfm3/uber_tlc_hourly,source_family,undocumented,24,1.0982400247910633,sustained_suffix_v1,1,0.05,1.0396046237233698,90.0
timesfm3,wind_farms_hourly,Wind Farms,complete,Emb,0.0,L20,0.20043906569480896,0.6077083349227905,4.730830030987012,4.313073160635614,102.36247730255127,2026-09-22T12:09:36+00:00,Emb,30.0,21,0,0,21,262,262,1394,262,0.5715493210097055,L20,True,timesfm3/wind_farms_hourly,source_family,undocumented,24,1.0371255242674968,sustained_suffix_v1,0,0.0,1.0371861682917216,90.0
timesfm3,sg_carpark,SG Carpark,complete,L12,0.6,L20,0.16576625406742096,0.13409125804901123,0.8204789459281215,0.6031922346259811,103.52740454673767,2026-09-22T12:13:36+00:00,L6,30.0,21,0,0,21,354,354,1394,354,0.09984461537635975,L20,True,timesfm3/sg_carpark,source_family,undocumented,24,0.9688915480348743,sustained_suffix_v1,12,0.6,1.040288069857345,90.0
timesfm3,coastal_ts,Coastal T-S,complete,L5,0.25,L20,0.315023273229599,0.326337993144989,1.322459056394015,1.0858325172364742,98.66206359863281,2026-09-22T12:17:23+00:00,Emb,65.0,21,6,0,21,48,24,1394,48,0.2727219187654555,L20,True,timesfm3/coastal_ts,source_family,undocumented,24,0.9365237862058801,sustained_suffix_v1,5,0.25,1.0342344732147528,90.0
timesfm3,boom_hourly,BOOM,complete,Emb,0.0,L20,0.19227200746536255,0.23762404918670654,1.3427051153853997,0.9327029110293222,100.50812816619873,2026-09-22T12:21:41+00:00,Emb,45.0,21,0,0,21,354,354,1394,354,0.1865448418987907,L20,True,timesfm3/boom_hourly,source_family,undocumented,24,0.9564607805511869,sustained_suffix_v1,0,0.0,0.922106111094061,90.0
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,complete,L1,0.05,L20,0.27176299691200256,0.22629550099372864,1.1867719632445164,1.2305916869620719,96.64772272109985,2026-09-22T12:26:51+00:00,L1,90.0,21,15,0,21,262,262,1394,262,0.23187647919163448,L20,True,timesfm3/LOOP_SEATTLE_5T,benchmark_exclusion,explicitly_held_out,288,1.0242927997448248,sustained_suffix_v1,1,0.05,1.0441340594041817,90.0
timesfm3,electricity_15min,Electricity 15min,complete,L1,0.05,L20,0.1678735315799713,0.2042963057756424,1.3538897779470502,1.2037670286285254,97.21088886260986,2026-09-22T12:32:25+00:00,L1,30.0,21,0,0,21,262,262,1394,262,0.17785848934993856,L20,True,timesfm3/electricity_15min,source_family,undocumented,96,1.0110943084047643,sustained_suffix_v1,1,0.05,0.9668178972078508,90.0
