model,dataset,display_name,definition,tolerance,is_headline_tolerance,tunnel_layer,tunnel_index,tunnel_depth_axis_index,normalized_tunnel,n_depth_points,reference_layer,val_ratio_at_tunnel,test_ratio_at_tunnel,suffix_excursion_at_tunnel,first_crossing_layer,first_crossing_depth_axis_index,sustained_minus_first_crossing,headline_val_ratio_at_tunnel,headline_test_ratio_at_tunnel
chronos2,m4_hourly,M4,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L9,9,3,1.0477843588342126,1.0708977400367337
chronos2,m4_hourly,M4,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,1.0114164290312717,1.0338119487011441,0.011416429031271713,L9,9,2,1.0477843588342126,1.0708977400367337
chronos2,m4_hourly,M4,sustained_suffix_v1,0.05,True,L8,8,8,0.6666666666666666,13,L12,1.0477843588342126,1.0708977400367337,0.047784358834212615,L8,8,0,1.0477843588342126,1.0708977400367337
chronos2,m4_hourly,M4,sustained_suffix_v1,0.1,False,L4,4,4,0.3333333333333333,13,L12,1.0966367147016691,1.0946712818217292,0.09663671470166912,L4,4,0,1.0477843588342126,1.0708977400367337
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,1.0055675839006777,1.032689616835207,0.005567583900677686,L11,11,0,1.0241592128368582,1.0297258111668908
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,1.0055675839006777,1.032689616835207,0.005567583900677686,L11,11,0,1.0241592128368582,1.0297258111668908
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.05,True,L9,9,9,0.75,13,L12,1.0241592128368582,1.0297258111668908,0.03378308362675275,L9,9,0,1.0241592128368582,1.0297258111668908
chronos2,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.1,False,L5,5,5,0.4166666666666667,13,L12,1.0704512640730697,1.0453045950153153,0.07975790748614298,L5,5,0,1.0241592128368582,1.0297258111668908
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.01,False,L6,6,6,0.5,13,L12,1.0035413847714958,1.0195373859562196,0.0035413847714957924,L6,6,0,1.0388672905793954,1.0637157315654564
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.02,False,L5,5,5,0.4166666666666667,13,L12,1.0131730210083456,1.0313315855737986,0.013173021008345609,L5,5,0,1.0388672905793954,1.0637157315654564
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.05,True,L4,4,4,0.3333333333333333,13,L12,1.0388672905793954,1.0637157315654564,0.03886729057939542,L4,4,0,1.0388672905793954,1.0637157315654564
chronos2,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.1,False,L3,3,3,0.25,13,L12,1.0628811002910177,1.1051324843856276,0.06288110029101768,L3,3,0,1.0388672905793954,1.0637157315654564
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L5,5,7,1.039089590069387,1.0101766474334517
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,1.0176329276142138,0.9987192477689733,0.017632927614213756,L4,4,7,1.039089590069387,1.0101766474334517
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.05,True,L3,3,3,0.25,13,L12,1.039089590069387,1.0101766474334517,0.03908959006938706,L3,3,0,1.039089590069387,1.0101766474334517
chronos2,wind_farms_hourly,Wind Farms,sustained_suffix_v1,0.1,False,L2,2,2,0.16666666666666666,13,L12,1.098109662668732,1.091272689698694,0.09810966266873189,L2,2,0,1.039089590069387,1.0101766474334517
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0464494757855163,0.9556595695569985
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,1.0128502214917185,0.9872257400271098,0.01285022149171855,L11,11,0,1.0464494757855163,0.9556595695569985
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.05,True,L10,10,10,0.8333333333333334,13,L12,1.0464494757855163,0.9556595695569985,0.04644947578551628,L10,10,0,1.0464494757855163,0.9556595695569985
chronos2,sg_carpark,SG Carpark,sustained_suffix_v1,0.1,False,L9,9,9,0.75,13,L12,1.0824600264141147,0.9723432489536278,0.08246002641411465,L9,9,0,1.0464494757855163,0.9556595695569985
chronos2,coastal_ts,Coastal T-S,sustained_suffix_v1,0.01,False,L4,4,4,0.3333333333333333,13,L12,0.9984298116520227,0.9949365278695176,0.008741860988544348,L4,4,0,1.0303564480911884,1.0252798841138813
chronos2,coastal_ts,Coastal T-S,sustained_suffix_v1,0.02,False,L3,3,3,0.25,13,L12,1.0158071652235456,1.0174602746539074,0.01580716522354564,L3,3,0,1.0303564480911884,1.0252798841138813
chronos2,coastal_ts,Coastal T-S,sustained_suffix_v1,0.05,True,L1,1,1,0.08333333333333333,13,L12,1.0303564480911884,1.0252798841138813,0.030356448091188426,L1,1,0,1.0303564480911884,1.0252798841138813
chronos2,coastal_ts,Coastal T-S,sustained_suffix_v1,0.1,False,L1,1,1,0.08333333333333333,13,L12,1.0303564480911884,1.0252798841138813,0.030356448091188426,L1,1,0,1.0303564480911884,1.0252798841138813
chronos2,boom_hourly,BOOM,sustained_suffix_v1,0.01,False,L4,4,4,0.3333333333333333,13,L12,1.008406981965814,1.0080970121562118,0.008406981965813909,L4,4,0,1.0236698605690557,1.012644839038899
chronos2,boom_hourly,BOOM,sustained_suffix_v1,0.02,False,L4,4,4,0.3333333333333333,13,L12,1.008406981965814,1.0080970121562118,0.008406981965813909,L4,4,0,1.0236698605690557,1.012644839038899
chronos2,boom_hourly,BOOM,sustained_suffix_v1,0.05,True,L3,3,3,0.25,13,L12,1.0236698605690557,1.012644839038899,0.023669860569055734,L3,3,0,1.0236698605690557,1.012644839038899
chronos2,boom_hourly,BOOM,sustained_suffix_v1,0.1,False,L1,1,1,0.08333333333333333,13,L12,1.0827010262562071,1.0647650216251257,0.08270102625620712,L1,1,0,1.0236698605690557,1.012644839038899
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L9,9,3,1.0199429096695638,0.8867807189913691
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.02,False,L8,8,8,0.6666666666666666,13,L12,1.0199429096695638,0.8867807189913691,0.019942909669563802,L8,8,0,1.0199429096695638,0.8867807189913691
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.05,True,L8,8,8,0.6666666666666666,13,L12,1.0199429096695638,0.8867807189913691,0.019942909669563802,L8,8,0,1.0199429096695638,0.8867807189913691
chronos2,LOOP_SEATTLE_5T,Loop Seattle,sustained_suffix_v1,0.1,False,L6,6,6,0.5,13,L12,1.0935140286233491,0.9194148254020716,0.09351402862334912,L6,6,0,1.0199429096695638,0.8867807189913691
chronos2,electricity_15min,Electricity 15min,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0250939402652968,0.9896932650119262
