,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.317367,0.281776,0.274872,0.285281,0.267718,0.291217,0.272365,0.294137,0.222390,0.020907,0.010280,0.004068,0.033390
L1,0.296039,0.998443,0.979016,0.966047,0.944275,0.910628,0.862479,0.845070,0.817196,0.743676,0.287393,0.353820,0.422978,0.549556
L2,0.257020,0.967597,0.998367,0.993828,0.974990,0.944161,0.892175,0.879246,0.843302,0.771567,0.307564,0.382573,0.453066,0.582105
L3,0.253912,0.952596,0.990488,0.998404,0.987235,0.963194,0.914693,0.901980,0.864816,0.792577,0.301388,0.375003,0.442954,0.597732
L4,0.263832,0.927777,0.968229,0.983665,0.997972,0.985974,0.946570,0.933704,0.898037,0.823790,0.304358,0.375964,0.439189,0.616784
L5,0.245739,0.886424,0.928233,0.950529,0.977204,0.996627,0.974902,0.963962,0.929048,0.852113,0.304846,0.371306,0.427174,0.624304
L6,0.262912,0.820067,0.857547,0.883091,0.919161,0.956766,0.991669,0.977977,0.945152,0.855549,0.284953,0.344498,0.395688,0.591529
L7,0.250040,0.809905,0.851493,0.877210,0.912675,0.951510,0.982311,0.989414,0.961180,0.884649,0.303352,0.369219,0.428057,0.619739
L8,0.278482,0.796112,0.831446,0.855932,0.893044,0.931802,0.963708,0.974804,0.980431,0.910463,0.311417,0.375473,0.429273,0.626853
L9,0.212020,0.757741,0.796871,0.821908,0.857147,0.892195,0.906913,0.934864,0.949257,0.949895,0.372521,0.449119,0.504328,0.694950
L10,0.015306,0.272513,0.295539,0.287814,0.291365,0.300282,0.285247,0.303660,0.320327,0.358237,0.992840,0.926492,0.677364,0.254825
L11,0.008645,0.338422,0.368612,0.359932,0.362136,0.369292,0.349037,0.373683,0.391061,0.436559,0.929279,0.991779,0.846755,0.351684
L12,0.004426,0.412249,0.442615,0.433153,0.432622,0.435265,0.411144,0.444535,0.458437,0.506514,0.695474,0.878402,0.982056,0.488680
L12+LN,0.033818,0.539508,0.574298,0.590901,0.611173,0.624854,0.604425,0.630843,0.632256,0.664798,0.261217,0.359695,0.484490,0.907655
