,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.317437,0.281839,0.274929,0.285332,0.267762,0.291266,0.272409,0.294184,0.222421,0.020910,0.010281,0.004067,0.033389
L1,0.317437,1.000000,0.975250,0.961209,0.939594,0.905104,0.858970,0.840466,0.814469,0.740644,0.283436,0.348364,0.416252,0.542478
L2,0.281839,0.975250,1.000000,0.993971,0.974796,0.942668,0.892722,0.878421,0.844247,0.771486,0.306464,0.380271,0.449373,0.575780
L3,0.274929,0.961209,0.993971,1.000000,0.988009,0.962184,0.914767,0.900971,0.865153,0.792565,0.299505,0.372148,0.440407,0.593640
L4,0.285332,0.939594,0.974796,0.988009,1.000000,0.985462,0.946419,0.932671,0.898299,0.824371,0.303524,0.374809,0.440092,0.615804
L5,0.267762,0.905104,0.942668,0.962184,0.985462,1.000000,0.976304,0.965908,0.933016,0.859220,0.313035,0.382252,0.442574,0.631705
L6,0.291266,0.858970,0.892722,0.914767,0.946419,0.976304,1.000000,0.988039,0.958210,0.874580,0.298525,0.362087,0.418393,0.611909
L7,0.272409,0.840466,0.878421,0.900971,0.932671,0.965908,0.988039,1.000000,0.977707,0.914984,0.318462,0.388755,0.453687,0.643671
L8,0.294184,0.814469,0.844247,0.865153,0.898299,0.933016,0.958210,0.977707,1.000000,0.953138,0.336556,0.406289,0.465531,0.647780
L9,0.222421,0.740644,0.771486,0.792565,0.824371,0.859220,0.874580,0.914984,0.953138,1.000000,0.379241,0.456955,0.518240,0.695169
L10,0.020910,0.283436,0.306464,0.299505,0.303524,0.313035,0.298525,0.318462,0.336556,0.379241,1.000000,0.927321,0.679884,0.270013
L11,0.010281,0.348364,0.380271,0.372148,0.374809,0.382252,0.362087,0.388755,0.406289,0.456955,0.927321,1.000000,0.871257,0.375828
L12,0.004067,0.416252,0.449373,0.440407,0.440092,0.442574,0.418393,0.453687,0.465531,0.518240,0.679884,0.871257,1.000000,0.517261
L12+LN,0.033389,0.542478,0.575780,0.593640,0.615804,0.631705,0.611909,0.643671,0.647780,0.695169,0.270013,0.375828,0.517261,1.000000
