,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.309812,0.273462,0.266028,0.275753,0.257612,0.278554,0.262379,0.286866,0.218809,0.020565,0.010183,0.004355,0.034631
L1,0.309812,1.000000,0.975353,0.960953,0.937832,0.900712,0.846616,0.831349,0.807730,0.744836,0.283097,0.347944,0.419717,0.549430
L2,0.273462,0.975353,1.000000,0.993714,0.973319,0.938386,0.880532,0.869304,0.838343,0.776778,0.303488,0.376264,0.448855,0.583416
L3,0.266028,0.960953,0.993714,1.000000,0.987187,0.958966,0.904204,0.893283,0.860872,0.799409,0.296924,0.368296,0.439372,0.600972
L4,0.275753,0.937832,0.973319,0.987187,1.000000,0.983986,0.938496,0.927333,0.896599,0.833503,0.301147,0.370959,0.438634,0.622600
L5,0.257612,0.900712,0.938386,0.958966,0.983986,1.000000,0.972359,0.963506,0.933903,0.868867,0.307137,0.373641,0.435549,0.635397
L6,0.278554,0.846616,0.880532,0.904204,0.938496,0.972359,1.000000,0.988554,0.961143,0.883391,0.291053,0.351282,0.408643,0.611376
L7,0.262379,0.831349,0.869304,0.893283,0.927333,0.963506,0.988554,1.000000,0.978648,0.918832,0.309588,0.376125,0.441866,0.640809
L8,0.286866,0.807730,0.838343,0.860872,0.896599,0.933903,0.961143,0.978648,1.000000,0.953411,0.323066,0.388231,0.448689,0.645160
L9,0.218809,0.744836,0.776778,0.799409,0.833503,0.868867,0.883391,0.918832,0.953411,1.000000,0.368328,0.441078,0.502827,0.697382
L10,0.020565,0.283097,0.303488,0.296924,0.301147,0.307137,0.291053,0.309588,0.323066,0.368328,1.000000,0.928399,0.681776,0.269199
L11,0.010183,0.347944,0.376264,0.368296,0.370959,0.373641,0.351282,0.376125,0.388231,0.441078,0.928399,1.000000,0.870345,0.370880
L12,0.004355,0.419717,0.448855,0.439372,0.438634,0.435549,0.408643,0.441866,0.448689,0.502827,0.681776,0.870345,1.000000,0.509160
L12+LN,0.034631,0.549430,0.583416,0.600972,0.622600,0.635397,0.611376,0.640809,0.645160,0.697382,0.269199,0.370880,0.509160,1.000000
