,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.203047,0.207208,0.208666,0.205658,0.187798,0.198199,0.194087,0.219368,0.195248,0.182366,0.099920,0.029354,0.062655
L1,0.197735,0.999625,0.989038,0.977198,0.954490,0.925297,0.896499,0.885127,0.869583,0.845330,0.825528,0.815388,0.747142,0.695972
L2,0.199683,0.986345,0.999587,0.995382,0.979670,0.955113,0.926024,0.916312,0.901462,0.881459,0.866082,0.858076,0.797087,0.737729
L3,0.201806,0.973268,0.993424,0.999625,0.991117,0.972975,0.945973,0.937522,0.922460,0.903786,0.889721,0.881609,0.824728,0.766478
L4,0.197732,0.948854,0.975809,0.989286,0.999606,0.991123,0.969688,0.962597,0.947777,0.929749,0.913015,0.896903,0.843045,0.795401
L5,0.178975,0.916937,0.947946,0.968043,0.988304,0.999355,0.987659,0.983012,0.969443,0.952258,0.930203,0.900986,0.848643,0.815715
L6,0.187822,0.882741,0.913709,0.936048,0.962501,0.983817,0.998682,0.995272,0.982905,0.960294,0.929152,0.882622,0.821633,0.802271
L7,0.181891,0.870208,0.902450,0.925952,0.953370,0.977018,0.992585,0.998341,0.988025,0.969252,0.937092,0.884367,0.824478,0.809872
L8,0.206368,0.856266,0.889468,0.912715,0.940245,0.964478,0.980717,0.988398,0.997254,0.981149,0.946849,0.883442,0.817473,0.812086
L9,0.183574,0.834323,0.871065,0.895441,0.922410,0.946424,0.956717,0.968192,0.980752,0.992425,0.970569,0.907396,0.836187,0.848548
L10,0.166788,0.808692,0.849944,0.875010,0.898677,0.918251,0.920341,0.930393,0.941241,0.965313,0.989257,0.951565,0.873736,0.883416
L11,0.089116,0.792385,0.834227,0.859168,0.874810,0.882011,0.867138,0.869368,0.867470,0.891142,0.943199,0.990124,0.924242,0.885843
L12,0.027632,0.729114,0.777700,0.807213,0.824977,0.833883,0.810503,0.812922,0.805599,0.824999,0.872279,0.931087,0.986202,0.876393
L12+LN,0.057637,0.676759,0.718488,0.748132,0.775039,0.796476,0.785249,0.792366,0.794389,0.831158,0.877580,0.886940,0.870463,0.982478
