,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.207134,0.212858,0.215653,0.213575,0.197376,0.209521,0.205849,0.231672,0.205076,0.188921,0.103934,0.030462,0.066853
L1,0.197744,0.999157,0.990018,0.978946,0.957405,0.930232,0.905449,0.894630,0.877892,0.853230,0.836771,0.824141,0.753734,0.704980
L2,0.199692,0.984778,0.999059,0.995707,0.981163,0.958737,0.933519,0.924458,0.907995,0.887564,0.875407,0.865438,0.802146,0.745300
L3,0.201814,0.971117,0.992114,0.999119,0.991744,0.975599,0.952104,0.944369,0.927565,0.908488,0.897744,0.887866,0.828987,0.773730
L4,0.197739,0.946071,0.973669,0.987960,0.999046,0.992249,0.973743,0.967468,0.950874,0.932799,0.919422,0.901815,0.846429,0.802026
L5,0.178980,0.913653,0.945138,0.966014,0.986827,0.998544,0.988667,0.984847,0.969780,0.953112,0.934751,0.904457,0.850854,0.821396
L6,0.187829,0.879753,0.911208,0.934273,0.961079,0.982342,0.996760,0.994078,0.980776,0.959194,0.932119,0.885197,0.822960,0.807163
L7,0.181897,0.867039,0.899723,0.923967,0.951729,0.975336,0.990283,0.995922,0.984687,0.966738,0.938560,0.886171,0.825182,0.814215
L8,0.206375,0.853329,0.887027,0.911043,0.938959,0.963187,0.979116,0.986649,0.993869,0.977749,0.946757,0.884162,0.816987,0.815625
L9,0.183580,0.830978,0.868047,0.893188,0.920666,0.945009,0.955421,0.966566,0.977100,0.986160,0.966849,0.905248,0.833211,0.848814
L10,0.166794,0.805346,0.846581,0.872253,0.896468,0.916971,0.920136,0.929646,0.938036,0.958263,0.981431,0.945820,0.866686,0.878875
L11,0.089119,0.788521,0.829869,0.855060,0.871398,0.880253,0.867441,0.869449,0.864589,0.884785,0.936268,0.982773,0.914531,0.878675
L12,0.027632,0.725073,0.772747,0.802720,0.821129,0.831666,0.810096,0.812452,0.802389,0.818908,0.866279,0.923622,0.975028,0.868811
L12+LN,0.057639,0.672558,0.713580,0.743648,0.770965,0.793222,0.783083,0.789671,0.789167,0.822465,0.867998,0.875773,0.856254,0.969576
