,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.207180,0.212905,0.215696,0.213611,0.197405,0.209557,0.205884,0.231713,0.205111,0.188953,0.103953,0.030465,0.066864
L1,0.207180,1.000000,0.988499,0.976118,0.953181,0.925032,0.900925,0.889764,0.873846,0.848160,0.831758,0.817659,0.747191,0.698053
L2,0.212905,0.988499,1.000000,0.994798,0.978386,0.954541,0.930162,0.920537,0.905035,0.883330,0.870831,0.858025,0.793408,0.737546
L3,0.215696,0.976118,0.994798,1.000000,0.990903,0.973413,0.950487,0.942206,0.926241,0.906201,0.894894,0.881572,0.822233,0.767881
L4,0.213611,0.953181,0.978386,0.990903,1.000000,0.991498,0.973423,0.966381,0.950564,0.931369,0.917390,0.896706,0.840493,0.796362
L5,0.197405,0.925032,0.954541,0.973413,0.991498,1.000000,0.989386,0.984723,0.970118,0.952932,0.935856,0.904560,0.850391,0.818642
L6,0.209557,0.900925,0.930162,0.950487,0.973423,0.989386,1.000000,0.996122,0.983783,0.962211,0.937898,0.891422,0.827718,0.808083
L7,0.205884,0.889764,0.920537,0.942206,0.966381,0.984723,0.996122,1.000000,0.989672,0.971529,0.944968,0.892775,0.830395,0.814674
L8,0.231713,0.873846,0.905035,0.926241,0.950564,0.970118,0.983783,0.989672,1.000000,0.984333,0.953261,0.887424,0.817790,0.812975
L9,0.205111,0.848160,0.883330,0.906201,0.931369,0.952932,0.962211,0.971529,0.984333,1.000000,0.977953,0.908394,0.835949,0.848488
L10,0.188953,0.831758,0.870831,0.894894,0.917390,0.935856,0.937898,0.944968,0.953261,0.977953,1.000000,0.957130,0.877276,0.887190
L11,0.103953,0.817659,0.858025,0.881572,0.896706,0.904560,0.891422,0.892775,0.887424,0.908394,0.957130,1.000000,0.931058,0.889348
L12,0.030465,0.747191,0.793408,0.822233,0.840493,0.850391,0.827718,0.830395,0.817790,0.835949,0.877276,0.931058,1.000000,0.875231
L12+LN,0.066864,0.698053,0.737546,0.767881,0.796362,0.818642,0.808083,0.814674,0.812975,0.848488,0.887190,0.889348,0.875231,1.000000
