source_dataset,target_dataset,quantile_set,readout,run_type,run_seeds,n_runs_present,tolerance,l_start,tunnel,ptid_m_test,ptood_m_test,ptid_test_criterion_holds,d_id,d_id_ci_lo,d_id_ci_hi,d_id_by_run,d_ood,d_ood_ci_lo,d_ood_ci_hi,d_ood_by_run,delta,delta_ci_lo,delta_ci_hi,delta_excludes_zero,n_ood_clusters,n_ood_windows,delta_ci_note
monash_electricity_hourly,sg_carpark,q9,fslot,probe_seed,0 1 2,3,0.05,10,"[L10, L12+LN]",0.064842,0.017331,False,-0.049184,-0.062969,-0.035848,-0.0517 -0.0461 -0.0498,0.002551,-0.014566,0.020268,+0.0060 -0.0034 +0.0051,0.051735,0.029972,0.074311,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,sg_carpark,q9,fslot,probe_seed,0 1 2,3,0.05,4,"[L4, L12+LN]",0.050734,0.017331,False,-0.048284,-0.057367,-0.039335,-0.0506 -0.0417 -0.0525,-0.004728,-0.033625,0.025878,-0.0019 +0.0022 -0.0145,0.043556,0.012587,0.076391,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,sg_carpark,q9,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.043388,0.052106,True,0.039201,0.008925,0.071584,+0.0335 +0.0466 +0.0374,-0.049526,-0.077599,-0.017641,-0.0377 -0.0491 -0.0616,-0.088726,-0.132595,-0.045191,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,sg_carpark,q9,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.04281,0.052106,True,0.031157,-0.027336,0.091647,+0.0303 +0.0371 +0.0261,-0.049526,-0.077599,-0.017641,-0.0377 -0.0491 -0.0616,-0.080683,-0.146898,-0.013258,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
monash_electricity_hourly,coastal_ts,q9,fslot,probe_seed,0 1 2,3,0.05,10,"[L10, L12+LN]",0.064842,0.039623,False,-0.049184,-0.062969,-0.035848,-0.0517 -0.0461 -0.0498,-0.038112,-0.078479,0.004166,-0.0419 -0.0358 -0.0366,0.011072,-0.031041,0.054898,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,coastal_ts,q9,fslot,probe_seed,0 1 2,3,0.05,4,"[L4, L12+LN]",0.050734,0.051782,False,-0.048284,-0.057367,-0.039335,-0.0506 -0.0417 -0.0525,-0.003037,-0.066319,0.075118,-0.0086 -0.0003 -0.0001,0.045247,-0.020902,0.127665,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,coastal_ts,q9,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.043388,0.051782,True,0.039201,0.008925,0.071584,+0.0335 +0.0466 +0.0374,-0.004039,-0.074755,0.078945,-0.0078 -0.0021 -0.0022,-0.043239,-0.121525,0.046182,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,coastal_ts,q9,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.04281,0.051782,True,0.031157,-0.027336,0.091647,+0.0303 +0.0371 +0.0261,-0.004039,-0.074755,0.078945,-0.0078 -0.0021 -0.0022,-0.035196,-0.127772,0.064826,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
monash_electricity_hourly,boom_hourly,q9,fslot,probe_seed,0 1 2,3,0.05,10,"[L10, L12+LN]",0.064842,0.09883,False,-0.049184,-0.062969,-0.035848,-0.0517 -0.0461 -0.0498,-0.089886,-0.11372,-0.067623,-0.0879 -0.0893 -0.0925,-0.040702,-0.067038,-0.014945,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,boom_hourly,q9,fslot,probe_seed,0 1 2,3,0.05,4,"[L4, L12+LN]",0.050734,0.09883,False,-0.048284,-0.057367,-0.039335,-0.0506 -0.0417 -0.0525,-0.025602,-0.05201,0.00263,-0.0207 -0.0230 -0.0331,0.022682,-0.005714,0.053187,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,boom_hourly,q9,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.043388,0.09883,True,0.039201,0.008925,0.071584,+0.0335 +0.0466 +0.0374,-0.022891,-0.048681,0.005852,-0.0182 -0.0240 -0.0265,-0.062092,-0.104151,-0.022214,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,boom_hourly,q9,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.04281,0.09883,True,0.031157,-0.027336,0.091647,+0.0303 +0.0371 +0.0261,-0.022891,-0.048681,0.005852,-0.0182 -0.0240 -0.0265,-0.054048,-0.121841,0.010559,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
