source_dataset,target_dataset,quantile_set,readout,run_type,run_seeds,n_runs_present,tolerance,l_start,tunnel,ptid_m_test,ptood_m_test,ptid_test_criterion_holds,d_id,d_id_ci_lo,d_id_ci_hi,d_id_by_run,d_ood,d_ood_ci_lo,d_ood_ci_hi,d_ood_by_run,delta,delta_ci_lo,delta_ci_hi,delta_excludes_zero,n_ood_clusters,n_ood_windows,delta_ci_note
monash_electricity_hourly,sg_carpark,q1,fslot,probe_seed,0 1 2,3,0.05,10,"[L10, L12+LN]",0.089116,0.055768,False,-0.076718,-0.092816,-0.061939,-0.0652 -0.0764 -0.0884,-0.052822,-0.069741,-0.034522,-0.0793 -0.0243 -0.0541,0.023896,0.000864,0.048113,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,sg_carpark,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.068153,0.156059,False,-0.063804,-0.074508,-0.053355,-0.0548 -0.0638 -0.0728,-0.134992,-0.16596,-0.103421,-0.1413 -0.1230 -0.1408,-0.071188,-0.103863,-0.036779,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,sg_carpark,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.031198,0.156059,True,-0.021651,-0.052961,0.011415,-0.0149 -0.0222 -0.0278,-0.134992,-0.16596,-0.103421,-0.1413 -0.1230 -0.1408,-0.113341,-0.15793,-0.069174,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,sg_carpark,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.035966,0.156059,True,0.023679,-0.041266,0.087686,-0.0009 +0.0499 +0.0228,-0.134992,-0.16596,-0.103421,-0.1413 -0.1230 -0.1408,-0.158671,-0.228996,-0.082681,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
monash_electricity_hourly,coastal_ts,q1,fslot,probe_seed,0 1 2,3,0.05,10,"[L10, L12+LN]",0.089116,0.032825,False,-0.076718,-0.092816,-0.061939,-0.0652 -0.0764 -0.0884,-0.031782,-0.064235,0.004063,-0.0349 -0.0246 -0.0358,0.044937,0.009684,0.082973,True,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,coastal_ts,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.068153,0.058473,False,-0.063804,-0.074508,-0.053355,-0.0548 -0.0638 -0.0728,-0.023014,-0.083551,0.042453,-0.0294 -0.0102 -0.0293,0.04079,-0.019102,0.106768,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,coastal_ts,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.031198,0.058473,True,-0.021651,-0.052961,0.011415,-0.0149 -0.0222 -0.0278,-0.023014,-0.083551,0.042453,-0.0294 -0.0102 -0.0293,-0.001363,-0.071089,0.068644,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,coastal_ts,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.035966,0.058473,True,0.023679,-0.041266,0.087686,-0.0009 +0.0499 +0.0228,-0.023014,-0.083551,0.042453,-0.0294 -0.0102 -0.0293,-0.046693,-0.137152,0.045342,False,24,48,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
monash_electricity_hourly,boom_hourly,q1,fslot,probe_seed,0 1 2,3,0.05,10,"[L10, L12+LN]",0.089116,0.108113,False,-0.076718,-0.092816,-0.061939,-0.0652 -0.0764 -0.0884,-0.067338,-0.091475,-0.045947,-0.0860 -0.0669 -0.0488,0.00938,-0.018814,0.035616,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
uber_tlc_hourly,boom_hourly,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.068153,0.108113,False,-0.063804,-0.074508,-0.053355,-0.0548 -0.0638 -0.0728,-0.007208,-0.040262,0.026635,-0.0222 -0.0033 +0.0039,0.056597,0.023488,0.091436,True,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
m4_hourly,boom_hourly,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.031198,0.108113,True,-0.021651,-0.052961,0.011415,-0.0149 -0.0222 -0.0278,-0.007208,-0.040262,0.026635,-0.0222 -0.0033 +0.0039,0.014443,-0.032385,0.059518,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
wind_farms_hourly,boom_hourly,q1,fslot,probe_seed,0 1 2,3,0.05,3,"[L3, L12+LN]",0.035966,0.108113,True,0.023679,-0.041266,0.087686,-0.0009 +0.0499 +0.0228,-0.007208,-0.040262,0.026635,-0.0222 -0.0033 +0.0039,-0.030887,-0.10165,0.043669,False,354,354,independent-replicate bootstrap difference (disjoint test sets); point stats on 3-run mean curves
