dataset,display_name,domain_status,alignment,layer,layer_name,lambda_selected,effective_dof,lambda_at_grid_edge,train_representation_mse,val_representation_mse,test_representation_mse,val_representation_r2,test_representation_r2,test_per_dimension_r2_median,test_per_dimension_r2_iqr,aligned_native_q9_loss,aligned_native_median_pinball,aligned_native_mae,aligned_native_mase,direct_native_head_q9_loss,learned_probe_q9_loss,native_timesfm_q9_loss,cached_L20_native_head_q9_loss,recovery_vs_cached_L20,recovery_vs_official_decode,tunnel_entrance_5pct
monash_electricity_hourly,Electricity,PT-ID,ridge,10,L10,10000,169.74,0,0.01032252,0.03613323,0.01602970,0.403586,0.705048,0.256381,0.217055,0.167048,0.204471,0.408942,1.084509,52.431228,0.176490,0.144819,0.144819,0.9996,0.9996,15
monash_electricity_hourly,Electricity,PT-ID,ridge,11,L11,10000,173.27,0,0.01039974,0.03485456,0.01619036,0.424692,0.702092,0.253714,0.215818,0.165632,0.203429,0.406857,1.080660,54.372706,0.174229,0.144819,0.144819,0.9996,0.9996,15
monash_electricity_hourly,Electricity,PT-ID,ridge,12,L12,10000,175.52,0,0.01025212,0.03264263,0.01572633,0.461202,0.710630,0.261738,0.208400,0.163689,0.201490,0.402980,1.071070,55.571576,0.172353,0.144819,0.144819,0.9997,0.9997,15
monash_electricity_hourly,Electricity,PT-ID,ridge,13,L13,10000,187.84,0,0.00867534,0.02716346,0.01515573,0.551641,0.721129,0.291066,0.200614,0.162632,0.201330,0.402660,1.076002,49.865776,0.172479,0.144819,0.144819,0.9996,0.9996,15
monash_electricity_hourly,Electricity,PT-ID,ridge,14,L14,10000,186.51,0,0.00866884,0.02462125,0.01472244,0.593602,0.729102,0.302098,0.203685,0.161890,0.200257,0.400514,1.070275,32.979871,0.170648,0.144819,0.144819,0.9995,0.9995,15
monash_electricity_hourly,Electricity,PT-ID,ridge,15,L15,10000,183.37,0,0.00818754,0.02196391,0.01310718,0.637464,0.758823,0.334345,0.195696,0.155844,0.192631,0.385262,1.030929,85.790101,0.167029,0.144819,0.144819,0.9999,0.9999,15
monash_electricity_hourly,Electricity,PT-ID,ridge,16,L16,1000,434.15,0,0.00336633,0.02032071,0.01086884,0.664587,0.800009,0.372694,0.246917,0.151185,0.186149,0.372298,0.992574,22.187817,0.167064,0.144819,0.144819,0.9997,0.9997,15
monash_electricity_hourly,Electricity,PT-ID,ridge,17,L17,1000,345.09,0,0.00380845,0.01662654,0.00934245,0.725563,0.828095,0.433910,0.216760,0.148983,0.183229,0.366459,0.976248,17.694670,0.164168,0.144819,0.144819,0.9998,0.9998,15
monash_electricity_hourly,Electricity,PT-ID,ridge,18,L18,100,540.41,0,0.00143562,0.01156501,0.00637668,0.809108,0.882667,0.563447,0.210363,0.147765,0.181984,0.363968,0.966344,14.917029,0.165534,0.144819,0.144819,0.9998,0.9998,15
monash_electricity_hourly,Electricity,PT-ID,ridge,19,L19,1,853.98,0,0.00012571,0.00315465,0.00180676,0.947929,0.966755,0.858279,0.110402,0.145113,0.179104,0.358208,0.949791,1.784036,0.164118,0.144819,0.144819,0.9998,0.9998,15
monash_electricity_hourly,Electricity,PT-ID,ridge,20,L20,,1280.00,0,0.00000000,0.00000000,0.00000000,1.000000,1.000000,1.000000,0.000000,0.144819,0.178667,0.357333,0.947440,0.144819,0.168276,0.144819,0.144819,,,15
uber_tlc_hourly,Uber TLC,PT-ID,ridge,0,Emb,1000,80.20,0,0.03433488,0.02951523,0.04893960,0.299974,0.147923,-0.066546,0.272855,0.311775,0.382039,0.764078,1.101741,14.190886,0.317097,0.237483,0.237483,0.9947,0.9947,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,1,L1,1000,197.18,0,0.01683733,0.01894969,0.02881514,0.550561,0.498306,0.084930,0.263887,0.272331,0.338007,0.676014,0.954552,15.620650,0.288974,0.237483,0.237483,0.9977,0.9977,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,2,L2,1000,270.75,0,0.01278926,0.01661961,0.02519772,0.605825,0.561288,0.121115,0.281297,0.266584,0.330897,0.661793,0.935894,11.283102,0.287584,0.237483,0.237483,0.9974,0.9974,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,3,L3,1000,313.57,0,0.01066593,0.01517827,0.02277366,0.640010,0.603493,0.157250,0.291526,0.262648,0.326604,0.653208,0.924968,13.216347,0.282494,0.237483,0.237483,0.9981,0.9981,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,4,L4,1000,359.72,0,0.00928801,0.01439045,0.02181086,0.658695,0.620256,0.181771,0.295192,0.262782,0.326073,0.652146,0.927127,11.695060,0.282125,0.237483,0.237483,0.9978,0.9978,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,5,L5,1000,389.51,0,0.00807753,0.01339027,0.01955346,0.682417,0.659559,0.211279,0.300965,0.255896,0.317933,0.635865,0.899390,21.916368,0.275605,0.237483,0.237483,0.9992,0.9992,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,6,L6,1000,417.72,0,0.00753816,0.01326642,0.01960921,0.685354,0.658588,0.217988,0.305054,0.255997,0.318837,0.637674,0.903743,33.632387,0.278110,0.237483,0.237483,0.9994,0.9994,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,7,L7,1000,448.66,0,0.00692066,0.01305226,0.01895859,0.690434,0.669916,0.230443,0.298146,0.254895,0.317957,0.635914,0.903743,84.019117,0.274930,0.237483,0.237483,0.9998,0.9998,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,8,L8,1000,457.12,0,0.00677710,0.01290286,0.01888245,0.693977,0.671242,0.236701,0.293999,0.255297,0.317884,0.635768,0.902884,55.049586,0.275040,0.237483,0.237483,0.9997,0.9997,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,9,L9,1000,465.71,0,0.00668564,0.01292335,0.01896042,0.693491,0.669884,0.236670,0.295029,0.255934,0.319069,0.638139,0.907655,50.301216,0.276063,0.237483,0.237483,0.9996,0.9996,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,10,L10,1000,469.60,0,0.00660589,0.01293910,0.01893012,0.693117,0.670412,0.238083,0.304899,0.255268,0.318510,0.637021,0.904067,111.111039,0.276129,0.237483,0.237483,0.9998,0.9998,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,11,L11,1000,467.14,0,0.00663175,0.01304152,0.01882683,0.690688,0.672210,0.236416,0.302306,0.254955,0.318220,0.636440,0.904690,69.294203,0.277132,0.237483,0.237483,0.9997,0.9997,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,12,L12,1000,469.65,0,0.00651979,0.01289799,0.01819809,0.694092,0.683157,0.249042,0.296084,0.253720,0.316907,0.633815,0.903083,53.142921,0.276286,0.237483,0.237483,0.9997,0.9997,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,13,L13,1000,492.54,0,0.00568293,0.01182156,0.01624614,0.719623,0.717142,0.283056,0.305570,0.248641,0.310616,0.621233,0.880434,48.399764,0.266335,0.237483,0.237483,0.9998,0.9998,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,14,L14,1000,492.68,0,0.00544386,0.01147254,0.01568710,0.727900,0.726875,0.304465,0.306419,0.248681,0.311009,0.622018,0.882072,33.036077,0.265242,0.237483,0.237483,0.9997,0.9997,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,15,L15,1000,477.18,0,0.00533857,0.01070399,0.01501656,0.746129,0.738550,0.332624,0.295278,0.248271,0.310202,0.620405,0.876944,94.394155,0.263762,0.237483,0.237483,0.9999,0.9999,1
