dataset,display_name,domain_status,alignment,layer,layer_name,lambda_selected,effective_dof,lambda_at_grid_edge,train_representation_mse,val_representation_mse,test_representation_mse,val_representation_r2,test_representation_r2,test_per_dimension_r2_median,test_per_dimension_r2_iqr,aligned_native_q9_loss,aligned_native_median_pinball,aligned_native_mae,aligned_native_mase,direct_native_head_q9_loss,learned_probe_q9_loss,native_timesfm_q9_loss,cached_L20_native_head_q9_loss,recovery_vs_cached_L20,recovery_vs_official_decode,tunnel_entrance_5pct
sg_carpark,SG Carpark,PT-OOD,ridge,16,L16,1000,439.77,0,0.00298062,0.01212255,0.00820457,0.813460,0.870364,0.361110,0.243679,0.113102,0.137294,0.274589,0.678942,21.434712,0.127323,0.099845,0.099845,0.9994,0.9994,5
sg_carpark,SG Carpark,PT-OOD,ridge,17,L17,1000,348.65,0,0.00339630,0.01102120,0.00736926,0.830408,0.883562,0.425181,0.215267,0.111528,0.135242,0.270483,0.668913,16.101992,0.128346,0.099845,0.099845,0.9993,0.9993,5
sg_carpark,SG Carpark,PT-OOD,ridge,18,L18,100,544.45,0,0.00129918,0.00765738,0.00488601,0.882170,0.922799,0.545388,0.214428,0.106664,0.129332,0.258665,0.638831,13.346579,0.132819,0.099845,0.099845,0.9995,0.9995,5
sg_carpark,SG Carpark,PT-OOD,ridge,19,L19,1,851.66,0,0.00011393,0.00232053,0.00144627,0.964292,0.977148,0.837418,0.130950,0.101704,0.123865,0.247730,0.609630,1.668909,0.136287,0.099845,0.099845,0.9988,0.9988,5
sg_carpark,SG Carpark,PT-OOD,ridge,20,L20,,1280.00,0,0.00000000,0.00000000,0.00000000,1.000000,1.000000,1.000000,0.000000,0.099845,0.122547,0.245093,0.603192,0.099845,0.133420,0.099845,0.099845,,,5
coastal_ts,Coastal T-S,PT-OOD,ridge,0,Emb,1000,64.34,0,0.02427107,0.03217971,0.03174247,0.513439,0.508726,0.053038,0.246409,0.292620,0.373128,0.746255,1.201229,11.122819,0.300779,0.272722,0.272722,0.9982,0.9982,0
coastal_ts,Coastal T-S,PT-OOD,ridge,1,L1,1000,185.82,0,0.01642975,0.02691808,0.02689247,0.592995,0.583789,0.125133,0.255963,0.286604,0.364351,0.728702,1.161830,11.174519,0.310441,0.272722,0.272722,0.9987,0.9987,0
coastal_ts,Coastal T-S,PT-OOD,ridge,2,L2,1000,253.57,0,0.01278585,0.02415406,0.02375579,0.634788,0.632335,0.153318,0.266758,0.281615,0.359897,0.719794,1.132619,9.298404,0.305596,0.272722,0.272722,0.9990,0.9990,0
coastal_ts,Coastal T-S,PT-OOD,ridge,3,L3,1000,300.85,0,0.01094270,0.02332451,0.02213318,0.647330,0.657448,0.190228,0.271318,0.276343,0.354290,0.708579,1.113970,14.557488,0.321128,0.272722,0.272722,0.9997,0.9997,0
coastal_ts,Coastal T-S,PT-OOD,ridge,4,L4,1000,361.75,0,0.00915076,0.02231698,0.02132856,0.662564,0.669901,0.204224,0.287187,0.276209,0.353375,0.706751,1.105446,10.820056,0.318252,0.272722,0.272722,0.9997,0.9997,0
coastal_ts,Coastal T-S,PT-OOD,ridge,5,L5,1000,412.54,0,0.00777026,0.02115026,0.02002561,0.680205,0.690066,0.238371,0.301656,0.274217,0.350230,0.700461,1.096287,23.447291,0.311274,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,6,L6,1000,477.31,0,0.00674758,0.02105222,0.01956573,0.681688,0.697184,0.235714,0.297565,0.275159,0.351627,0.703253,1.101669,68.327270,0.319499,0.272722,0.272722,1.0000,1.0000,0
coastal_ts,Coastal T-S,PT-OOD,ridge,7,L7,10000,216.64,0,0.01230484,0.02082149,0.01972514,0.685176,0.694717,0.291350,0.229719,0.282179,0.360773,0.721546,1.145508,114.923358,0.320678,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,8,L8,10000,240.18,0,0.01167057,0.02046802,0.01922372,0.690521,0.702477,0.294480,0.231963,0.282302,0.360264,0.720529,1.138271,139.065633,0.316508,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,9,L9,10000,254.24,0,0.01131693,0.02060988,0.01927446,0.688376,0.701692,0.303554,0.228186,0.283557,0.363195,0.726389,1.148716,142.735631,0.318093,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,10,L10,10000,260.35,0,0.01104692,0.02037542,0.01905581,0.691921,0.705076,0.312477,0.220771,0.286071,0.366516,0.733031,1.157042,82.465299,0.315703,0.272722,0.272722,0.9998,0.9998,0
coastal_ts,Coastal T-S,PT-OOD,ridge,11,L11,10000,266.92,0,0.01080740,0.02025500,0.01869651,0.693742,0.710636,0.320551,0.229221,0.284252,0.362767,0.725534,1.138170,68.222598,0.319559,0.272722,0.272722,0.9998,0.9998,0
coastal_ts,Coastal T-S,PT-OOD,ridge,12,L12,10000,273.30,0,0.01042992,0.01968733,0.01841859,0.702325,0.714938,0.328989,0.228262,0.282900,0.361153,0.722306,1.140676,57.023091,0.319488,0.272722,0.272722,0.9998,0.9998,0
coastal_ts,Coastal T-S,PT-OOD,ridge,13,L13,10000,280.27,0,0.00986876,0.01918166,0.01801331,0.709971,0.721210,0.334908,0.232680,0.281456,0.360721,0.721442,1.149711,59.494779,0.316036,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,14,L14,10000,282.63,0,0.00946638,0.01839206,0.01741401,0.721910,0.730486,0.353535,0.231367,0.282691,0.362153,0.724305,1.148923,43.128863,0.317953,0.272722,0.272722,0.9998,0.9998,0
coastal_ts,Coastal T-S,PT-OOD,ridge,15,L15,1000,647.48,0,0.00351240,0.01663697,0.01587676,0.748447,0.754277,0.318634,0.299147,0.277792,0.355766,0.711533,1.120854,89.545630,0.310629,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,16,L16,1000,597.41,0,0.00352997,0.01478895,0.01406581,0.776389,0.782305,0.378848,0.274418,0.275960,0.353379,0.706757,1.102408,27.451388,0.317415,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,17,L17,1000,489.37,0,0.00383045,0.01267437,0.01164397,0.808362,0.819788,0.469825,0.243275,0.275663,0.353232,0.706464,1.100439,21.716753,0.320584,0.272722,0.272722,0.9999,0.9999,0
coastal_ts,Coastal T-S,PT-OOD,ridge,18,L18,100,676.56,0,0.00154667,0.00866883,0.00826990,0.868926,0.872008,0.558636,0.239314,0.272622,0.349167,0.698335,1.081325,14.780165,0.325148,0.272722,0.272722,1.0000,1.0000,0
coastal_ts,Coastal T-S,PT-OOD,ridge,19,L19,1,958.75,0,0.00012239,0.00264877,0.00239883,0.959950,0.962874,0.842258,0.151726,0.273387,0.352082,0.704164,1.090249,1.416559,0.323320,0.272722,0.272722,0.9994,0.9994,0
coastal_ts,Coastal T-S,PT-OOD,ridge,20,L20,,1280.00,0,0.00000000,0.00000000,0.00000000,1.000000,1.000000,1.000000,0.000000,0.272722,0.350550,0.701100,1.085834,0.272722,0.329160,0.272722,0.272722,,0.0000,0
boom_hourly,BOOM,PT-OOD,ridge,0,Emb,1,250.64,0,0.02071837,0.03345873,0.03012096,0.209744,0.094430,-0.357715,0.378654,1.081564,0.403333,0.806666,2.213059,9.321244,0.227278,0.186545,0.186545,0.9020,0.9020,0
boom_hourly,BOOM,PT-OOD,ridge,1,L1,1000,193.25,0,0.09107062,0.03969050,0.05557489,0.062557,-0.670828,-0.227229,0.925269,4.143990,1.056473,2.112945,5.444786,8.510295,0.223919,0.186545,0.186545,0.5246,0.5246,0
boom_hourly,BOOM,PT-OOD,ridge,2,L2,10000,100.42,0,0.13036823,0.03482633,0.05262760,0.177443,-0.582220,-0.133346,0.884466,3.569296,0.960341,1.920682,5.570931,7.084011,0.228257,0.186545,0.186545,0.5096,0.5096,0
boom_hourly,BOOM,PT-OOD,ridge,3,L3,10000,116.46,0,0.10140686,0.03137358,0.04381882,0.258993,-0.317389,-0.086265,0.747425,3.297273,0.867130,1.734261,5.015206,13.517748,0.232156,0.186545,0.186545,0.7667,0.7667,0
boom_hourly,BOOM,PT-OOD,ridge,4,L4,10000,138.87,0,0.08199828,0.02868425,0.04388277,0.322512,-0.319311,-0.071181,0.757819,3.083633,0.850484,1.700967,5.253212,8.967779,0.232679,0.186545,0.186545,0.6701,0.6701,0
boom_hourly,BOOM,PT-OOD,ridge,5,L5,10000,151.13,0,0.06880715,0.02702172,0.05140782,0.361779,-0.545548,-0.084789,0.959481,3.029378,0.871029,1.742058,6.032864,16.842968,0.233568,0.186545,0.186545,0.8293,0.8293,0
boom_hourly,BOOM,PT-OOD,ridge,6,L6,10000,175.15,0,0.06336766,0.02871346,0.04959533,0.321822,-0.491056,-0.062717,0.888174,3.172255,0.873751,1.747503,6.097208,60.673923,0.238004,0.186545,0.186545,0.9506,0.9506,0
boom_hourly,BOOM,PT-OOD,ridge,7,L7,10000,200.92,0,0.06095792,0.03015016,0.04876278,0.287889,-0.466026,-0.046253,0.838341,3.039336,0.882536,1.765071,6.551965,69.154636,0.237565,0.186545,0.186545,0.9586,0.9586,0
boom_hourly,BOOM,PT-OOD,ridge,8,L8,10000,213.69,0,0.05925448,0.03695560,0.03827097,0.127152,-0.150596,0.004352,0.645714,3.599645,1.003572,2.007145,6.213763,53.731957,0.235646,0.186545,0.186545,0.9363,0.9363,0
boom_hourly,BOOM,PT-OOD,ridge,9,L9,10000,223.20,0,0.06204146,0.03650783,0.03742311,0.137728,-0.125105,0.010196,0.640372,4.051687,1.105556,2.211112,6.466049,54.822267,0.237167,0.186545,0.186545,0.9293,0.9293,0
boom_hourly,BOOM,PT-OOD,ridge,10,L10,10000,229.55,0,0.06148689,0.03672714,0.03702981,0.132548,-0.113281,0.010608,0.629550,3.980542,1.103332,2.206664,6.284332,60.966695,0.235376,0.186545,0.186545,0.9376,0.9376,0
boom_hourly,BOOM,PT-OOD,ridge,11,L11,10000,233.62,0,0.06114991,0.03661253,0.03514750,0.135255,-0.056690,0.030626,0.591842,4.184684,1.079920,2.159841,6.392920,66.397143,0.235077,0.186545,0.186545,0.9396,0.9396,0
boom_hourly,BOOM,PT-OOD,ridge,12,L12,1000,571.34,0,0.01332905,0.03871747,0.03850725,0.085539,-0.157699,-0.186064,0.781987,4.351610,1.196933,2.393866,6.276117,43.625152,0.234951,0.186545,0.186545,0.9041,0.9041,0
boom_hourly,BOOM,PT-OOD,ridge,13,L13,10000,244.86,0,0.05545397,0.03602686,0.03577356,0.149088,-0.075512,0.039418,0.654527,4.068832,1.122679,2.245357,6.705251,41.446130,0.233517,0.186545,0.186545,0.9059,0.9059,0
boom_hourly,BOOM,PT-OOD,ridge,14,L14,10000,244.78,0,0.05297568,0.03838031,0.03803387,0.093502,-0.143467,0.030535,0.681503,4.398213,1.193455,2.386910,6.694781,34.056925,0.233294,0.186545,0.186545,0.8757,0.8757,0
boom_hourly,BOOM,PT-OOD,ridge,15,L15,1000,572.14,0,0.01070018,0.03748081,0.03498350,0.114747,-0.051760,-0.062322,0.768032,3.981416,1.110135,2.220270,5.759743,82.618175,0.232726,0.186545,0.186545,0.9540,0.9540,0
boom_hourly,BOOM,PT-OOD,ridge,16,L16,1000,516.32,0,0.00901535,0.02964907,0.02233655,0.299724,0.328464,0.076306,0.512769,2.738868,0.816149,1.632299,4.492372,22.371245,0.231483,0.186545,0.186545,0.8850,0.8850,0
boom_hourly,BOOM,PT-OOD,ridge,17,L17,100,755.51,0,0.00233327,0.02270228,0.01601950,0.463799,0.518383,-0.006118,0.533701,1.553654,0.512033,1.024065,2.841466,18.713730,0.227716,0.186545,0.186545,0.9262,0.9262,0
boom_hourly,BOOM,PT-OOD,ridge,18,L18,100,596.95,0,0.00208238,0.01345823,0.00881637,0.682132,0.734941,0.335561,0.332197,0.943112,0.348344,0.696687,1.770108,13.323011,0.227689,0.186545,0.186545,0.9424,0.9424,0
boom_hourly,BOOM,PT-OOD,ridge,19,L19,1,884.26,0,0.00008658,0.00338338,0.00219196,0.920089,0.934100,0.811864,0.168978,0.240250,0.225546,0.451092,1.035760,1.171483,0.230874,0.186545,0.186545,0.9455,0.9455,0
boom_hourly,BOOM,PT-OOD,ridge,20,L20,,1280.00,0,0.00000000,0.00000000,0.00000000,1.000000,1.000000,1.000000,0.000000,0.186545,0.212254,0.424507,0.932703,0.186545,0.237624,0.186545,0.186545,,,0
