model,dataset,display_name,comparable,n_depth_points,reference_layer,q9_tunnel_02,q9_tunnel_02_depth_index,q9_tunnel_02_normalized,q9_tunnel_05,q9_tunnel_05_depth_index,q9_tunnel_05_normalized,q9_tunnel_10,q9_tunnel_10_depth_index,q9_tunnel_10_normalized,q9_first_crossing_05,q1_tunnel_02,q1_tunnel_02_depth_index,q1_tunnel_02_normalized,q1_tunnel_05,q1_tunnel_05_depth_index,q1_tunnel_05_normalized,q1_tunnel_10,q1_tunnel_10_depth_index,q1_tunnel_10_normalized,q1_first_crossing_05,delta_depth_blocks_q1_minus_q9,abs_delta_depth_blocks,same_tunnel_05,delta_normalized_q1_minus_q9
timesfm3,coastal_ts,Coastal T-S,True,21,L20,L18,18,0.9,L5,5,0.25,Emb,0,0.0,Emb,L20,20,1.0,L18,18,0.9,Emb,0,0.0,Emb,13,13,False,0.65
timesfm3,boom_hourly,BOOM,True,21,L20,Emb,0,0.0,Emb,0,0.0,Emb,0,0.0,Emb,Emb,0,0.0,Emb,0,0.0,Emb,0,0.0,Emb,0,0,True,0.0
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,True,21,L20,L15,15,0.75,L1,1,0.05,L1,1,0.05,L1,L17,17,0.85,L14,14,0.7,L1,1,0.05,L1,13,13,False,0.6499999999999999
timesfm3,electricity_15min,Electricity 15min,True,21,L20,L11,11,0.55,L1,1,0.05,L1,1,0.05,L1,L1,1,0.05,L1,1,0.05,L1,1,0.05,L1,0,0,True,0.0
timesfm3,SZ_TAXI_15T,SZ Taxi,True,21,L20,L5,5,0.25,L1,1,0.05,Emb,0,0.0,L1,L5,5,0.25,L1,1,0.05,Emb,0,0.0,L1,0,0,True,0.0
timesfm3,monash_london_smart_meters,London Smart Meters,True,21,L20,L1,1,0.05,L1,1,0.05,Emb,0,0.0,L1,L15,15,0.75,L1,1,0.05,Emb,0,0.0,L1,0,0,True,0.0
timesfm3,m5,M5,True,21,L20,L1,1,0.05,Emb,0,0.0,Emb,0,0.0,Emb,Emb,0,0.0,Emb,0,0.0,Emb,0,0.0,Emb,0,0,True,0.0
timesfm3,wiki_daily_100k,Wiki Daily,True,21,L20,L2,2,0.1,Emb,0,0.0,Emb,0,0.0,Emb,L5,5,0.25,Emb,0,0.0,Emb,0,0.0,Emb,0,0,True,0.0
timesfm3,monash_traffic,Traffic,True,21,L20,L15,15,0.75,L12,12,0.6,L11,11,0.55,Emb,L15,15,0.75,L12,12,0.6,Emb,0,0.0,Emb,0,0,True,0.0
tirex,m4_hourly,M4,True,13,L12,L12,12,1.0,L12,12,1.0,L11,11,0.9166666666666666,L12,L12,12,1.0,L12,12,1.0,L11,11,0.9166666666666666,L12,0,0,True,0.0
tirex,monash_electricity_hourly,Electricity,True,13,L12,L11,11,0.9166666666666666,L11,11,0.9166666666666666,L10,10,0.8333333333333334,L11,L11,11,0.9166666666666666,L11,11,0.9166666666666666,L10,10,0.8333333333333334,L11,0,0,True,0.0
tirex,uber_tlc_hourly,Uber TLC,True,13,L12,L11,11,0.9166666666666666,L10,10,0.8333333333333334,L7,7,0.5833333333333334,L10,L11,11,0.9166666666666666,L10,10,0.8333333333333334,L7,7,0.5833333333333334,L10,0,0,True,0.0
tirex,wind_farms_hourly,Wind Farms,True,13,L12,L11,11,0.9166666666666666,L11,11,0.9166666666666666,L1,1,0.08333333333333333,L2,L11,11,0.9166666666666666,L11,11,0.9166666666666666,L8,8,0.6666666666666666,L2,0,0,True,0.0
tirex,sg_carpark,SG Carpark,True,13,L12,L12,12,1.0,L11,11,0.9166666666666666,L10,10,0.8333333333333334,L11,L12,12,1.0,L11,11,0.9166666666666666,L10,10,0.8333333333333334,L11,0,0,True,0.0
tirex,coastal_ts,Coastal T-S,True,13,L12,L4,4,0.3333333333333333,L1,1,0.08333333333333333,L1,1,0.08333333333333333,L1,L4,4,0.3333333333333333,L1,1,0.08333333333333333,L1,1,0.08333333333333333,L1,0,0,True,0.0
tirex,boom_hourly,BOOM,True,13,L12,L11,11,0.9166666666666666,L8,8,0.6666666666666666,L1,1,0.08333333333333333,L1,L11,11,0.9166666666666666,L9,9,0.75,L1,1,0.08333333333333333,L1,1,1,False,0.08333333333333337
tirex,LOOP_SEATTLE_5T,Loop Seattle,True,13,L12,L10,10,0.8333333333333334,L8,8,0.6666666666666666,L6,6,0.5,L8,L11,11,0.9166666666666666,L10,10,0.8333333333333334,L6,6,0.5,L10,2,2,False,0.16666666666666674
tirex,electricity_15min,Electricity 15min,True,13,L12,L10,10,0.8333333333333334,L10,10,0.8333333333333334,L9,9,0.75,L10,L10,10,0.8333333333333334,L10,10,0.8333333333333334,L9,9,0.75,L10,0,0,True,0.0
tirex,SZ_TAXI_15T,SZ Taxi,True,13,L12,L7,7,0.5833333333333334,Emb,0,0.0,Emb,0,0.0,Emb,L6,6,0.5,Emb,0,0.0,Emb,0,0.0,Emb,0,0,True,0.0
tirex,monash_london_smart_meters,London Smart Meters,True,13,L12,L11,11,0.9166666666666666,L8,8,0.6666666666666666,L1,1,0.08333333333333333,L8,L11,11,0.9166666666666666,L8,8,0.6666666666666666,L2,2,0.16666666666666666,L8,0,0,True,0.0
tirex,m5,M5,True,13,L12,L1,1,0.08333333333333333,Emb,0,0.0,Emb,0,0.0,Emb,L1,1,0.08333333333333333,Emb,0,0.0,Emb,0,0.0,Emb,0,0,True,0.0
tirex,wiki_daily_100k,Wiki Daily,True,13,L12,L8,8,0.6666666666666666,L1,1,0.08333333333333333,Emb,0,0.0,L1,L8,8,0.6666666666666666,L1,1,0.08333333333333333,Emb,0,0.0,L1,0,0,True,0.0
tirex,monash_traffic,Traffic,True,13,L12,L12,12,1.0,L12,12,1.0,L11,11,0.9166666666666666,L12,L12,12,1.0,L12,12,1.0,L11,11,0.9166666666666666,L12,0,0,True,0.0
