model,dataset,display_name,comparable,q9_n_at_grid_max,q9_n_at_grid_min,q9_fraction_at_grid_max,q9_median_selected_wd,q9_grid_max,q9_layers_at_grid_max,q9_floor_val_loss,q1_n_at_grid_max,q1_n_at_grid_min,q1_fraction_at_grid_max,q1_median_selected_wd,q1_grid_max,q1_layers_at_grid_max,q1_floor_val_loss
timesfm3,SZ_TAXI_15T,SZ Taxi,True,10,0,0.47619047619047616,65.0,90.0,L2|L3|L4|L5|L6|L7|L8|L9|L10|L20,0.29274280350177717,7,0,0.3333333333333333,65.0,90.0,L2|L3|L4|L5|L7|L8|L18,0.37561304418322367
timesfm3,monash_london_smart_meters,London Smart Meters,True,0,0,0.0,45.0,90.0,,0.3002947132380409,0,0,0.0,45.0,90.0,,0.3561500686412777
timesfm3,m5,M5,True,7,0,0.3333333333333333,65.0,90.0,L4|L5|L7|L8|L10|L14|L17,0.2818191304006649,0,0,0.0,45.0,90.0,,0.3329563513362624
timesfm3,wiki_daily_100k,Wiki Daily,True,4,0,0.19047619047619047,65.0,90.0,L5|L6|L7|L8,0.29510931682040675,2,0,0.09523809523809523,65.0,90.0,L4|L7,0.3490332642371077
timesfm3,monash_traffic,Traffic,True,0,0,0.0,30.0,90.0,,0.2297141970000194,0,0,0.0,30.0,90.0,,0.28795049996435185
tirex,m4_hourly,M4,True,0,0,0.0,3.0,90.0,,0.37308079755033247,0,0,0.0,3.0,90.0,,0.49597845220838793
tirex,monash_electricity_hourly,Electricity,True,0,0,0.0,10.0,90.0,,0.30417946322273665,0,1,0.0,10.0,90.0,,0.42223949810020794
tirex,uber_tlc_hourly,Uber TLC,True,0,0,0.0,10.0,90.0,,0.27267011599117563,0,0,0.0,10.0,90.0,,0.3401826491636288
tirex,wind_farms_hourly,Wind Farms,True,0,0,0.0,10.0,90.0,,0.2785844365490302,0,0,0.0,10.0,90.0,,0.3376895533661351
tirex,sg_carpark,SG Carpark,True,0,0,0.0,10.0,90.0,,0.3343340878685315,0,0,0.0,10.0,90.0,,0.4479201628621352
tirex,coastal_ts,Coastal T-S,True,1,0,0.07142857142857142,30.0,90.0,Emb,0.44793362356722355,0,0,0.0,30.0,90.0,,0.5835118259613713
tirex,boom_hourly,BOOM,True,0,0,0.0,10.0,90.0,,0.2569265937022233,0,0,0.0,10.0,90.0,,0.2989267163178594
tirex,LOOP_SEATTLE_5T,Loop Seattle,True,10,0,0.7142857142857143,90.0,90.0,Emb|L1|L2|L3|L4|L8|L10|L11|L12|L12+RMS,0.3131696619093418,5,0,0.35714285714285715,65.0,90.0,L4|L5|L7|L8|L12+RMS,0.3786400082229658
tirex,electricity_15min,Electricity 15min,True,0,0,0.0,10.0,90.0,,0.36022973595229724,0,1,0.0,6.5,90.0,,0.4714199711234515
tirex,SZ_TAXI_15T,SZ Taxi,True,1,0,0.07142857142857142,65.0,90.0,L2,0.2927978016818181,0,0,0.0,45.0,90.0,,0.37570674621906036
tirex,monash_london_smart_meters,London Smart Meters,True,0,0,0.0,30.0,90.0,,0.3002947202051869,0,0,0.0,10.0,90.0,,0.35615007765591145
tirex,m5,M5,True,0,0,0.0,45.0,90.0,,0.2818191335572086,0,0,0.0,30.0,90.0,,0.33295635231735027
tirex,wiki_daily_100k,Wiki Daily,True,0,0,0.0,30.0,90.0,,0.29510932000538775,0,0,0.0,30.0,90.0,,0.34903326975394977
tirex,monash_traffic,Traffic,True,0,0,0.0,10.0,90.0,,0.22971419119880399,0,0,0.0,10.0,90.0,,0.28795049726280547
