model,dataset,family,tolerance,compatibility_entrance,phase1_entrance,compatibility_lag,no_truncation
chronos2,electricity_15min,hard,tol_0.05,12,10,2,True
chronos2,electricity_15min,hard,tol_0.1,12,9,3,True
chronos2,electricity_15min,noa,tol_0.01,12,12,0,True
chronos2,electricity_15min,noa,tol_0.02,12,11,1,True
chronos2,electricity_15min,noa,tol_0.05,11,10,1,False
chronos2,electricity_15min,noa,tol_0.1,10,9,1,False
chronos2,electricity_15min,fl,tol_0.01,12,12,0,True
chronos2,electricity_15min,fl,tol_0.02,12,11,1,True
chronos2,electricity_15min,fl,tol_0.05,11,10,1,False
chronos2,electricity_15min,fl,tol_0.1,10,9,1,False
chronos2,electricity_15min,ra,tol_0.01,12,12,0,True
chronos2,electricity_15min,ra,tol_0.02,11,11,0,False
chronos2,electricity_15min,ra,tol_0.05,11,10,1,False
chronos2,electricity_15min,ra,tol_0.1,10,9,1,False
chronos2,electricity_15min,probe,tol_0.01,12,12,0,True
chronos2,electricity_15min,probe,tol_0.02,12,11,1,True
chronos2,electricity_15min,probe,tol_0.05,12,10,2,True
chronos2,electricity_15min,probe,tol_0.1,12,9,3,True
chronos2,m4_hourly,hard,tol_0.01,12,12,0,True
chronos2,m4_hourly,hard,tol_0.02,12,11,1,True
chronos2,m4_hourly,hard,tol_0.05,12,8,4,True
chronos2,m4_hourly,hard,tol_0.1,12,4,8,True
chronos2,m4_hourly,noa,tol_0.01,12,12,0,True
chronos2,m4_hourly,noa,tol_0.02,12,11,1,True
chronos2,m4_hourly,noa,tol_0.05,9,8,1,False
chronos2,m4_hourly,noa,tol_0.1,8,4,4,False
chronos2,m4_hourly,fl,tol_0.01,12,12,0,True
chronos2,m4_hourly,fl,tol_0.02,12,11,1,True
chronos2,m4_hourly,fl,tol_0.05,11,8,3,False
chronos2,m4_hourly,fl,tol_0.1,9,4,5,False
chronos2,m4_hourly,ra,tol_0.01,12,12,0,True
chronos2,m4_hourly,ra,tol_0.02,11,11,0,False
chronos2,m4_hourly,ra,tol_0.05,10,8,2,False
chronos2,m4_hourly,ra,tol_0.1,8,4,4,False
chronos2,m4_hourly,probe,tol_0.01,12,12,0,True
chronos2,m4_hourly,probe,tol_0.02,12,11,1,True
chronos2,m4_hourly,probe,tol_0.05,12,8,4,True
chronos2,m4_hourly,probe,tol_0.1,12,4,8,True
chronos2,m5,hard,tol_0.01,12,1,11,True
chronos2,m5,hard,tol_0.02,12,1,11,True
chronos2,m5,hard,tol_0.05,12,0,12,True
chronos2,m5,hard,tol_0.1,12,0,12,True
chronos2,m5,noa,tol_0.01,10,1,9,False
chronos2,m5,noa,tol_0.02,9,1,8,False
chronos2,m5,noa,tol_0.05,1,0,1,False
chronos2,m5,noa,tol_0.1,1,0,1,False
chronos2,m5,fl,tol_0.01,10,1,9,False
chronos2,m5,fl,tol_0.02,1,1,0,False
chronos2,m5,fl,tol_0.05,1,0,1,False
chronos2,m5,fl,tol_0.1,1,0,1,False
chronos2,m5,ra,tol_0.01,4,1,3,False
chronos2,m5,ra,tol_0.02,2,1,1,False
chronos2,m5,ra,tol_0.05,1,0,1,False
chronos2,m5,ra,tol_0.1,1,0,1,False
chronos2,m5,probe,tol_0.01,12,1,11,True
chronos2,m5,probe,tol_0.02,12,1,11,True
chronos2,m5,probe,tol_0.05,12,0,12,True
chronos2,m5,probe,tol_0.1,12,0,12,True
chronos2,monash_electricity_hourly,hard,tol_0.01,12,11,1,True
chronos2,monash_electricity_hourly,hard,tol_0.02,12,11,1,True
chronos2,monash_electricity_hourly,hard,tol_0.05,12,9,3,True
chronos2,monash_electricity_hourly,hard,tol_0.1,12,5,7,True
chronos2,monash_electricity_hourly,noa,tol_0.01,12,11,1,True
chronos2,monash_electricity_hourly,noa,tol_0.02,12,11,1,True
chronos2,monash_electricity_hourly,noa,tol_0.05,11,9,2,False
chronos2,monash_electricity_hourly,noa,tol_0.1,9,5,4,False
chronos2,monash_electricity_hourly,fl,tol_0.01,12,11,1,True
