model,dataset,family,tolerance,compatibility_entrance,phase1_entrance,compatibility_lag,no_truncation
timesfm3,monash_traffic,hard,tol_0.02,20,15,5,True
timesfm3,monash_traffic,hard,tol_0.05,20,12,8,True
timesfm3,monash_traffic,hard,tol_0.1,20,11,9,True
timesfm3,monash_traffic,noa,tol_0.01,20,15,5,True
timesfm3,monash_traffic,noa,tol_0.02,20,15,5,True
timesfm3,monash_traffic,noa,tol_0.05,20,12,8,True
timesfm3,monash_traffic,noa,tol_0.1,20,11,9,True
timesfm3,monash_traffic,ra,tol_0.01,20,15,5,True
timesfm3,monash_traffic,ra,tol_0.02,20,15,5,True
timesfm3,monash_traffic,ra,tol_0.05,20,12,8,True
timesfm3,monash_traffic,ra,tol_0.1,20,11,9,True
timesfm3,monash_traffic,probe,tol_0.01,20,15,5,True
timesfm3,monash_traffic,probe,tol_0.02,20,15,5,True
timesfm3,monash_traffic,probe,tol_0.05,20,12,8,True
timesfm3,monash_traffic,probe,tol_0.1,20,11,9,True
timesfm3,sg_carpark,hard,tol_0.01,20,13,7,True
timesfm3,sg_carpark,hard,tol_0.02,20,13,7,True
timesfm3,sg_carpark,hard,tol_0.05,20,12,8,True
timesfm3,sg_carpark,hard,tol_0.1,20,3,17,True
timesfm3,sg_carpark,noa,tol_0.01,20,13,7,True
timesfm3,sg_carpark,noa,tol_0.02,20,13,7,True
timesfm3,sg_carpark,noa,tol_0.05,20,12,8,True
timesfm3,sg_carpark,noa,tol_0.1,19,3,16,False
timesfm3,sg_carpark,ra,tol_0.01,20,13,7,True
timesfm3,sg_carpark,ra,tol_0.02,20,13,7,True
timesfm3,sg_carpark,ra,tol_0.05,20,12,8,True
timesfm3,sg_carpark,ra,tol_0.1,20,3,17,True
timesfm3,sg_carpark,probe,tol_0.01,20,13,7,True
timesfm3,sg_carpark,probe,tol_0.02,20,13,7,True
timesfm3,sg_carpark,probe,tol_0.05,20,12,8,True
timesfm3,sg_carpark,probe,tol_0.1,20,3,17,True
timesfm3,uber_tlc_hourly,hard,tol_0.01,20,18,2,True
timesfm3,uber_tlc_hourly,hard,tol_0.02,20,13,7,True
timesfm3,uber_tlc_hourly,hard,tol_0.05,20,1,19,True
timesfm3,uber_tlc_hourly,hard,tol_0.1,20,1,19,True
timesfm3,uber_tlc_hourly,noa,tol_0.01,20,18,2,True
timesfm3,uber_tlc_hourly,noa,tol_0.02,20,13,7,True
timesfm3,uber_tlc_hourly,noa,tol_0.05,20,1,19,True
timesfm3,uber_tlc_hourly,noa,tol_0.1,19,1,18,False
timesfm3,uber_tlc_hourly,ra,tol_0.01,20,18,2,True
timesfm3,uber_tlc_hourly,ra,tol_0.02,20,13,7,True
timesfm3,uber_tlc_hourly,ra,tol_0.05,20,1,19,True
timesfm3,uber_tlc_hourly,ra,tol_0.1,20,1,19,True
timesfm3,uber_tlc_hourly,probe,tol_0.01,20,18,2,True
timesfm3,uber_tlc_hourly,probe,tol_0.02,20,13,7,True
timesfm3,uber_tlc_hourly,probe,tol_0.05,20,1,19,True
timesfm3,uber_tlc_hourly,probe,tol_0.1,20,1,19,True
timesfm3,wiki_daily_100k,hard,tol_0.01,20,6,14,True
timesfm3,wiki_daily_100k,hard,tol_0.02,20,2,18,True
timesfm3,wiki_daily_100k,hard,tol_0.05,20,0,20,True
timesfm3,wiki_daily_100k,hard,tol_0.1,20,0,20,True
timesfm3,wiki_daily_100k,noa,tol_0.01,20,6,14,True
timesfm3,wiki_daily_100k,noa,tol_0.02,19,2,17,False
timesfm3,wiki_daily_100k,noa,tol_0.05,18,0,18,False
timesfm3,wiki_daily_100k,noa,tol_0.1,17,0,17,False
timesfm3,wiki_daily_100k,ra,tol_0.01,20,6,14,True
timesfm3,wiki_daily_100k,ra,tol_0.02,20,2,18,True
timesfm3,wiki_daily_100k,ra,tol_0.05,20,0,20,True
timesfm3,wiki_daily_100k,ra,tol_0.1,20,0,20,True
timesfm3,wiki_daily_100k,probe,tol_0.01,20,6,14,True
timesfm3,wiki_daily_100k,probe,tol_0.02,20,2,18,True
timesfm3,wiki_daily_100k,probe,tol_0.05,20,0,20,True
timesfm3,wiki_daily_100k,probe,tol_0.1,0,0,0,False
timesfm3,wind_farms_hourly,hard,tol_0.01,20,16,4,True
timesfm3,wind_farms_hourly,hard,tol_0.02,20,15,5,True
timesfm3,wind_farms_hourly,hard,tol_0.05,20,0,20,True
timesfm3,wind_farms_hourly,hard,tol_0.1,20,0,20,True
timesfm3,wind_farms_hourly,noa,tol_0.01,20,16,4,True
timesfm3,wind_farms_hourly,noa,tol_0.02,20,15,5,True
timesfm3,wind_farms_hourly,noa,tol_0.05,20,0,20,True
timesfm3,wind_farms_hourly,noa,tol_0.1,20,0,20,True
timesfm3,wind_farms_hourly,ra,tol_0.01,20,16,4,True
timesfm3,wind_farms_hourly,ra,tol_0.02,20,15,5,True
timesfm3,wind_farms_hourly,ra,tol_0.05,20,0,20,True
timesfm3,wind_farms_hourly,ra,tol_0.1,20,0,20,True
timesfm3,wind_farms_hourly,probe,tol_0.01,20,16,4,True
timesfm3,wind_farms_hourly,probe,tol_0.02,20,15,5,True
timesfm3,wind_farms_hourly,probe,tol_0.05,20,0,20,True
timesfm3,wind_farms_hourly,probe,tol_0.1,20,0,20,True
tirex,LOOP_SEATTLE_5T,hard,tol_0.01,12,11,1,True
tirex,LOOP_SEATTLE_5T,hard,tol_0.02,12,10,2,True
tirex,LOOP_SEATTLE_5T,hard,tol_0.05,12,9,3,True
tirex,LOOP_SEATTLE_5T,hard,tol_0.1,12,6,6,True
tirex,LOOP_SEATTLE_5T,noa,tol_0.01,11,11,0,False
tirex,LOOP_SEATTLE_5T,noa,tol_0.02,10,10,0,False
tirex,LOOP_SEATTLE_5T,noa,tol_0.05,7,9,-2,False
tirex,LOOP_SEATTLE_5T,noa,tol_0.1,6,6,0,False
tirex,LOOP_SEATTLE_5T,fl,tol_0.01,11,11,0,False
tirex,LOOP_SEATTLE_5T,fl,tol_0.02,11,10,1,False
tirex,LOOP_SEATTLE_5T,fl,tol_0.05,9,9,0,False
tirex,LOOP_SEATTLE_5T,fl,tol_0.1,6,6,0,False
tirex,LOOP_SEATTLE_5T,ra,tol_0.01,11,11,0,False
tirex,LOOP_SEATTLE_5T,ra,tol_0.02,10,10,0,False
tirex,LOOP_SEATTLE_5T,ra,tol_0.05,8,9,-1,False
tirex,LOOP_SEATTLE_5T,ra,tol_0.1,7,6,1,False
tirex,LOOP_SEATTLE_5T,probe,tol_0.01,12,11,1,True
tirex,LOOP_SEATTLE_5T,probe,tol_0.02,12,10,2,True
tirex,LOOP_SEATTLE_5T,probe,tol_0.05,12,9,3,True
tirex,LOOP_SEATTLE_5T,probe,tol_0.1,12,6,6,True
tirex,SZ_TAXI_15T,hard,tol_0.01,12,9,3,True
tirex,SZ_TAXI_15T,hard,tol_0.02,12,7,5,True
tirex,SZ_TAXI_15T,hard,tol_0.05,12,0,12,True
tirex,SZ_TAXI_15T,hard,tol_0.1,12,0,12,True
tirex,SZ_TAXI_15T,noa,tol_0.01,9,9,0,False
tirex,SZ_TAXI_15T,noa,tol_0.02,9,7,2,False
tirex,SZ_TAXI_15T,noa,tol_0.05,1,0,1,False
tirex,SZ_TAXI_15T,noa,tol_0.1,0,0,0,False
tirex,SZ_TAXI_15T,fl,tol_0.01,10,9,1,False
tirex,SZ_TAXI_15T,fl,tol_0.02,9,7,2,False
tirex,SZ_TAXI_15T,fl,tol_0.05,3,0,3,False
tirex,SZ_TAXI_15T,fl,tol_0.1,0,0,0,False
tirex,SZ_TAXI_15T,ra,tol_0.01,8,9,-1,False
tirex,SZ_TAXI_15T,ra,tol_0.02,4,7,-3,False
tirex,SZ_TAXI_15T,ra,tol_0.05,1,0,1,False
tirex,SZ_TAXI_15T,ra,tol_0.1,0,0,0,False
tirex,SZ_TAXI_15T,probe,tol_0.01,12,9,3,True
tirex,SZ_TAXI_15T,probe,tol_0.02,12,7,5,True
tirex,SZ_TAXI_15T,probe,tol_0.05,7,0,7,False
tirex,SZ_TAXI_15T,probe,tol_0.1,0,0,0,False
tirex,boom_hourly,hard,tol_0.01,12,11,1,True
tirex,boom_hourly,hard,tol_0.02,12,11,1,True
tirex,boom_hourly,hard,tol_0.05,12,8,4,True
tirex,boom_hourly,hard,tol_0.1,12,1,11,True
tirex,boom_hourly,noa,tol_0.01,12,11,1,True
tirex,boom_hourly,noa,tol_0.02,12,11,1,True
tirex,boom_hourly,noa,tol_0.05,12,8,4,True
tirex,boom_hourly,noa,tol_0.1,11,1,10,False
tirex,boom_hourly,fl,tol_0.01,12,11,1,True
tirex,boom_hourly,fl,tol_0.02,12,11,1,True
tirex,boom_hourly,fl,tol_0.05,12,8,4,True
tirex,boom_hourly,fl,tol_0.1,10,1,9,False
tirex,boom_hourly,ra,tol_0.01,12,11,1,True
tirex,boom_hourly,ra,tol_0.02,12,11,1,True
tirex,boom_hourly,ra,tol_0.05,12,8,4,True
tirex,boom_hourly,ra,tol_0.1,12,1,11,True
tirex,boom_hourly,probe,tol_0.01,12,11,1,True
tirex,boom_hourly,probe,tol_0.02,12,11,1,True
tirex,boom_hourly,probe,tol_0.05,12,8,4,True
tirex,boom_hourly,probe,tol_0.1,12,1,11,True
tirex,coastal_ts,hard,tol_0.01,12,4,8,True
tirex,coastal_ts,hard,tol_0.02,12,4,8,True
tirex,coastal_ts,hard,tol_0.05,12,1,11,True
tirex,coastal_ts,hard,tol_0.1,12,1,11,True
tirex,coastal_ts,noa,tol_0.01,4,4,0,False
tirex,coastal_ts,noa,tol_0.02,3,4,-1,False
tirex,coastal_ts,noa,tol_0.05,1,1,0,False
tirex,coastal_ts,noa,tol_0.1,1,1,0,False
tirex,coastal_ts,fl,tol_0.01,8,4,4,False
tirex,coastal_ts,fl,tol_0.02,4,4,0,False
tirex,coastal_ts,fl,tol_0.05,1,1,0,False
tirex,coastal_ts,fl,tol_0.1,1,1,0,False
tirex,coastal_ts,ra,tol_0.01,7,4,3,False
tirex,coastal_ts,ra,tol_0.02,4,4,0,False
tirex,coastal_ts,ra,tol_0.05,1,1,0,False
tirex,coastal_ts,ra,tol_0.1,1,1,0,False
tirex,coastal_ts,probe,tol_0.01,8,4,4,False
tirex,coastal_ts,probe,tol_0.02,4,4,0,False
tirex,coastal_ts,probe,tol_0.05,1,1,0,False
tirex,coastal_ts,probe,tol_0.1,1,1,0,False
tirex,electricity_15min,hard,tol_0.01,12,11,1,True
tirex,electricity_15min,hard,tol_0.02,12,10,2,True
tirex,electricity_15min,hard,tol_0.05,12,10,2,True
tirex,electricity_15min,hard,tol_0.1,12,9,3,True
tirex,electricity_15min,noa,tol_0.01,12,11,1,True
tirex,electricity_15min,noa,tol_0.02,12,10,2,True
tirex,electricity_15min,noa,tol_0.05,11,10,1,False
tirex,electricity_15min,noa,tol_0.1,10,9,1,False
tirex,electricity_15min,fl,tol_0.01,12,11,1,True
tirex,electricity_15min,fl,tol_0.02,12,10,2,True
tirex,electricity_15min,fl,tol_0.05,11,10,1,False
tirex,electricity_15min,fl,tol_0.1,11,9,2,False
tirex,electricity_15min,ra,tol_0.01,12,11,1,True
tirex,electricity_15min,ra,tol_0.02,12,10,2,True
tirex,electricity_15min,ra,tol_0.05,11,10,1,False
tirex,electricity_15min,ra,tol_0.1,10,9,1,False
tirex,electricity_15min,probe,tol_0.01,12,11,1,True
tirex,electricity_15min,probe,tol_0.02,12,10,2,True
tirex,electricity_15min,probe,tol_0.05,12,10,2,True
tirex,electricity_15min,probe,tol_0.1,12,9,3,True
tirex,m4_hourly,hard,tol_0.01,12,12,0,True
tirex,m4_hourly,hard,tol_0.02,12,12,0,True
tirex,m4_hourly,hard,tol_0.05,12,12,0,True
tirex,m4_hourly,hard,tol_0.1,12,11,1,True
tirex,m4_hourly,noa,tol_0.01,12,12,0,True
tirex,m4_hourly,noa,tol_0.02,12,12,0,True
tirex,m4_hourly,noa,tol_0.05,12,12,0,True
tirex,m4_hourly,noa,tol_0.1,11,11,0,False
tirex,m4_hourly,fl,tol_0.01,12,12,0,True
tirex,m4_hourly,fl,tol_0.02,12,12,0,True
tirex,m4_hourly,fl,tol_0.05,12,12,0,True
tirex,m4_hourly,fl,tol_0.1,11,11,0,False
tirex,m4_hourly,ra,tol_0.01,12,12,0,True
tirex,m4_hourly,ra,tol_0.02,12,12,0,True
tirex,m4_hourly,ra,tol_0.05,12,12,0,True
tirex,m4_hourly,ra,tol_0.1,11,11,0,False
tirex,m4_hourly,probe,tol_0.01,12,12,0,True
tirex,m4_hourly,probe,tol_0.02,12,12,0,True
tirex,m4_hourly,probe,tol_0.05,12,12,0,True
tirex,m4_hourly,probe,tol_0.1,12,11,1,True
tirex,m5,hard,tol_0.01,12,1,11,True
tirex,m5,hard,tol_0.02,12,1,11,True
tirex,m5,hard,tol_0.05,12,0,12,True
tirex,m5,hard,tol_0.1,12,0,12,True
tirex,m5,noa,tol_0.01,12,1,11,True
tirex,m5,noa,tol_0.02,11,1,10,False
tirex,m5,noa,tol_0.05,8,0,8,False
tirex,m5,noa,tol_0.1,0,0,0,False
tirex,m5,fl,tol_0.01,11,1,10,False
tirex,m5,fl,tol_0.02,10,1,9,False
tirex,m5,fl,tol_0.05,1,0,1,False
tirex,m5,fl,tol_0.1,0,0,0,False
tirex,m5,ra,tol_0.01,12,1,11,True
tirex,m5,ra,tol_0.02,11,1,10,False
tirex,m5,ra,tol_0.05,2,0,2,False
tirex,m5,ra,tol_0.1,1,0,1,False
tirex,m5,probe,tol_0.01,12,1,11,True
tirex,m5,probe,tol_0.02,12,1,11,True
tirex,m5,probe,tol_0.05,4,0,4,False
tirex,m5,probe,tol_0.1,0,0,0,False
tirex,monash_electricity_hourly,hard,tol_0.01,12,11,1,True
tirex,monash_electricity_hourly,hard,tol_0.02,12,11,1,True
tirex,monash_electricity_hourly,hard,tol_0.05,12,11,1,True
tirex,monash_electricity_hourly,hard,tol_0.1,12,10,2,True
tirex,monash_electricity_hourly,noa,tol_0.01,12,11,1,True
tirex,monash_electricity_hourly,noa,tol_0.02,12,11,1,True
tirex,monash_electricity_hourly,noa,tol_0.05,12,11,1,True
tirex,monash_electricity_hourly,noa,tol_0.1,11,10,1,False
tirex,monash_electricity_hourly,fl,tol_0.01,12,11,1,True
tirex,monash_electricity_hourly,fl,tol_0.02,12,11,1,True
tirex,monash_electricity_hourly,fl,tol_0.05,12,11,1,True
tirex,monash_electricity_hourly,fl,tol_0.1,12,10,2,True
tirex,monash_electricity_hourly,ra,tol_0.01,12,11,1,True
tirex,monash_electricity_hourly,ra,tol_0.02,12,11,1,True
tirex,monash_electricity_hourly,ra,tol_0.05,12,11,1,True
tirex,monash_electricity_hourly,ra,tol_0.1,11,10,1,False
tirex,monash_electricity_hourly,probe,tol_0.01,12,11,1,True
tirex,monash_electricity_hourly,probe,tol_0.02,12,11,1,True
tirex,monash_electricity_hourly,probe,tol_0.05,12,11,1,True
tirex,monash_electricity_hourly,probe,tol_0.1,12,10,2,True
tirex,monash_london_smart_meters,hard,tol_0.01,12,11,1,True
tirex,monash_london_smart_meters,hard,tol_0.02,12,11,1,True
tirex,monash_london_smart_meters,hard,tol_0.05,12,8,4,True
tirex,monash_london_smart_meters,hard,tol_0.1,12,1,11,True
tirex,monash_london_smart_meters,noa,tol_0.01,12,11,1,True
tirex,monash_london_smart_meters,noa,tol_0.02,11,11,0,False
tirex,monash_london_smart_meters,noa,tol_0.05,9,8,1,False
tirex,monash_london_smart_meters,noa,tol_0.1,2,1,1,False
tirex,monash_london_smart_meters,fl,tol_0.01,12,11,1,True
tirex,monash_london_smart_meters,fl,tol_0.02,12,11,1,True
tirex,monash_london_smart_meters,fl,tol_0.05,10,8,2,False
tirex,monash_london_smart_meters,fl,tol_0.1,3,1,2,False
tirex,monash_london_smart_meters,ra,tol_0.01,12,11,1,True
tirex,monash_london_smart_meters,ra,tol_0.02,11,11,0,False
tirex,monash_london_smart_meters,ra,tol_0.05,9,8,1,False
tirex,monash_london_smart_meters,ra,tol_0.1,2,1,1,False
tirex,monash_london_smart_meters,probe,tol_0.01,12,11,1,True
tirex,monash_london_smart_meters,probe,tol_0.02,12,11,1,True
tirex,monash_london_smart_meters,probe,tol_0.05,12,8,4,True
tirex,monash_london_smart_meters,probe,tol_0.1,9,1,8,False
tirex,monash_traffic,hard,tol_0.01,12,12,0,True
tirex,monash_traffic,hard,tol_0.02,12,12,0,True
tirex,monash_traffic,hard,tol_0.05,12,12,0,True
tirex,monash_traffic,hard,tol_0.1,12,11,1,True
tirex,monash_traffic,noa,tol_0.01,12,12,0,True
tirex,monash_traffic,noa,tol_0.02,12,12,0,True
tirex,monash_traffic,noa,tol_0.05,12,12,0,True
tirex,monash_traffic,noa,tol_0.1,11,11,0,False
tirex,monash_traffic,fl,tol_0.01,12,12,0,True
tirex,monash_traffic,fl,tol_0.02,12,12,0,True
tirex,monash_traffic,fl,tol_0.05,12,12,0,True
tirex,monash_traffic,fl,tol_0.1,11,11,0,False
tirex,monash_traffic,ra,tol_0.01,12,12,0,True
tirex,monash_traffic,ra,tol_0.02,12,12,0,True
tirex,monash_traffic,ra,tol_0.05,12,12,0,True
tirex,monash_traffic,ra,tol_0.1,11,11,0,False
tirex,monash_traffic,probe,tol_0.01,12,12,0,True
tirex,monash_traffic,probe,tol_0.02,12,12,0,True
tirex,monash_traffic,probe,tol_0.05,12,12,0,True
tirex,monash_traffic,probe,tol_0.1,12,11,1,True
tirex,sg_carpark,hard,tol_0.01,12,12,0,True
tirex,sg_carpark,hard,tol_0.02,12,12,0,True
tirex,sg_carpark,hard,tol_0.05,12,11,1,True
tirex,sg_carpark,hard,tol_0.1,12,10,2,True
tirex,sg_carpark,noa,tol_0.01,12,12,0,True
tirex,sg_carpark,noa,tol_0.02,11,12,-1,False
tirex,sg_carpark,noa,tol_0.05,10,11,-1,False
tirex,sg_carpark,noa,tol_0.1,9,10,-1,False
tirex,sg_carpark,fl,tol_0.01,11,12,-1,False
tirex,sg_carpark,fl,tol_0.02,11,12,-1,False
tirex,sg_carpark,fl,tol_0.05,10,11,-1,False
tirex,sg_carpark,fl,tol_0.1,10,10,0,False
tirex,sg_carpark,ra,tol_0.01,12,12,0,True
tirex,sg_carpark,ra,tol_0.02,12,12,0,True
tirex,sg_carpark,ra,tol_0.05,11,11,0,False
tirex,sg_carpark,ra,tol_0.1,10,10,0,False
tirex,sg_carpark,probe,tol_0.01,12,12,0,True
tirex,sg_carpark,probe,tol_0.02,12,12,0,True
tirex,sg_carpark,probe,tol_0.05,12,11,1,True
tirex,sg_carpark,probe,tol_0.1,12,10,2,True
tirex,uber_tlc_hourly,hard,tol_0.01,12,11,1,True
tirex,uber_tlc_hourly,hard,tol_0.02,12,11,1,True
tirex,uber_tlc_hourly,hard,tol_0.05,12,10,2,True
tirex,uber_tlc_hourly,hard,tol_0.1,12,7,5,True
tirex,uber_tlc_hourly,noa,tol_0.01,12,11,1,True
tirex,uber_tlc_hourly,noa,tol_0.02,11,11,0,False
tirex,uber_tlc_hourly,noa,tol_0.05,9,10,-1,False
tirex,uber_tlc_hourly,noa,tol_0.1,5,7,-2,False
tirex,uber_tlc_hourly,fl,tol_0.01,12,11,1,True
tirex,uber_tlc_hourly,fl,tol_0.02,11,11,0,False
tirex,uber_tlc_hourly,fl,tol_0.05,10,10,0,False
tirex,uber_tlc_hourly,fl,tol_0.1,7,7,0,False
tirex,uber_tlc_hourly,ra,tol_0.01,12,11,1,True
tirex,uber_tlc_hourly,ra,tol_0.02,11,11,0,False
tirex,uber_tlc_hourly,ra,tol_0.05,10,10,0,False
tirex,uber_tlc_hourly,ra,tol_0.1,6,7,-1,False
tirex,uber_tlc_hourly,probe,tol_0.01,12,11,1,True
tirex,uber_tlc_hourly,probe,tol_0.02,12,11,1,True
tirex,uber_tlc_hourly,probe,tol_0.05,12,10,2,True
tirex,uber_tlc_hourly,probe,tol_0.1,10,7,3,False
tirex,wiki_daily_100k,hard,tol_0.01,12,8,4,True
tirex,wiki_daily_100k,hard,tol_0.02,12,8,4,True
tirex,wiki_daily_100k,hard,tol_0.05,12,1,11,True
tirex,wiki_daily_100k,hard,tol_0.1,12,0,12,True
tirex,wiki_daily_100k,noa,tol_0.01,8,8,0,False
tirex,wiki_daily_100k,noa,tol_0.02,5,8,-3,False
tirex,wiki_daily_100k,noa,tol_0.05,1,1,0,False
tirex,wiki_daily_100k,noa,tol_0.1,0,0,0,False
tirex,wiki_daily_100k,fl,tol_0.01,11,8,3,False
tirex,wiki_daily_100k,fl,tol_0.02,8,8,0,False
tirex,wiki_daily_100k,fl,tol_0.05,1,1,0,False
tirex,wiki_daily_100k,fl,tol_0.1,1,0,1,False
tirex,wiki_daily_100k,ra,tol_0.01,10,8,2,False
tirex,wiki_daily_100k,ra,tol_0.02,5,8,-3,False
tirex,wiki_daily_100k,ra,tol_0.05,1,1,0,False
tirex,wiki_daily_100k,ra,tol_0.1,1,0,1,False
tirex,wiki_daily_100k,probe,tol_0.01,12,8,4,True
tirex,wiki_daily_100k,probe,tol_0.02,12,8,4,True
tirex,wiki_daily_100k,probe,tol_0.05,8,1,7,False
tirex,wiki_daily_100k,probe,tol_0.1,1,0,1,False
tirex,wind_farms_hourly,hard,tol_0.01,12,11,1,True
tirex,wind_farms_hourly,hard,tol_0.02,12,11,1,True
tirex,wind_farms_hourly,hard,tol_0.05,12,11,1,True
tirex,wind_farms_hourly,hard,tol_0.1,12,1,11,True
tirex,wind_farms_hourly,noa,tol_0.01,12,11,1,True
tirex,wind_farms_hourly,noa,tol_0.02,12,11,1,True
tirex,wind_farms_hourly,noa,tol_0.05,12,11,1,True
tirex,wind_farms_hourly,noa,tol_0.1,11,1,10,False
tirex,wind_farms_hourly,fl,tol_0.01,12,11,1,True
tirex,wind_farms_hourly,fl,tol_0.02,12,11,1,True
tirex,wind_farms_hourly,fl,tol_0.05,12,11,1,True
tirex,wind_farms_hourly,fl,tol_0.1,11,1,10,False
tirex,wind_farms_hourly,ra,tol_0.01,12,11,1,True
tirex,wind_farms_hourly,ra,tol_0.02,12,11,1,True
tirex,wind_farms_hourly,ra,tol_0.05,12,11,1,True
tirex,wind_farms_hourly,ra,tol_0.1,12,1,11,True
tirex,wind_farms_hourly,probe,tol_0.01,12,11,1,True
tirex,wind_farms_hourly,probe,tol_0.02,12,11,1,True
tirex,wind_farms_hourly,probe,tol_0.05,12,11,1,True
tirex,wind_farms_hourly,probe,tol_0.1,12,1,11,True
