model,dataset,arm,budget,truncated,depth_index,label,blocks_removed,fraction_blocks_removed,val_mase_ratio,test_mase_ratio,test_mase_ci_lo,test_mase_ci_hi,within_budget_test,low_skill,speedup_e2e_b1,speedup_e2e_b256,speedup_device_b1,active_params,params_removed_fraction
chronos2,LOOP_SEATTLE_5T,hard,0.02,False,12,L12,0,0.0,1.0,1.0,1.0,1.0,True,False,1.0,1.0,1.0,,0.0
chronos2,LOOP_SEATTLE_5T,hard,0.05,False,12,L12,0,0.0,1.0,1.0,1.0,1.0,True,False,1.0,1.0,1.0,,0.0
chronos2,LOOP_SEATTLE_5T,hard,0.1,False,12,L12,0,0.0,1.0,1.0,1.0,1.0,True,False,1.0,1.0,1.0,,0.0
chronos2,LOOP_SEATTLE_5T,hard,0.2,True,9,L9,3,0.25,1.1352718720386183,0.9670341217325624,0.9189879584262195,1.0186929391801596,True,False,1.2909113819444162,1.2932067946479453,1.3037397536706057,91159200,0.23701889584985525
chronos2,LOOP_SEATTLE_5T,noa,0.02,True,9,L9,3,0.25,1.0095246164488139,0.9565713508470491,0.9256413640545426,0.9895381613136202,True,False,1.2837562507005005,1.28584454927648,1.2981720968854011,91749792,0.2320757794528021
chronos2,LOOP_SEATTLE_5T,noa,0.05,True,8,L8,4,0.3333333333333333,1.0204261838907207,0.9310214787020116,0.8824007862234227,0.9805369449067665,True,False,1.4214069507549765,1.4267112880306814,1.438478862685893,82310304,0.31108207806942056
chronos2,LOOP_SEATTLE_5T,noa,0.1,True,7,L7,5,0.4166666666666667,1.0667906159117138,0.9549901712979421,0.8962287544168099,1.0108763362338007,True,False,1.5727225564742562,1.599869712860413,1.604475393490942,72870816,0.390088376686039
chronos2,LOOP_SEATTLE_5T,noa,0.2,True,3,L3,9,0.75,1.1497223838446198,0.883603918744769,0.8258912883724462,0.9450183417565882,True,False,2.9060737457147736,3.103199858675667,3.1115721817298603,35112864,0.7061135711525126
chronos2,LOOP_SEATTLE_5T,fl,0.02,True,11,L11,1,0.08333333333333333,1.015870395956017,0.7776594187695915,0.7361392412548079,0.8219274188666768,True,False,1.0811576727377534,1.0756825215310732,1.0818004500728113,110628768,0.07406318221956532
chronos2,LOOP_SEATTLE_5T,fl,0.05,True,9,L9,3,0.25,1.0349957134610768,0.7887583887478536,0.7461198721317901,0.8350154678732908,True,False,1.2837562507005005,1.28584454927648,1.2981720968854011,91749792,0.2320757794528021
chronos2,LOOP_SEATTLE_5T,fl,0.1,True,8,L8,4,0.3333333333333333,1.0925221296493512,0.7578183845522202,0.7171172642167489,0.8020861525131534,True,False,1.4214069507549765,1.4267112880306814,1.438478862685893,82310304,0.31108207806942056
chronos2,LOOP_SEATTLE_5T,fl,0.2,True,6,L6,6,0.5,1.1795089843236304,0.8122410143464922,0.762495227119365,0.8675562759414044,True,False,1.7849770182898328,1.8208712638862465,1.8361216926310084,63431328,0.46909467530265736
chronos2,LOOP_SEATTLE_5T,ra,0.02,True,9,L9,3,0.25,1.0146650069167042,0.9439543863854765,0.9174071695258262,0.9721641177063192,True,False,1.2837562507005005,1.28584454927648,1.2981720968854011,91749792,0.2320757794528021
chronos2,LOOP_SEATTLE_5T,ra,0.05,True,8,L8,4,0.3333333333333333,1.0248113009742585,0.9190739752308011,0.8749026627120151,0.962861267226116,True,False,1.4214069507549765,1.4267112880306814,1.438478862685893,82310304,0.31108207806942056
chronos2,LOOP_SEATTLE_5T,ra,0.1,True,8,L8,4,0.3333333333333333,1.0248113009742585,0.9190739752308011,0.8749026627120151,0.962861267226116,True,False,1.4214069507549765,1.4267112880306814,1.438478862685893,82310304,0.31108207806942056
chronos2,LOOP_SEATTLE_5T,ra,0.2,True,4,L4,8,0.6666666666666666,1.1901711329689966,0.9435352722089086,0.890777061315897,1.0016092089368485,True,False,2.427405321160691,2.5137438539401016,2.5573634789044886,44552352,0.6271072725358943
chronos2,LOOP_SEATTLE_5T,probe,0.02,False,12,L12,0,0.0,1.0,1.0,1.0,1.0,True,False,1.0,1.0,1.0,,0.0
chronos2,LOOP_SEATTLE_5T,probe,0.05,False,12,L12,0,0.0,1.0,1.0,1.0,1.0,True,False,1.0,1.0,1.0,,0.0
chronos2,LOOP_SEATTLE_5T,probe,0.1,True,11,L11,1,0.08333333333333333,1.0981889920330439,0.8463459823245642,0.8021528033756776,0.8929750655219426,True,False,1.093484265617934,1.0920462140108989,1.0961091716966818,106642512,0.10742720915601434
chronos2,LOOP_SEATTLE_5T,probe,0.2,True,8,L8,4,0.3333333333333333,1.1669923670320235,0.771382488848478,0.7232813338764745,0.8225931087287777,True,False,1.4377524771581145,1.453611006402406,1.4613419969079908,78324048,0.3444461050058696
