model,dataset,tolerance,is_headline,label,depth_index,relative_depth,blocks_removed,rung,mase_ratio,mase_ci_lo,mase_ci_hi,wql_ratio,wql_ci_lo,wql_ci_hi,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,compatibility_gap_exists,low_skill
chronos2,LOOP_SEATTLE_5T,tol_0.01,False,L12,12,1.0,0,hard,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.01,False,L12,12,1.0,0,noa,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.01,False,L12,12,1.0,0,fl,0.7833827802020178,0.741478814590496,0.8238599534748158,0.7347393699367029,0.6868841281634686,0.783369630241051,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.01,False,L12,12,1.0,0,ra,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.01,False,L12,12,1.0,0,probe,0.8665533230524557,0.8388959787462754,0.8948745221512526,0.9446863760654782,0.913438788343297,0.9757470688257575,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.02,False,L12,12,1.0,0,hard,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.02,False,L12,12,1.0,0,noa,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.02,False,L12,12,1.0,0,fl,0.7833827802020178,0.741478814590496,0.8238599534748158,0.7347393699367029,0.6868841281634686,0.783369630241051,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.02,False,L12,12,1.0,0,ra,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.02,False,L12,12,1.0,0,probe,0.8665533230524557,0.8388959787462754,0.8948745221512526,0.9446863760654782,0.913438788343297,0.9757470688257575,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.05,True,L9,9,0.75,3,hard,0.9670341217325624,0.9189879584262195,1.0186929391801596,1.0250629732624499,0.9623898009160601,1.0906408004341803,True,False,,,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.05,True,L9,9,0.75,3,noa,0.9565713508470491,0.9256413640545426,0.9895381613136202,0.9431944235701861,0.9078703637222879,0.9801945513708865,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.05,True,L9,9,0.75,3,fl,0.7887583887478536,0.7461198721317901,0.8350154678732908,0.7480834559283118,0.7000879087290178,0.7998130120359769,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.05,True,L9,9,0.75,3,ra,0.9439543863854765,0.9174071695258262,0.9721641177063192,0.9367343438689194,0.9079753520270271,0.9679306586043185,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.05,True,L9,9,0.75,3,probe,0.7961871775656317,0.7484243170134243,0.8455167274890651,0.8591390562164453,0.7998940147822234,0.9195007175418598,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.1,False,L8,8,0.6666666666666666,4,hard,0.9782323601997898,0.9188721201410741,1.0425407632795924,1.0387472011029282,0.9591605004086604,1.1208733337559886,True,False,,,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.1,False,L8,8,0.6666666666666666,4,noa,0.9310214787020116,0.8824007862234227,0.9805369449067665,0.9034265526292242,0.8417777099429816,0.9624371835378343,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.1,False,L8,8,0.6666666666666666,4,fl,0.7578183845522202,0.7171172642167489,0.8020861525131534,0.7240027795108966,0.6739793878616139,0.7774785932089678,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.1,False,L8,8,0.6666666666666666,4,ra,0.9190739752308011,0.8749026627120151,0.962861267226116,0.902592754199148,0.8461469083088876,0.9558431476526846,True,False,,False,False,False
chronos2,LOOP_SEATTLE_5T,tol_0.1,False,L8,8,0.6666666666666666,4,probe,0.771382488848478,0.7232813338764745,0.8225931087287777,0.8335327334196618,0.7693446242741954,0.8984928521532534,True,False,,False,False,False
chronos2,SZ_TAXI_15T,tol_0.01,False,L10,10,0.8333333333333334,2,hard,1.0245054917848015,1.014042823536753,1.0357009003242188,1.0459649789939798,1.037006014863229,1.0557513979713384,True,False,,,True,True
chronos2,SZ_TAXI_15T,tol_0.01,False,L10,10,0.8333333333333334,2,noa,0.9973555739402525,0.9915411212683055,1.0031785561583328,0.998074823124633,0.9935132386391496,1.0023013907815033,True,False,1.1079115686789678,True,True,True
chronos2,SZ_TAXI_15T,tol_0.01,False,L10,10,0.8333333333333334,2,fl,1.0026940766106573,0.983339425261655,1.030355816254226,1.000678019234687,0.9903969743692492,1.0104140065275304,True,False,0.8900623323818293,True,True,True
chronos2,SZ_TAXI_15T,tol_0.01,False,L10,10,0.8333333333333334,2,ra,1.0072648022920212,0.9902088968309614,1.035967325602561,1.0009280830961875,0.9948203721027857,1.0081506824416162,True,False,0.7035439094298503,True,True,True
chronos2,SZ_TAXI_15T,tol_0.01,False,L10,10,0.8333333333333334,2,probe,1.029956417800128,0.9930008892657601,1.0957274872627958,1.0095584345404485,0.9967234440999169,1.024320849198434,True,True,-0.22243691590417225,True,True,True
chronos2,SZ_TAXI_15T,tol_0.02,False,L4,4,0.3333333333333333,8,hard,1.0548765980995656,1.0222531739739802,1.1053847348866153,1.0705475569682892,1.0511531605237574,1.0907511878919227,False,True,,,True,True
