job,config_id,model,kind,depth,drift,level,batch,status,median_ms,p95_ms,iqr_ms,throughput,peak_allocated_bytes,active_params,weights_bytes,gpu,native_median_ms_same_job,speedup_vs_native_same_job,native_drift_range_ms
job1_chronos2,003_chronos2_hard_L04,chronos2,hard,4,,device_forward,1,ok,7.301664000000001,7.4645505000000005,0.019373750000000634,136.95508311530082,186802688,43961760,175852032,NVIDIA A100-SXM4-40GB,18.893026,2.5874959461295393,0.35365350000000007
job1_chronos2,003_chronos2_hard_L04,chronos2,hard,4,,api_e2e,256,ok,71.8523295,77.60595675,0.06243474999999421,3562.862913164145,702241280,43961760,175852032,NVIDIA A100-SXM4-40GB,181.99669649999998,2.5329268760868775,0.3272615000000201
job1_chronos2,003_chronos2_hard_L04,chronos2,hard,4,,device_forward,256,ok,60.825241000000005,61.16783855,0.026436750000002007,4208.779049473886,701389312,43961760,175852032,NVIDIA A100-SXM4-40GB,171.075546,2.812574897976976,0.021898999999990565
job1_chronos2,004_chronos2_hard_L07,chronos2,hard,7,,api_e2e,1,ok,12.1470435,12.383819299999999,0.0360257500000003,82.32455905834205,300082176,72280224,289128960,NVIDIA A100-SXM4-40GB,19.5060305,1.6058253598910714,0.28581599999999696
job1_chronos2,004_chronos2_hard_L07,chronos2,hard,7,,device_forward,1,ok,11.506307,11.606736799999998,0.02611150000000073,86.90885789854208,300079616,72280224,289128960,NVIDIA A100-SXM4-40GB,18.893026,1.6419713119074608,0.35365350000000007
job1_chronos2,004_chronos2_hard_L07,chronos2,hard,7,,api_e2e,256,ok,113.03411299999999,113.69071555,0.11952875000000063,2264.803015705533,815518208,72280224,289128960,NVIDIA A100-SXM4-40GB,181.99669649999998,1.6101041682876744,0.3272615000000201
job1_chronos2,004_chronos2_hard_L07,chronos2,hard,7,,device_forward,256,ok,102.184477,102.3408729,0.02406275000001301,2505.272889932196,814666240,72280224,289128960,NVIDIA A100-SXM4-40GB,171.075546,1.6741833106412043,0.021898999999990565
job1_chronos2,005_chronos2_probe_head_L09,chronos2,probe_head,9,,api_e2e,1,ok,15.007190999999999,15.0480909,0.02704499999999932,66.634721980949,361099776,87763536,351064064,NVIDIA A100-SXM4-40GB,19.5060305,1.2997789193194118,0.28581599999999696
job1_chronos2,005_chronos2_probe_head_L09,chronos2,probe_head,9,,device_forward,1,ok,14.4031685,14.4552404,0.03900825000000019,69.42916761683377,361097216,87763536,351064064,NVIDIA A100-SXM4-40GB,18.893026,1.3117270689431981,0.35365350000000007
job1_chronos2,005_chronos2_probe_head_L09,chronos2,probe_head,9,,api_e2e,256,ok,138.98882350000002,139.3953396,0.06330800000000636,1841.8747173581187,876535808,87763536,351064064,NVIDIA A100-SXM4-40GB,181.99669649999998,1.309434038773628,0.3272615000000201
