model,kind,depth,level,batch,n_jobs,median_ms,median_ms_min_job,median_ms_max_job,speedup_vs_native,speedup_min_job,speedup_max_job,throughput,peak_allocated_bytes,active_params
chronos2,adapter,0,api_e2e,1,3,2.3095,2.3086785,2.313048,8.413659017103269,8.388640659424274,8.44900253543315,432.9941545789132,36503552.0,6794400
chronos2,adapter,0,api_e2e,256,3,18.3091945,18.057285,18.578301,9.926948725133702,9.796196998853661,10.066451905699001,13982.046015186523,241821184.0,6794400
chronos2,adapter,0,device_forward,1,3,1.6694339999999999,1.658239,1.6734165,11.267174084150678,11.233838377953127,11.393427606032665,599.0054114148868,36500480.0,6794400
chronos2,adapter,0,device_forward,256,3,6.3799015,6.371265,6.382830500000001,26.814762892499203,26.793939068255057,26.84144679274838,40126.01134986175,241229312.0,6794400
chronos2,adapter,1,api_e2e,1,3,3.7457979999999997,3.7376709999999997,3.8113599999999996,5.191288505596132,5.098270827211285,5.207443247073121,266.9658107564797,74859520.0,16233888
chronos2,adapter,1,api_e2e,256,3,30.9241305,30.8387155,31.027531,5.878024315024798,5.865651910878761,5.893709645591432,8278.324915230842,561835520.0,16233888
chronos2,adapter,1,device_forward,1,3,3.1129615,3.107542,3.1694265,6.052952301207836,5.931322433254091,6.069148622621898,321.2375096833032,74856960.0,16233888
chronos2,adapter,1,device_forward,256,3,20.1819925,20.1659775,20.191115,8.476643027193672,8.47012022367264,8.480321397760163,12684.575123095503,561245696.0,16233888
chronos2,adapter,10,api_e2e,1,3,16.5036815,16.441098,16.697633,1.1801723035772915,1.1637185641821208,1.1819199552536204,60.59254112483933,414803968.0,101189280
chronos2,adapter,10,api_e2e,256,3,155.298251,155.12172850000002,165.90637900000002,1.1718074105910956,1.0955240907283015,1.171917232345392,1648.4409731053572,930764288.0,101189280
chronos2,adapter,10,device_forward,1,3,15.891293000000001,15.8303415,16.091998,1.1882121115327804,1.1682135742249036,1.1888916779773677,62.92754151597356,414801408.0,101189280
chronos2,adapter,10,device_forward,256,3,144.215908,144.173475,144.2623005,1.1858689784763548,1.185864535689974,1.1861680555317127,1775.116237523533,930174464.0,101189280
chronos2,adapter,11,api_e2e,1,3,18.007448500000002,17.8366315,18.041800000000002,1.0811576727377534,1.0775168120014336,1.0894066797309794,55.532575867147415,452562944.0,110628768
chronos2,adapter,11,api_e2e,256,3,168.98368,168.712236,169.2188995,1.0756825215310732,1.0755104603431132,1.077304404880272,1514.9391941280958,968523264.0,110628768
chronos2,adapter,11,device_forward,1,3,17.3966425,17.3774105,17.457268499999998,1.0818004500728113,1.0812318238993532,1.0822441093805713,57.48235615004447,452560384.0,110628768
chronos2,adapter,11,device_forward,256,3,157.97689250000002,157.96712200000002,158.043718,1.082570803828161,1.0824571084818442,1.0825921769974387,1620.4901612430435,967933440.0,110628768
chronos2,adapter,12,api_e2e,1,3,19.494069000000003,19.428505,19.579971,0.9967824316206122,0.9909784084971321,1.0039902967315293,51.29765366071085,490321920.0,120068256
chronos2,adapter,12,api_e2e,256,3,182.508891,182.457803,182.8770955,0.9958661959104228,0.9951858432703509,0.9962456415196448,1402.6713909515784,1005757952.0,120068256
chronos2,adapter,12,device_forward,1,3,18.851498499999998,18.813041499999997,18.9941305,0.9972093465142837,0.9902955810480506,1.0042515453973777,53.046180917660216,490319360.0,120068256
chronos2,adapter,12,device_forward,256,3,171.7799715,171.72305,171.793156,0.995822825444804,0.9955827213535193,0.9958707960288383,1490.2785101463357,1005168128.0,120068256
chronos2,adapter,2,api_e2e,1,3,5.218363999999999,5.1964625,5.251583999999999,3.718278084855714,3.7000922959625138,3.7537133193975714,191.63094027170203,112732160.0,25673376
chronos2,adapter,2,api_e2e,256,3,44.6582305,44.6036235,44.824548,4.0698978209627,4.060201488255943,4.075292021958709,5732.425963451463,628692480.0,25673376
chronos2,adapter,2,device_forward,1,3,4.5855455,4.566817,4.6000630000000005,4.1019772892887,4.086659356621854,4.137022788519881,218.07656253765225,112729600.0,25673376
