,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.552239,0.560267,0.465268,0.321995,0.180312,0.160280,0.116308,0.126961,0.078246,0.071711,0.049085,0.030137,0.031269
L1,0.552239,1.000000,0.973148,0.840444,0.605929,0.403914,0.374429,0.315136,0.325871,0.253085,0.232674,0.202079,0.169257,0.141070
L2,0.560267,0.973148,1.000000,0.895957,0.680533,0.477078,0.444955,0.382375,0.398948,0.314156,0.292507,0.257965,0.224023,0.173503
L3,0.465268,0.840444,0.895957,1.000000,0.925371,0.798072,0.772526,0.713363,0.718769,0.642610,0.620998,0.589208,0.561431,0.507813
L4,0.321995,0.605929,0.680533,0.925371,1.000000,0.954637,0.939479,0.893580,0.892674,0.829739,0.810817,0.784876,0.766474,0.699148
L5,0.180312,0.403914,0.477078,0.798072,0.954637,1.000000,0.996193,0.979443,0.974257,0.939695,0.927071,0.909239,0.894149,0.824608
L6,0.160280,0.374429,0.444955,0.772526,0.939479,0.996193,1.000000,0.985657,0.979673,0.946465,0.933572,0.916138,0.900754,0.828272
L7,0.116308,0.315136,0.382375,0.713363,0.893580,0.979443,0.985657,1.000000,0.995737,0.981842,0.972306,0.957142,0.935323,0.860256
L8,0.126961,0.325871,0.398948,0.718769,0.892674,0.974257,0.979673,0.995737,1.000000,0.983006,0.973701,0.955980,0.931113,0.849032
L9,0.078246,0.253085,0.314156,0.642610,0.829739,0.939695,0.946465,0.981842,0.983006,1.000000,0.995446,0.983044,0.957127,0.892617
L10,0.071711,0.232674,0.292507,0.620998,0.810817,0.927071,0.933572,0.972306,0.973701,0.995446,1.000000,0.991837,0.967848,0.907884
L11,0.049085,0.202079,0.257965,0.589208,0.784876,0.909239,0.916138,0.957142,0.955980,0.983044,0.991837,1.000000,0.984474,0.927973
L12,0.030137,0.169257,0.224023,0.561431,0.766474,0.894149,0.900754,0.935323,0.931113,0.957127,0.967848,0.984474,1.000000,0.934300
L12+LN,0.031269,0.141070,0.173503,0.507813,0.699148,0.824608,0.828272,0.860256,0.849032,0.892617,0.907884,0.927973,0.934300,1.000000
