,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.544997,0.552278,0.463809,0.328081,0.181221,0.161340,0.113803,0.125211,0.076692,0.070716,0.048464,0.030679,0.031924
L1,0.550891,0.997573,0.964964,0.838563,0.622034,0.418397,0.394308,0.329303,0.337600,0.264708,0.244971,0.212667,0.178012,0.142988
L2,0.555801,0.963824,0.996720,0.906878,0.716132,0.511279,0.483550,0.412269,0.425336,0.337835,0.315711,0.278557,0.242277,0.182086
L3,0.466185,0.835703,0.901644,0.997033,0.929332,0.800513,0.778863,0.713699,0.716810,0.638523,0.615783,0.581651,0.552488,0.480457
L4,0.328399,0.618188,0.714368,0.930984,0.997174,0.942189,0.927054,0.874257,0.875214,0.804642,0.782211,0.750458,0.728201,0.636438
L5,0.171400,0.402896,0.492691,0.793127,0.941485,0.997410,0.993753,0.980436,0.977475,0.943806,0.930541,0.908673,0.890444,0.802790
L6,0.149387,0.374551,0.458712,0.768628,0.926051,0.993973,0.997550,0.985975,0.981778,0.950581,0.937470,0.916360,0.898838,0.811984
L7,0.100968,0.304171,0.379136,0.695075,0.866192,0.970002,0.976163,0.997154,0.993477,0.985327,0.976487,0.959139,0.935286,0.849115
L8,0.111020,0.309645,0.387719,0.696341,0.864707,0.966507,0.972100,0.994415,0.996663,0.986003,0.978031,0.959635,0.933344,0.844511
L9,0.072549,0.252720,0.318389,0.635725,0.813225,0.938171,0.945011,0.982128,0.981214,0.997653,0.994205,0.982594,0.958754,0.889113
L10,0.067917,0.234840,0.297882,0.615626,0.794127,0.925647,0.932299,0.972584,0.971990,0.993257,0.997787,0.990525,0.969159,0.905657
L11,0.047373,0.203060,0.262054,0.581744,0.763999,0.903699,0.910832,0.955140,0.953134,0.980831,0.990544,0.997868,0.983848,0.922939
L12,0.030513,0.171436,0.228134,0.551928,0.738387,0.882111,0.888843,0.929195,0.925086,0.955087,0.968479,0.983432,0.996303,0.928899
L12+LN,0.031764,0.139310,0.171061,0.491674,0.662347,0.807835,0.813560,0.853662,0.843210,0.893054,0.910412,0.929637,0.936673,0.996300
