,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.545209,0.552485,0.463971,0.328172,0.181254,0.161370,0.113820,0.125227,0.076692,0.070711,0.048453,0.030656,0.031896
L1,0.545209,1.000000,0.965471,0.835801,0.616446,0.412717,0.388425,0.323711,0.332319,0.260124,0.240738,0.208661,0.174097,0.141452
L2,0.552485,0.965471,1.000000,0.903039,0.707059,0.499262,0.470970,0.399401,0.413462,0.325498,0.303739,0.266691,0.229803,0.172393
L3,0.463971,0.835801,0.903039,1.000000,0.931324,0.802264,0.780246,0.714621,0.718021,0.640617,0.618745,0.584928,0.556201,0.491061
L4,0.328172,0.616446,0.707059,0.931324,1.000000,0.949551,0.935569,0.883556,0.882823,0.816038,0.795341,0.765603,0.744765,0.660442
L5,0.181254,0.412717,0.499262,0.802264,0.949551,1.000000,0.996482,0.978266,0.973986,0.938165,0.924885,0.903628,0.886986,0.804455
L6,0.161370,0.388425,0.470970,0.780246,0.935569,0.996482,1.000000,0.984344,0.979372,0.945287,0.931838,0.911273,0.894152,0.810244
L7,0.113820,0.323711,0.399401,0.714621,0.883556,0.978266,0.984344,1.000000,0.995869,0.982350,0.972734,0.955712,0.932034,0.849819
L8,0.125227,0.332319,0.413462,0.718021,0.882823,0.973986,0.979372,0.995869,1.000000,0.982255,0.973056,0.953686,0.926810,0.838954
L9,0.076692,0.260124,0.325498,0.640617,0.816038,0.938165,0.945287,0.982350,0.982255,1.000000,0.995475,0.982652,0.956940,0.889128
L10,0.070711,0.240738,0.303739,0.618745,0.795341,0.924885,0.931838,0.972734,0.973056,0.995475,1.000000,0.991895,0.968913,0.905977
L11,0.048453,0.208661,0.266691,0.584928,0.765603,0.903628,0.911273,0.955712,0.953686,0.982652,0.991895,1.000000,0.984542,0.925676
L12,0.030656,0.174097,0.229803,0.556201,0.744765,0.886986,0.894152,0.932034,0.926810,0.956940,0.968913,0.984542,1.000000,0.932482
L12+LN,0.031896,0.141452,0.172393,0.491061,0.660442,0.804455,0.810244,0.849819,0.838954,0.889128,0.905977,0.925676,0.932482,1.000000
