pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,val_selected_layer_label,quantile_loss_at_selected,quantile_loss_at_reference,mase_at_selected,mase_at_reference,transfer_gap,relative_regret_at_selected_supp,n_test_windows,n_test_clusters
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,L11,2.7261,2.626495,1.32835,1.293248,0.0,0.066925,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,L11,4.368274,4.206704,2.818007,1.237091,0.154282,0.038408,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,L11,2.51301,2.218032,5.282076,3.683507,0.146987,0.132991,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,L11,5.05138,4.449918,10.006973,5.793637,0.443666,0.372844,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,L12+LN,3.20592,3.20592,1.559133,1.559133,0.17601,0.020872,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,L12+LN,3.784407,3.784407,1.076123,1.076123,0.0,0.000329,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,m4_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,L12+LN,2.592064,2.592064,4.818397,4.818397,0.183068,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,wind_farms_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,L12+LN,4.421545,4.421545,5.644861,5.644861,0.263661,0.014941,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,monash_electricity_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,2,3,L12+LN,q9,fslot_mlp,native_mlp,L3,3.083126,2.887894,1.434822,1.45886,0.130966,0.067604,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,uber_tlc_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,2,3,L12+LN,q9,fslot_mlp,native_mlp,L3,4.592306,4.528168,1.368818,1.361949,0.213481,0.09716,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,m4_hourly,m4_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,2,3,L12+LN,q9,fslot_mlp,native_mlp,L3,2.190967,2.478875,3.129645,4.554981,0.0,0.002176,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,wind_farms_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,2,3,L12+LN,q9,fslot_mlp,native_mlp,L3,4.758688,5.003861,6.148955,6.241745,0.360016,0.15124,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,monash_electricity_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,1,5,L12+LN,q9,fslot_mlp,native_mlp,L5,3.400532,3.010129,1.60114,1.413338,0.247398,0.129696,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,uber_tlc_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,1,5,L12+LN,q9,fslot_mlp,native_mlp,L5,5.082903,4.267927,1.25099,1.14868,0.343117,0.190953,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,m4_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,1,5,L12+LN,q9,fslot_mlp,native_mlp,L5,3.158812,2.645303,6.280472,4.643611,0.441743,0.194121,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,1,5,L12+LN,q9,fslot_mlp,native_mlp,L5,3.498995,3.640537,4.9241,4.977741,0.0,0.003503,262,262
