,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.554340,0.562086,0.477320,0.341247,0.185729,0.162839,0.109660,0.120369,0.078705,0.072935,0.049594,0.030937,0.032214
L1,0.550830,0.999522,0.976908,0.855761,0.639672,0.425863,0.397245,0.320857,0.327206,0.264928,0.247193,0.211127,0.175293,0.140962
L2,0.555741,0.964097,0.998976,0.915694,0.730979,0.519057,0.486331,0.402025,0.411035,0.336834,0.317328,0.277117,0.236992,0.180501
L3,0.466137,0.836919,0.905194,0.999042,0.936567,0.803599,0.779114,0.703302,0.704985,0.639690,0.619834,0.583158,0.546892,0.482229
L4,0.328372,0.619556,0.715317,0.925395,0.998655,0.943743,0.927024,0.865260,0.865495,0.807604,0.788339,0.754720,0.721013,0.640518
L5,0.171390,0.403556,0.495354,0.784469,0.936392,0.999284,0.995835,0.978137,0.975621,0.947577,0.936161,0.913612,0.887100,0.809724
L6,0.149379,0.375380,0.462564,0.760380,0.919944,0.994848,0.999279,0.984031,0.980623,0.954492,0.942944,0.921087,0.895552,0.819119
L7,0.100965,0.304846,0.384017,0.687139,0.858637,0.972317,0.979420,0.999344,0.996799,0.988132,0.980497,0.963476,0.935738,0.857777
L8,0.111017,0.310090,0.391437,0.687661,0.857061,0.969246,0.975665,0.996607,0.999018,0.988425,0.981466,0.963505,0.934020,0.853146
L9,0.072550,0.252850,0.323539,0.626814,0.803892,0.940415,0.948406,0.985926,0.985947,0.998759,0.995861,0.984862,0.960467,0.896751
L10,0.067918,0.234947,0.303074,0.606027,0.783504,0.927152,0.935270,0.976524,0.976891,0.994587,0.998778,0.992251,0.971896,0.913294
L11,0.047377,0.203241,0.267521,0.571855,0.751747,0.904126,0.912707,0.958672,0.958090,0.982351,0.990932,0.998475,0.986502,0.930565
L12,0.030519,0.171663,0.233985,0.541323,0.724851,0.881188,0.890003,0.932508,0.930055,0.957196,0.968619,0.983872,0.997185,0.936463
L12+LN,0.031772,0.138377,0.178316,0.478918,0.647003,0.802432,0.810636,0.852938,0.845829,0.893455,0.908173,0.927721,0.942345,0.998293
