dataset,stage,layer,cka_to_pretrained_same_layer
M4,stage1_ft_early,Emb,0.999999962208875
M4,stage1_ft_early,L1,0.9997766561579676
M4,stage1_ft_early,L2,0.9995779017659578
M4,stage1_ft_early,L3,0.9995974358072124
M4,stage1_ft_early,L4,0.9991875330665759
M4,stage1_ft_early,L5,0.9996174945088779
M4,stage1_ft_early,L6,0.9996297784425207
M4,stage1_ft_early,L7,0.9996069367893664
M4,stage1_ft_early,L8,0.9993829659209176
M4,stage1_ft_early,L9,0.9990226939021527
M4,stage1_ft_early,L10,0.9990972007031048
M4,stage1_ft_early,L11,0.9988325836598373
M4,stage1_ft_early,L12,0.9980335642803806
M4,stage1_ft_early,L12+LN,0.9987064217869943
M4,stage2_ft_late,Emb,0.9999999409070969
M4,stage2_ft_late,L1,0.99952199728461
M4,stage2_ft_late,L2,0.9989760612981262
M4,stage2_ft_late,L3,0.9990417955370335
M4,stage2_ft_late,L4,0.9986553555154767
M4,stage2_ft_late,L5,0.9992844144343385
M4,stage2_ft_late,L6,0.9992793739834793
M4,stage2_ft_late,L7,0.9993442756370515
M4,stage2_ft_late,L8,0.9990176002614605
M4,stage2_ft_late,L9,0.9987587557661393
M4,stage2_ft_late,L10,0.9987783524148379
M4,stage2_ft_late,L11,0.9984750105833358
M4,stage2_ft_late,L12,0.9971847146111592
M4,stage2_ft_late,L12+LN,0.9982926749830814
