,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.554494,0.562239,0.477443,0.341318,0.185755,0.162862,0.109671,0.120378,0.078705,0.072931,0.049584,0.030918,0.032192
L1,0.554494,1.000000,0.973782,0.850962,0.634147,0.420281,0.391839,0.315745,0.322095,0.260375,0.242891,0.207236,0.171741,0.138455
L2,0.562239,0.973782,1.000000,0.911902,0.722557,0.509596,0.477470,0.393894,0.402438,0.329825,0.310603,0.270827,0.231112,0.178022
L3,0.477443,0.850962,0.911902,1.000000,0.931707,0.795923,0.771828,0.695974,0.697199,0.633107,0.613375,0.576766,0.540688,0.480100
L4,0.341318,0.634147,0.722557,0.931707,1.000000,0.943832,0.927928,0.866288,0.865456,0.809558,0.790611,0.757499,0.724587,0.649331
L5,0.185755,0.420281,0.509596,0.795923,0.943832,1.000000,0.996274,0.975457,0.972683,0.943158,0.931240,0.908216,0.881639,0.805085
L6,0.162862,0.391839,0.477470,0.771828,0.927928,0.996274,1.000000,0.982291,0.978928,0.951187,0.939212,0.916858,0.890880,0.813319
L7,0.109671,0.315745,0.393894,0.695974,0.866288,0.975457,0.982291,1.000000,0.997389,0.987547,0.979538,0.962435,0.934690,0.856051
L8,0.120378,0.322095,0.402438,0.697199,0.865456,0.972683,0.978928,0.997389,1.000000,0.987549,0.979855,0.961381,0.931512,0.848658
L9,0.078705,0.260375,0.329825,0.633107,0.809558,0.943158,0.951187,0.987547,0.987549,1.000000,0.996528,0.985117,0.960341,0.896261
L10,0.072931,0.242891,0.310603,0.613375,0.790611,0.931240,0.939212,0.979538,0.979855,0.996528,1.000000,0.992841,0.971485,0.910690
L11,0.049584,0.207236,0.270827,0.576766,0.757499,0.908216,0.916858,0.962435,0.961381,0.985117,0.992841,1.000000,0.987015,0.930065
L12,0.030918,0.171741,0.231112,0.540688,0.724587,0.881639,0.890880,0.934690,0.931512,0.960341,0.971485,0.987015,1.000000,0.944021
L12+LN,0.032192,0.138455,0.178022,0.480100,0.649331,0.805085,0.813319,0.856051,0.848658,0.896261,0.910690,0.930065,0.944021,1.000000
