,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.554276,0.560256,0.472591,0.333926,0.179128,0.156908,0.105602,0.116080,0.076252,0.071326,0.048946,0.030820,0.032130
L1,0.554276,1.000000,0.971954,0.847313,0.627887,0.414163,0.385996,0.311889,0.317736,0.258187,0.241198,0.206842,0.172588,0.138939
L2,0.560256,0.971954,1.000000,0.910449,0.718932,0.504606,0.472293,0.390216,0.398314,0.327692,0.308992,0.270779,0.233039,0.177942
L3,0.472591,0.847313,0.910449,1.000000,0.930700,0.794070,0.769919,0.694811,0.695848,0.633159,0.613890,0.578545,0.543946,0.481450
L4,0.333926,0.627887,0.718932,0.930700,1.000000,0.942384,0.926308,0.864686,0.863698,0.809005,0.790455,0.758430,0.726865,0.649893
L5,0.179128,0.414163,0.504606,0.794070,0.942384,1.000000,0.996132,0.975689,0.972859,0.944466,0.932921,0.910722,0.885123,0.808633
L6,0.156908,0.385996,0.472293,0.769919,0.926308,0.996132,1.000000,0.982236,0.978763,0.951847,0.940139,0.918467,0.893376,0.816456
L7,0.105602,0.311889,0.390216,0.694811,0.864686,0.975689,0.982236,1.000000,0.997450,0.987685,0.979662,0.962855,0.935759,0.858029
L8,0.116080,0.317736,0.398314,0.695848,0.863698,0.972859,0.978763,0.997450,1.000000,0.987990,0.980397,0.962461,0.933538,0.851881
L9,0.076252,0.258187,0.327692,0.633159,0.809005,0.944466,0.951847,0.987685,0.987990,1.000000,0.996519,0.985290,0.960774,0.898085
L10,0.071326,0.241198,0.308992,0.613890,0.790455,0.932921,0.940139,0.979662,0.980397,0.996519,1.000000,0.992975,0.971884,0.912564
L11,0.048946,0.206842,0.270779,0.578545,0.758430,0.910722,0.918467,0.962855,0.962461,0.985290,0.992975,1.000000,0.987161,0.931291
L12,0.030820,0.172588,0.233039,0.543946,0.726865,0.885123,0.893376,0.935759,0.933538,0.960774,0.971884,0.987161,1.000000,0.942771
L12+LN,0.032130,0.138939,0.177942,0.481450,0.649893,0.808633,0.816456,0.858029,0.851881,0.898085,0.912564,0.931291,0.942771,1.000000
