condition,metric,target,stage,layer,drift_1_minus_cka,probe_change
domain,d_fslot_quantile_loss,M4,early,L5,0.0003825054911220649,-0.024446805318196763
domain,d_fslot_quantile_loss,M4,early,L6,0.0003702215574793444,-0.022406578063964844
domain,d_fslot_quantile_loss,M4,early,L7,0.00039306321063359295,-0.04739991823832179
domain,d_fslot_quantile_loss,M4,early,L8,0.0006170340790824236,0.014398336410522461
domain,d_fslot_quantile_loss,M4,early,L9,0.000977306097847297,0.04955252011616995
domain,d_fslot_quantile_loss,M4,early,L10,0.0009027992968951848,-0.02787836392720555
domain,d_fslot_quantile_loss,M4,early,L11,0.001167416340162708,0.019272565841674805
domain,d_fslot_quantile_loss,M4,early,L12,0.0019664357196194082,-0.0276792049407959
domain,d_fslot_quantile_loss,M4,early,L12+LN,0.001293578213005686,0.04271531105041504
domain,d_fslot_quantile_loss,M4,late,Emb,5.9092903126334306e-08,-0.007925828297932647
domain,d_fslot_quantile_loss,M4,late,L1,0.0004780027153900024,-0.010236660639445283
domain,d_fslot_quantile_loss,M4,late,L2,0.0010239387018737833,0.002563635508219697
domain,d_fslot_quantile_loss,M4,late,L3,0.000958204462966461,-0.01473863919576024
domain,d_fslot_quantile_loss,M4,late,L4,0.0013446444845233163,0.008644064267476548
domain,d_fslot_quantile_loss,M4,late,L5,0.0007155855656615362,-0.0021258989969892284
domain,d_fslot_quantile_loss,M4,late,L6,0.0007206260165206757,-0.028762022654215347
domain,d_fslot_quantile_loss,M4,late,L7,0.0006557243629484732,-0.04530755678812648
domain,d_fslot_quantile_loss,M4,late,L8,0.00098239973853953,-0.0033495426177978516
domain,d_fslot_quantile_loss,M4,late,L9,0.0012412442338607388,-0.006904045740763642
domain,d_fslot_quantile_loss,M4,late,L10,0.0012216475851620778,-0.02424518267313669
domain,d_fslot_quantile_loss,M4,late,L11,0.0015249894166642353,0.0008842150370282909
domain,d_fslot_quantile_loss,M4,late,L12,0.0028152853888407936,-0.01087745030720999
domain,d_fslot_quantile_loss,M4,late,L12+LN,0.001707325016918615,0.041954755783081055
domain,d_fslot_quantile_loss,WindFarms,early,Emb,3.7791125007125004e-08,-0.011385202407836914
domain,d_fslot_quantile_loss,WindFarms,early,L1,0.0005385754023621292,0.016726255416870117
domain,d_fslot_quantile_loss,WindFarms,early,L2,0.00042529168166605125,-0.005368789037068833
domain,d_fslot_quantile_loss,WindFarms,early,L3,0.0004240059659695872,-0.012854576110839844
domain,d_fslot_quantile_loss,WindFarms,early,L4,0.000827424382551345,0.0045166810353598486
domain,d_fslot_quantile_loss,WindFarms,early,L5,0.0017124790414921875,0.00792320569356253
domain,d_fslot_quantile_loss,WindFarms,early,L6,0.0035028174244424726,-0.012119452158610322
domain,d_fslot_quantile_loss,WindFarms,early,L7,0.003400104250112612,-0.013938426971435547
domain,d_fslot_quantile_loss,WindFarms,early,L8,0.004779405877404108,0.003946701685587861
domain,d_fslot_quantile_loss,WindFarms,early,L9,0.00898844749386929,0.012750546137491714
domain,d_fslot_quantile_loss,WindFarms,early,L10,0.003791380527637389,-0.0019478003184003612
domain,d_fslot_quantile_loss,WindFarms,early,L11,0.003841135836269438,-0.032406965891520034
domain,d_fslot_quantile_loss,WindFarms,early,L12,0.006019498170282023,-0.08083812395731593
domain,d_fslot_quantile_loss,WindFarms,early,L12+LN,0.028307393892844424,-0.056789080301920425
domain,d_fslot_quantile_loss,WindFarms,late,Emb,5.9092903126334306e-08,-0.01357062657674124
domain,d_fslot_quantile_loss,WindFarms,late,L1,0.00115645749189075,0.0002751350402832031
domain,d_fslot_quantile_loss,WindFarms,late,L2,0.000896886019622456,-0.009665966033935547
domain,d_fslot_quantile_loss,WindFarms,late,L3,0.0008559593507601049,-0.011481364568074248
domain,d_fslot_quantile_loss,WindFarms,late,L4,0.00168271700841649,-0.021397113800048828
domain,d_fslot_quantile_loss,WindFarms,late,L5,0.0038387556289649627,0.0031742254892983546
domain,d_fslot_quantile_loss,WindFarms,late,L6,0.008597407480626651,-0.011103630065917969
domain,d_fslot_quantile_loss,WindFarms,late,L7,0.008003898664729725,-0.0029315948486328125
