target,condition,stage,layer,cka_to_pretrained_same_layer
BOOM,FordA-cls-FT (task),early,L8,0.9865575815942669
BOOM,FordA-cls-FT (task),early,L9,0.9808549284950681
BOOM,FordA-cls-FT (task),early,L10,0.9909800937698465
BOOM,FordA-cls-FT (task),early,L11,0.9950273737517074
BOOM,FordA-cls-FT (task),early,L12,0.99212912031636
BOOM,FordA-cls-FT (task),early,L12+LN,0.9523000068297454
BOOM,FordA-cls-FT (task),late,Emb,0.9999999981681819
BOOM,FordA-cls-FT (task),late,L1,0.9958972174713385
BOOM,FordA-cls-FT (task),late,L2,0.9963202131725565
BOOM,FordA-cls-FT (task),late,L3,0.995946006464027
BOOM,FordA-cls-FT (task),late,L4,0.9946301915812312
BOOM,FordA-cls-FT (task),late,L5,0.992847419235369
BOOM,FordA-cls-FT (task),late,L6,0.9899387688589374
BOOM,FordA-cls-FT (task),late,L7,0.9887234401408563
BOOM,FordA-cls-FT (task),late,L8,0.9840771249033986
BOOM,FordA-cls-FT (task),late,L9,0.9770377908151575
BOOM,FordA-cls-FT (task),late,L10,0.9757199592285358
BOOM,FordA-cls-FT (task),late,L11,0.9909430827099857
BOOM,FordA-cls-FT (task),late,L12,0.9886256023307323
BOOM,FordA-cls-FT (task),late,L12+LN,0.948912183625922
M4,BOOM-FT (domain),early,Emb,0.999999962208875
M4,BOOM-FT (domain),early,L1,0.9997766561579676
M4,BOOM-FT (domain),early,L2,0.9995779017659578
M4,BOOM-FT (domain),early,L3,0.9995974358072124
M4,BOOM-FT (domain),early,L4,0.9991875330665759
M4,BOOM-FT (domain),early,L5,0.9996174945088779
M4,BOOM-FT (domain),early,L6,0.9996297784425207
M4,BOOM-FT (domain),early,L7,0.9996069367893664
M4,BOOM-FT (domain),early,L8,0.9993829659209176
M4,BOOM-FT (domain),early,L9,0.9990226939021527
M4,BOOM-FT (domain),early,L10,0.9990972007031048
M4,BOOM-FT (domain),early,L11,0.9988325836598373
M4,BOOM-FT (domain),early,L12,0.9980335642803806
M4,BOOM-FT (domain),early,L12+LN,0.9987064217869943
M4,BOOM-FT (domain),late,Emb,0.9999999409070969
M4,BOOM-FT (domain),late,L1,0.99952199728461
M4,BOOM-FT (domain),late,L2,0.9989760612981262
M4,BOOM-FT (domain),late,L3,0.9990417955370335
M4,BOOM-FT (domain),late,L4,0.9986553555154767
M4,BOOM-FT (domain),late,L5,0.9992844144343385
M4,BOOM-FT (domain),late,L6,0.9992793739834793
M4,BOOM-FT (domain),late,L7,0.9993442756370515
M4,BOOM-FT (domain),late,L8,0.9990176002614605
M4,BOOM-FT (domain),late,L9,0.9987587557661393
M4,BOOM-FT (domain),late,L10,0.9987783524148379
M4,BOOM-FT (domain),late,L11,0.9984750105833358
M4,BOOM-FT (domain),late,L12,0.9971847146111592
M4,BOOM-FT (domain),late,L12+LN,0.9982926749830814
M4,FordA-cls-FT (task),early,Emb,0.9999998860821708
M4,FordA-cls-FT (task),early,L1,0.997572967034369
M4,FordA-cls-FT (task),early,L2,0.9967200449674435
M4,FordA-cls-FT (task),early,L3,0.9970325608874966
M4,FordA-cls-FT (task),early,L4,0.9971735742378824
M4,FordA-cls-FT (task),early,L5,0.9974100915259929
M4,FordA-cls-FT (task),early,L6,0.9975502256148492
M4,FordA-cls-FT (task),early,L7,0.997154134331091
M4,FordA-cls-FT (task),early,L8,0.9966625280860336
M4,FordA-cls-FT (task),early,L9,0.9976526570512237
M4,FordA-cls-FT (task),early,L10,0.9977873641956363
M4,FordA-cls-FT (task),early,L11,0.9978676050615648
M4,FordA-cls-FT (task),early,L12,0.9963032602309064
M4,FordA-cls-FT (task),early,L12+LN,0.996299727988062
M4,FordA-cls-FT (task),late,Emb,0.9999999981686591
M4,FordA-cls-FT (task),late,L1,0.987600541834055
M4,FordA-cls-FT (task),late,L2,0.9893301151267156
M4,FordA-cls-FT (task),late,L3,0.9891533232473407
M4,FordA-cls-FT (task),late,L4,0.9864748114036752
M4,FordA-cls-FT (task),late,L5,0.9908931483856316
M4,FordA-cls-FT (task),late,L6,0.9926154492896114
M4,FordA-cls-FT (task),late,L7,0.9941871903159759
M4,FordA-cls-FT (task),late,L8,0.9949170376202704
M4,FordA-cls-FT (task),late,L9,0.9958278526049663
M4,FordA-cls-FT (task),late,L10,0.9963462820106517
M4,FordA-cls-FT (task),late,L11,0.9959564613559524
M4,FordA-cls-FT (task),late,L12,0.9913796641520681
M4,FordA-cls-FT (task),late,L12+LN,0.9905168497191842
Coastal-TS,BOOM-FT (domain),early,Emb,0.9999999622864821
Coastal-TS,BOOM-FT (domain),early,L1,0.999624513417151
Coastal-TS,BOOM-FT (domain),early,L2,0.99958710901602
Coastal-TS,BOOM-FT (domain),early,L3,0.9996253321473662
Coastal-TS,BOOM-FT (domain),early,L4,0.9996064500140517
Coastal-TS,BOOM-FT (domain),early,L5,0.9993546176658663
Coastal-TS,BOOM-FT (domain),early,L6,0.9986824670856331
Coastal-TS,BOOM-FT (domain),early,L7,0.9983411873196176
Coastal-TS,BOOM-FT (domain),early,L8,0.9972538557875554
Coastal-TS,BOOM-FT (domain),early,L9,0.992424984172145
Coastal-TS,BOOM-FT (domain),early,L10,0.9892573643958463
Coastal-TS,BOOM-FT (domain),early,L11,0.9901240232150307
Coastal-TS,BOOM-FT (domain),early,L12,0.9862017993436004
Coastal-TS,BOOM-FT (domain),early,L12+LN,0.982478140046359
Coastal-TS,BOOM-FT (domain),late,Emb,0.9999999409266066
Coastal-TS,BOOM-FT (domain),late,L1,0.9991571108381933
Coastal-TS,BOOM-FT (domain),late,L2,0.9990590179790938
Coastal-TS,BOOM-FT (domain),late,L3,0.9991192902747652
Coastal-TS,BOOM-FT (domain),late,L4,0.9990456657958947
Coastal-TS,BOOM-FT (domain),late,L5,0.9985442578022812
Coastal-TS,BOOM-FT (domain),late,L6,0.9967599373216176
Coastal-TS,BOOM-FT (domain),late,L7,0.9959223894176921
Coastal-TS,BOOM-FT (domain),late,L8,0.9938685113769107
Coastal-TS,BOOM-FT (domain),late,L9,0.9861596002578776
Coastal-TS,BOOM-FT (domain),late,L10,0.9814308955901039
Coastal-TS,BOOM-FT (domain),late,L11,0.9827732950049659
Coastal-TS,BOOM-FT (domain),late,L12,0.9750278375605592
Coastal-TS,BOOM-FT (domain),late,L12+LN,0.9695757206218651
Coastal-TS,FordA-cls-FT (task),early,Emb,0.9999998861348293
Coastal-TS,FordA-cls-FT (task),early,L1,0.9986783497586803
Coastal-TS,FordA-cls-FT (task),early,L2,0.9988735917279289
Coastal-TS,FordA-cls-FT (task),early,L3,0.9987474225556909
Coastal-TS,FordA-cls-FT (task),early,L4,0.9987021657397382
Coastal-TS,FordA-cls-FT (task),early,L5,0.9979698403397416
Coastal-TS,FordA-cls-FT (task),early,L6,0.9966970117916858
Coastal-TS,FordA-cls-FT (task),early,L7,0.9962352871457645
Coastal-TS,FordA-cls-FT (task),early,L8,0.9906850535896451
Coastal-TS,FordA-cls-FT (task),early,L9,0.9741034949252562
Coastal-TS,FordA-cls-FT (task),early,L10,0.9777039265742035
Coastal-TS,FordA-cls-FT (task),early,L11,0.9876490331835815
Coastal-TS,FordA-cls-FT (task),early,L12,0.9774794358075033
Coastal-TS,FordA-cls-FT (task),early,L12+LN,0.9440205812872974
Coastal-TS,FordA-cls-FT (task),late,Emb,0.9999999981895406
Coastal-TS,FordA-cls-FT (task),late,L1,0.9957242980565796
Coastal-TS,FordA-cls-FT (task),late,L2,0.9969537807776211
Coastal-TS,FordA-cls-FT (task),late,L3,0.9965375868893668
Coastal-TS,FordA-cls-FT (task),late,L4,0.99665475904002
Coastal-TS,FordA-cls-FT (task),late,L5,0.9963810361896313
Coastal-TS,FordA-cls-FT (task),late,L6,0.9946226196412576
Coastal-TS,FordA-cls-FT (task),late,L7,0.9941234581782672
Coastal-TS,FordA-cls-FT (task),late,L8,0.9905844104635017
Coastal-TS,FordA-cls-FT (task),late,L9,0.9801616511295452
Coastal-TS,FordA-cls-FT (task),late,L10,0.9801561599612295
Coastal-TS,FordA-cls-FT (task),late,L11,0.9857943777652737
Coastal-TS,FordA-cls-FT (task),late,L12,0.978206118702918
Coastal-TS,FordA-cls-FT (task),late,L12+LN,0.9277963723167058
