target,condition,stage,layer,cka_to_pretrained_same_layer
BOOM,BOOM-FT (domain),early,Emb,0.9999999622082595
BOOM,BOOM-FT (domain),early,L1,0.9992704146335698
BOOM,BOOM-FT (domain),early,L2,0.9991894608987015
BOOM,BOOM-FT (domain),early,L3,0.9992300085442591
BOOM,BOOM-FT (domain),early,L4,0.9990294490065875
BOOM,BOOM-FT (domain),early,L5,0.9984039435138855
BOOM,BOOM-FT (domain),early,L6,0.9961457051963453
BOOM,BOOM-FT (domain),early,L7,0.994990642347511
BOOM,BOOM-FT (domain),early,L8,0.9895874918315802
BOOM,BOOM-FT (domain),early,L9,0.9679685740408249
BOOM,BOOM-FT (domain),early,L10,0.9941239784470204
BOOM,BOOM-FT (domain),early,L11,0.9949359923863631
BOOM,BOOM-FT (domain),early,L12,0.989626733923019
BOOM,BOOM-FT (domain),early,L12+LN,0.9350636498561861
BOOM,BOOM-FT (domain),late,Emb,0.9999999409071243
BOOM,BOOM-FT (domain),late,L1,0.9984432473951548
BOOM,BOOM-FT (domain),late,L2,0.998367174335742
BOOM,BOOM-FT (domain),late,L3,0.9984036679285975
BOOM,BOOM-FT (domain),late,L4,0.9979716277335555
BOOM,BOOM-FT (domain),late,L5,0.9966273395134789
BOOM,BOOM-FT (domain),late,L6,0.9916692883828893
BOOM,BOOM-FT (domain),late,L7,0.9894139184306331
BOOM,BOOM-FT (domain),late,L8,0.9804313764734545
BOOM,BOOM-FT (domain),late,L9,0.9498950969963457
BOOM,BOOM-FT (domain),late,L10,0.9928399024383489
BOOM,BOOM-FT (domain),late,L11,0.9917793164603744
BOOM,BOOM-FT (domain),late,L12,0.9820558732060007
BOOM,BOOM-FT (domain),late,L12+LN,0.9076553914009836
BOOM,FordA-cls-FT (task),early,Emb,0.999999886079922
BOOM,FordA-cls-FT (task),early,L1,0.9984974560649971
BOOM,FordA-cls-FT (task),early,L2,0.9979401458248767
BOOM,FordA-cls-FT (task),early,L3,0.997579385645458
BOOM,FordA-cls-FT (task),early,L4,0.9968916072990174
BOOM,FordA-cls-FT (task),early,L5,0.9955501474562924
BOOM,FordA-cls-FT (task),early,L6,0.992658517588516
BOOM,FordA-cls-FT (task),early,L7,0.9917829963475839
