model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,electricity_15min,Electricity 15min,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.2727552652359009,0.3138148268215529,0.2894090405516042,2.246210451112063,1.439380958585003,1.2462104511120629,0.43938095858500303,0.3,False,False,147744,False,False,False,False,False,False,False,False,0.2894090405516042,0.26966120199023086,0.31319286165801624,-0.08834410438897047,-0.10053964745224889,-0.07559498108973205,1.937427586168151,1.7794032803196889,2.1073869834652434,-0.6122096579452192,-0.6836371372774298,-0.537866450031629,121.56062464686507,71.64357005359187,184.5194054503539,-36.11927284851629,-60.503320762329935,-19.162377084169503,1.5079085441855815,1.3574578494047378,1.7359152572459555,-0.45038111370915157,-0.6055290145272944,-0.26489827791801734,1.937427586168151,121.56062464686507,1.5079085441855815
tirex,electricity_15min,Electricity 15min,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.16118894517421722,0.1877289134298117,0.2260607945384415,1.3437180505232704,1.1243173417148655,0.3437180505232704,0.12431734171486553,0.3,False,False,147744,False,False,False,False,False,False,False,False,0.2260607945384415,0.20654230525873546,0.2486181852571268,-0.024995858375807756,-0.03279324081399341,-0.017292712563435546,1.4970067928130637,1.3238793812494563,1.6918965986096306,-0.17178886459013198,-0.21779675203642035,-0.12664703113752637,110.40510089554088,57.27744187663549,182.03140433968338,-24.963749097192107,-52.161692392598205,-7.018783731013772,1.3580491759290005,1.028232231032525,1.9278183105356061,-0.3005217454525706,-0.5690158287505568,-0.11607983495744667,1.4970067928130637,110.40510089554088,1.3580491759290005
tirex,electricity_15min,Electricity 15min,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.14244705438613892,0.1703671193503924,0.2133772328552854,1.2194465375860468,1.0612354243740079,0.21944653758604682,0.07281289560404303,1.0,False,False,147744,False,False,False,False,False,False,False,False,0.2133772328552854,0.1945045341751787,0.235552576565333,-0.012312296692651659,-0.020105955550333367,-0.004526370860465616,1.3956742316744126,1.2363693836507066,1.569876668393666,-0.0704563034514809,-0.10841701153555083,-0.03026866075874289,104.63845953858308,52.02083278900661,176.96804159249726,-19.1971077402343,-48.73350844194118,-2.1531154543134803,1.2938547776787859,0.9261843088966577,1.960270322937398,-0.23632734720235593,-0.6044551248979557,-0.02094970814754332,1.3956742316744126,104.63845953858308,1.2938547776787859
tirex,electricity_15min,Electricity 15min,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.14350847899913788,0.16888564610356138,0.21432333104028048,1.2088425112442098,1.0659408603543012,0.20884251124420983,0.07281289560404303,3.0,False,False,147744,False,False,False,False,False,False,False,False,0.21432333104028048,0.1947297676182032,0.23660261519466533,-0.01325839487764674,-0.020525790448833733,-0.006049377710082146,1.4093194666664526,1.2471913412101756,1.5873912931590886,-0.08410153844352086,-0.12158434559828973,-0.04503110881212232,102.13583228897748,51.47287901299484,171.83717064233468,-16.694480490628706,-41.50160628913741,-2.990115321882843,1.276104512179187,0.9174321569370892,1.915537818678643,-0.21857708170275703,-0.5521137055964441,-0.04356809237601757,1.4093194666664526,102.13583228897748,1.276104512179187
tirex,electricity_15min,Electricity 15min,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.14149631559848785,0.15651675387648226,0.20129946979004462,1.1203089793185739,1.0011664571251806,0.1840513738481382,0.07281289560404303,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.20129946979004462,0.18214668772140702,0.22315612838617774,-0.00023453362741088224,-0.006424220531240449,0.006074105898444417,1.3363713103696495,1.1728775015958883,1.5135220541009278,-0.011153382146717794,-0.04219640807056576,0.020381345222843038,97.22682827040404,48.716051790929555,161.51879073907654,-11.785476472055265,-30.133557256330132,0.3738440523645837,1.2031483078496663,0.9162534912932178,1.7035519680438804,-0.14562087737323637,-0.34505322595434224,0.017320883724187754,1.3363713103696495,97.22682827040404,1.2031483078496663
tirex,electricity_15min,Electricity 15min,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.13113360106945038,0.16294202329377636,0.20416444113463847,1.1662995001059921,1.0154154425488573,0.1840513738481382,0.07281289560404303,3.0,False,False,147744,False,False,False,False,False,False,False,False,0.20416444113463847,0.18572904547136135,0.22505286260657298,-0.0030995049720047296,-0.00930367557523872,0.0031603673480109866,1.3469660444185776,1.1859415607419255,1.5245361497156251,-0.021748116195645872,-0.05250279641057134,0.009909231387948601,98.73875658547972,49.83806149830426,163.33833261990054,-13.297404787130944,-31.39697422666213,-1.1076013787963213,1.2305665966666994,0.9535082802343013,1.7093008280640438,-0.1730391661902695,-0.3503338998657989,-0.02416556569501395,1.3469660444185776,98.73875658547972,1.2305665966666994
tirex,electricity_15min,Electricity 15min,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.1329079419374466,0.16521998861705073,0.20135367623324157,1.1826046236345225,1.0014360538247917,0.1840513738481382,0.07281289560404303,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.20135367623324157,0.18256749115415088,0.22284683742780834,-0.0002887400706078347,-0.006484744003938365,0.006070425056404506,1.330572519152541,1.172144855573549,1.5056652163893873,-0.005354590929609326,-0.03727040019563309,0.02693921651677527,96.8700640304969,49.27307173605622,160.17140478312916,-11.42871223214813,-25.990021311807073,-0.34576078085536377,1.177142297061346,0.9270864274816814,1.6039411489090085,-0.11961486658491616,-0.2493532539364723,0.00779398090405775,1.330572519152541,96.8700640304969,1.177142297061346
tirex,electricity_15min,Electricity 15min,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.13028600811958313,0.16542211200558501,0.20888555102505302,1.1840513738481382,1.0388959657097718,0.1840513738481382,0.07281289560404303,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.20888555102505302,0.189769667953267,0.23066286591258442,-0.007820614862419278,-0.013063007207118149,-0.002664911275630009,1.3745009807571638,1.2216653829716346,1.5459190911026468,-0.04928305253423204,-0.07717150648737853,-0.019946230727278885,94.7193025957986,50.53523689584318,152.1156066205983,-9.277950797449819,-20.541130113915006,-1.3667135162907027,1.1700111663535422,0.9539138618510745,1.530582075676683,-0.11248373587711225,-0.2000777072827736,-0.0052021095296007815,1.3745009807571638,94.7193025957986,1.1700111663535422
tirex,electricity_15min,Electricity 15min,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.1260388195514679,0.1551118356438766,0.21570505636907716,1.1102529152090497,1.072812895604043,0.11025291520904967,0.07281289560404303,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.21570505636907716,0.19708344036044964,0.23711380490265388,-0.014640120206443424,-0.019161940781214765,-0.010095595199088678,1.4126438995319888,1.2620397053772572,1.5824340811930917,-0.08742597130905705,-0.1139644337944198,-0.058952957726783946,96.65849131226925,52.84925041502494,153.76871034503276,-11.217139513920472,-22.55790518961253,-3.3073098394058267,1.1878767333763116,0.9878099207696043,1.515524306904873,-0.13034930289988167,-0.20210924572697828,-0.05263459100288443,1.4126438995319888,96.65849131226925,1.1878767333763116
tirex,electricity_15min,Electricity 15min,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.12015027552843094,0.14926050783966788,0.2117516525544738,1.0683705293453314,1.0531505721275838,0.06837052934533139,0.053150572127583784,10.0,False,False,147744,False,False,False,True,False,False,False,True,0.2117516525544738,0.19303542252430933,0.23347052084744144,-0.010686716391840073,-0.014298760381932478,-0.007070154743269087,1.3884177585401323,1.235446662943961,1.5615431679214586,-0.06319983031720056,-0.08588882817104392,-0.03936520676108258,93.15139175718915,51.003913682526296,148.67210880358118,-7.710039958840369,-15.285044801592138,-1.9915658199400865,1.1532198495233046,0.9262179705610019,1.5292045122339106,-0.09569241904687464,-0.15280548170393454,-0.03238817234944748,1.3884177585401323,93.15139175718915,1.1532198495233046
